cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SNU-398::Bosutinib,516,1.1627906976744187,129,3.875968992248062,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,83.33333333333334,"['ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",{'HCK'}
OCI-M1::Alectinib,516,1.3565891472868217,129,3.875968992248062,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,71.42857142857143,"['FGFR1', 'EML4', 'NPM1', 'SMAD4', 'RET']","{'ALK', 'CDKN2A'}"
OE33::Bosutinib,516,1.1627906976744187,129,3.10077519379845,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'LYN', 'BCR', 'EGFR']","{'HCK', 'SRC'}"
KYSE-140::Bosutinib,516,1.1627906976744187,129,3.10077519379845,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'LYN', 'BCR']","{'HCK', 'EGFR'}"
SNU-387::Bosutinib,516,1.1627906976744187,129,2.3255813953488373,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'BCR', 'EGFR']","{'HCK', 'LYN', 'SRC'}"
OCI-AML2::Bosutinib,516,1.1627906976744187,129,2.3255813953488373,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'EGFR']","{'HCK', 'BCR', 'LYN'}"
SNU-398::Olaparib,516,3.2945736434108532,129,6.2015503875969,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,47.05882352941176,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'CBLC', 'BRCA2', 'BAP1']","{'PALB2', 'VHL', 'BRCA1', 'ATM', 'CHEK1', 'CDK12', 'STAG2', 'MYC', 'BARD1'}"
OCI-M1::Dabrafenib,516,2.5193798449612403,129,4.651162790697675,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,46.15384615384615,"['CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'MAP2K2', 'RAC1']","{'NF1', 'MITF', 'ATXN1L', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF'}"
OCI-M1::Temozolomide,516,2.3255813953488373,129,3.875968992248062,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'HDAC4', 'CSF2', 'ATM', 'H2AX']","{'ATRX', 'MSH6', 'PRL', 'NOTCH1', 'MGMT', 'STAG2', 'BRCA2'}"
OCI-AML2::Temozolomide,516,2.3255813953488373,129,3.875968992248062,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'HDAC4', 'CSF2', 'ATM', 'H2AX']","{'ATRX', 'MSH6', 'PRL', 'NOTCH1', 'MGMT', 'STAG2', 'BRCA2'}"
SK-HEP-1::Afatinib,516,1.937984496124031,129,3.10077519379845,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['ERBB2', 'ERBB4', 'EML4', 'BRAF']","{'KRAS', 'NRG1', 'EGFR', 'ERBB3', 'MET', 'NRAS'}"
OE33::Afatinib,516,1.937984496124031,129,3.10077519379845,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB4', 'EML4', 'BRAF']","{'ERBB2', 'KRAS', 'NRG1', 'ERBB3', 'MET', 'NRAS'}"
KYSE-140::Afatinib,516,1.937984496124031,129,3.10077519379845,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB2', 'EML4', 'BRAF']","{'KRAS', 'NRG1', 'ERBB4', 'ERBB3', 'MET', 'NRAS'}"
SNU-387::Bexarotene,516,0.9689922480620154,129,1.550387596899225,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'RXRB', 'MAPK8'}"
MV-4-11::Dabrafenib,516,2.5193798449612403,129,3.875968992248062,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['HLA-DRB1', 'STAG2', 'NRAS', 'EZH2', 'RAC1']","{'NF1', 'CDKN2A', 'MITF', 'MAP2K2', 'ATXN1L', 'MAP2K1', 'HRAS', 'BRAF'}"
OE33::Dabrafenib,516,2.5193798449612403,129,3.875968992248062,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['HLA-DRB1', 'STAG2', 'NRAS', 'MAP2K2', 'RAC1']","{'NF1', 'CDKN2A', 'MITF', 'ATXN1L', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF'}"
SNU-387::Dabrafenib,516,2.5193798449612403,129,3.875968992248062,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['HLA-DRB1', 'STAG2', 'NRAS', 'MITF', 'RAC1']","{'NF1', 'CDKN2A', 'MAP2K2', 'ATXN1L', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF'}"
OCI-AML2::Dabrafenib,516,2.5193798449612403,129,3.875968992248062,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['HLA-DRB1', 'STAG2', 'NRAS', 'MITF', 'RAC1']","{'NF1', 'CDKN2A', 'MAP2K2', 'ATXN1L', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF'}"
OCI-AML2::Talazoparib,516,2.131782945736434,129,3.10077519379845,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",11,36.36363636363637,"['PARP2', 'PARP1', 'ATM', 'SLFN11']","{'STAT1(S727);', 'PTEN', 'PSMD4', 'BRCA1', 'FADD(S194);', 'STAT3(S727);', 'BRCA2'}"
SNU-398::Talazoparib,516,2.131782945736434,129,3.10077519379845,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",11,36.36363636363637,"['PARP2', 'PARP1', 'SLFN11', 'BRCA1']","{'STAT1(S727);', 'PTEN', 'PSMD4', 'FADD(S194);', 'ATM', 'STAT3(S727);', 'BRCA2'}"
