cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
KMOE-2::Bosutinib,516,1.1627906976744187,129,2.3255813953488373,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['LYN', 'BCR', 'EGFR']","{'HCK', 'SRC', 'ABL1'}"
KMOE-2::Lenalidomide,516,2.3255813953488373,129,3.875968992248062,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1']","{'VEGFB', 'TNF', 'FGF2', 'VEGFC', 'VEGFA', 'IKZF1', 'TNFSF11'}"
OCI-AML2::Gemcitabine,516,10.271317829457365,129,16.27906976744186,"['CMPK1', 'RRM2', 'RRM1', 'CBL', 'HLA-C', 'SLC28A3', 'ATAT1', 'SLC28A1', 'POLR1G', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'NT5C1A', 'SLC29A3', 'CDA', 'SERPINA5', 'PRRC2A', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'IGF2', 'ATRX', 'CDSN', 'ALG10', 'WEE1', 'XYLT2', 'DCTD', 'MSH5', 'PPCDC', 'NT5C', 'PPP1R13L', 'CDC5L', 'ETS2', 'PPP1R18', 'CIP2A', 'ACSS2', 'ERCC1', 'DOCK8', 'SLC28A2', 'TENT4A', 'DCK', 'MUCL3', 'KLC3', 'DAPK1', 'C6ORF15', 'POLR2A', 'PSORS1C1', 'FANCC', 'FHL2', 'NT5C2', 'HCP5']",53,39.62264150943396,"['CMPK1', 'RRM1', 'HLA-C', 'ATAT1', 'SLC28A1', 'SLC29A2', 'SMAD4', 'SLC29A1', 'NT5C1A', 'CDA', 'PRRC2A', 'NT5C3A', 'IGF2', 'ATRX', 'CDSN', 'ALG10', 'WEE1', 'XYLT2', 'DCTD', 'PPCDC', 'ETS2']","{'DCK', 'DAPK1', 'FKBP5', 'KLC3', 'CIP2A', 'RRM2', 'CDC5L', 'DOCK8', 'SLC28A2', 'PPP1R13L', 'SLC28A3', 'POLR2A', 'PPP1R18', 'FHL2', 'FANCC', 'SLC29A3', 'CBL', 'ACSS2', 'PSORS1C1', 'SERPINA5', 'POLR1G', 'NT5C2', 'HCP5', 'MUCL3', 'XRCC1', 'GPX5', 'MSH5', 'ERCC1', 'SH2D5', 'TENT4A', 'NT5C', 'C6ORF15'}"
PL-21::Temozolomide,516,4.457364341085271,129,6.976744186046512,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",23,39.130434782608695,"['HDAC4', 'PRL', 'ATM', 'H2AX', 'MGMT', 'BRCA2', 'MSH6', 'PNKP(S126);', 'BRCA1(S1542);']","{'NBN(S397);', 'UFL1(S462);', 'STAG2', 'EIF4EBP1(S112);', 'RAD50(S635);', 'ABRAXAS1(S406);', 'SLFN11', 'ATRX', 'NOTCH1', 'TP53BP1(T302);', 'BRCA1(S1524);', 'CSF2', 'HNF1A(S249);'}"
KMOE-2::Rucaparib,516,2.5193798449612403,129,3.875968992248062,"['PARP3', 'PARP1', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1', 'BRCA2', 'SLC22A6', 'ATR', 'SLC22A8', 'SLC47A2', 'BRCA1', 'KMT2A(S516);']",13,38.46153846153847,"['PARP3', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1']","{'BRCA2', 'BRCA1', 'KMT2A(S516);', 'ATR', 'SLC22A8', 'SLC22A6', 'PARP1', 'SLC47A2'}"
KMOE-2::Dabrafenib,516,3.6821705426356592,129,5.426356589147287,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1', 'MAPK1(T185);', 'TAL1(S122);', 'MAPK1(T185);', 'JUN(S63);', 'GATA2(S192);', 'JUN(S63);']",19,36.84210526315789,"['CDKN2A', 'HLA-DRB1', 'ATXN1L', 'EZH2', 'HRAS', 'NF1', 'MAPK1(T185);']","{'STAG2', 'JUN(S63);', 'MITF', 'TAL1(S122);', 'BRAF', 'MAP2K1', 'MAP2K2', 'RAC1', 'GATA2(S192);', 'NRAS'}"
KMOE-2::Temozolomide,516,4.457364341085271,129,6.2015503875969,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",23,34.78260869565217,"['ATM', 'MGMT', 'BRCA2', 'MSH6', 'PNKP(S126);', 'UFL1(S462);', 'BRCA1(S1542);', 'TP53BP1(T302);']","{'NBN(S397);', 'STAG2', 'EIF4EBP1(S112);', 'RAD50(S635);', 'ABRAXAS1(S406);', 'SLFN11', 'PRL', 'ATRX', 'NOTCH1', 'BRCA1(S1524);', 'HDAC4', 'H2AX', 'CSF2', 'HNF1A(S249);'}"
KMOE-2::Olaparib,516,6.2015503875969,129,8.527131782945736,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC', 'KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",32,34.375,"['BRCA2', 'BAP1', 'VHL', 'STAG2', 'PALB2', 'KMT2A(S516);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);']","{'CHEK1', 'CDC25C(S216);', 'CBLC', 'MYC', 'ABRAXAS1(S406);', 'EIF4EBP1(S112);', 'BARD1', 'PARP3', 'PARP2', 'PARP1', 'BRCA1(S1542);', 'CDK12', 'TP53BP1(T302);', 'SYK(S295);', 'BRCA1', 'ATM', 'BRCA1(S1524);', 'IDH2', 'ATR', 'HNF1A(S249);'}"
MV-4-11::Olaparib,516,6.2015503875969,129,8.527131782945736,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC', 'KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",32,34.375,"['PARP3', 'BAP1', 'VHL', 'STAG2', 'PALB2', 'KMT2A(S516);', 'CDC25C(S216);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);']","{'CHEK1', 'BRCA2', 'CBLC', 'MYC', 'ABRAXAS1(S406);', 'EIF4EBP1(S112);', 'BARD1', 'PARP2', 'PARP1', 'BRCA1(S1542);', 'POLR2A(S1861);', 'CDK12', 'TP53BP1(T302);', 'SYK(S295);', 'BRCA1', 'ATM', 'BRCA1(S1524);', 'IDH2', 'ATR', 'HNF1A(S249);'}"
OCI-AML2::Lenalidomide,516,2.3255813953488373,129,3.10077519379845,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,33.33333333333333,"['CUL4A', 'CRBN', 'DDB1', 'CTNNB1']","{'RBX1', 'VEGFB', 'TNF', 'FGF2', 'VEGFC', 'VEGFA', 'IKZF1', 'TNFSF11'}"
