cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE33::Bosutinib,31261,0.019193243978119702,7815,0.05118362124120282,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'BCR', 'EGFR']","{'HCK', 'LYN'}"
OCI-M1::Talazoparib,31261,0.03518761395988612,7815,0.07677543186180423,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",11,54.54545454545454,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'PARP2', 'ATM', 'SLFN11']","{'PTEN', 'PSMD4', 'BRCA1', 'PARP1', 'BRCA2'}"
OCI-M1::Dabrafenib,31261,0.041585361952592687,7815,0.08957133717210493,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,53.84615384615385,"['BRAF', 'CDKN2A', 'NRAS', 'ATXN1L', 'MITF', 'MAP2K2', 'RAC1']","{'NF1', 'STAG2', 'HLA-DRB1', 'MAP2K1', 'EZH2', 'HRAS'}"
OCI-M1::Temozolomide,31261,0.038386487956239404,7815,0.07677543186180423,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,50.0,"['SLFN11', 'CSF2', 'STAG2', 'ATRX', 'H2AX', 'MGMT']","{'MSH6', 'PRL', 'NOTCH1', 'HDAC4', 'BRCA2', 'ATM'}"
KYSE-140::Bosutinib,31261,0.019193243978119702,7815,0.038387715930902115,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'BCR', 'EGFR']","{'HCK', 'LYN', 'SRC'}"
OCI-AML2::Bosutinib,31261,0.019193243978119702,7815,0.038387715930902115,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'LYN', 'EGFR']","{'HCK', 'BCR', 'ABL1'}"
SNU-387::Bosutinib,31261,0.019193243978119702,7815,0.038387715930902115,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'EGFR']","{'HCK', 'BCR', 'LYN'}"
SK-HEP-1::Afatinib,31261,0.03198873996353283,7815,0.06397952655150352,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['EGFR', 'ERBB2', 'EML4', 'MET', 'BRAF']","{'KRAS', 'NRG1', 'ERBB4', 'ERBB3', 'NRAS'}"
SNU-398::Bosutinib,31261,0.019193243978119702,7815,0.038387715930902115,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'LYN', 'EGFR']","{'HCK', 'BCR', 'ABL1'}"
SNU-398::Temozolomide,31261,0.038386487956239404,7815,0.07677543186180423,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,50.0,"['SLFN11', 'HDAC4', 'CSF2', 'STAG2', 'ATRX', 'MGMT']","{'MSH6', 'PRL', 'NOTCH1', 'BRCA2', 'ATM', 'H2AX'}"
