cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
KMOE-2::Bosutinib,31261,0.019193243978119702,7815,0.038387715930902115,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'HCK', 'ABL1', 'LYN'}"
SK-HEP-1::Afatinib,31261,0.03198873996353283,7815,0.06397952655150352,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['EGFR', 'ERBB2', 'EML4', 'MET', 'BRAF']","{'KRAS', 'NRAS', 'ERBB3', 'ERBB4', 'NRG1'}"
KMOE-2::Gemcitabine,31261,0.16954032180672404,7815,0.2687140115163148,"['CMPK1', 'RRM2', 'RRM1', 'CBL', 'HLA-C', 'SLC28A3', 'ATAT1', 'SLC28A1', 'POLR1G', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'NT5C1A', 'SLC29A3', 'CDA', 'SERPINA5', 'PRRC2A', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'IGF2', 'ATRX', 'CDSN', 'ALG10', 'WEE1', 'XYLT2', 'DCTD', 'MSH5', 'PPCDC', 'NT5C', 'PPP1R13L', 'CDC5L', 'ETS2', 'PPP1R18', 'CIP2A', 'ACSS2', 'ERCC1', 'DOCK8', 'SLC28A2', 'TENT4A', 'DCK', 'MUCL3', 'KLC3', 'DAPK1', 'C6ORF15', 'POLR2A', 'PSORS1C1', 'FANCC', 'FHL2', 'NT5C2', 'HCP5']",53,39.62264150943396,"['CMPK1', 'HLA-C', 'ATAT1', 'FKBP5', 'SMAD4', 'SLC29A3', 'CDA', 'SERPINA5', 'XRCC1', 'SH2D5', 'GPX5', 'IGF2', 'ATRX', 'ALG10', 'WEE1', 'DCTD', 'MSH5', 'PPCDC', 'NT5C', 'PPP1R13L', 'CDC5L']","{'DCK', 'DAPK1', 'KLC3', 'CIP2A', 'RRM2', 'DOCK8', 'SLC28A2', 'SLC28A3', 'ETS2', 'POLR2A', 'NT5C1A', 'PPP1R18', 'XYLT2', 'SLC29A2', 'SLC28A1', 'CDSN', 'FHL2', 'FANCC', 'PRRC2A', 'CBL', 'ACSS2', 'PSORS1C1', 'POLR1G', 'NT5C2', 'HCP5', 'MUCL3', 'NT5C3A', 'ERCC1', 'TENT4A', 'C6ORF15', 'RRM1', 'SLC29A1'}"
KMOE-2::Panobinostat,31261,0.05118198394165254,7815,0.07677543186180423,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,37.5,"['HDAC8', 'HDAC7', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC3']","{'HDAC1', 'HDAC11', 'SMARCB1', 'KRAS', 'BAP1', 'HDAC6', 'MYCN', 'HDAC4', 'HDAC10', 'KMT2A'}"
OCI-AML2::Gemcitabine,31261,0.16954032180672404,7815,0.2431222008957134,"['CMPK1', 'RRM2', 'RRM1', 'CBL', 'HLA-C', 'SLC28A3', 'ATAT1', 'SLC28A1', 'POLR1G', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'NT5C1A', 'SLC29A3', 'CDA', 'SERPINA5', 'PRRC2A', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'IGF2', 'ATRX', 'CDSN', 'ALG10', 'WEE1', 'XYLT2', 'DCTD', 'MSH5', 'PPCDC', 'NT5C', 'PPP1R13L', 'CDC5L', 'ETS2', 'PPP1R18', 'CIP2A', 'ACSS2', 'ERCC1', 'DOCK8', 'SLC28A2', 'TENT4A', 'DCK', 'MUCL3', 'KLC3', 'DAPK1', 'C6ORF15', 'POLR2A', 'PSORS1C1', 'FANCC', 'FHL2', 'NT5C2', 'HCP5']",53,35.84905660377358,"['HLA-C', 'ATAT1', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'NT5C1A', 'CDA', 'SERPINA5', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'IGF2', 'ATRX', 'MSH5', 'PPCDC', 'NT5C', 'ETS2']","{'DCK', 'DAPK1', 'KLC3', 'CIP2A', 'RRM2', 'ALG10', 'CDC5L', 'DOCK8', 'SLC28A2', 'PPP1R13L', 'SLC28A3', 'POLR2A', 'CMPK1', 'PPP1R18', 'XYLT2', 'SLC28A1', 'CDSN', 'FHL2', 'FANCC', 'PRRC2A', 'SLC29A3', 'CBL', 'DCTD', 'ACSS2', 'PSORS1C1', 'WEE1', 'POLR1G', 'NT5C2', 'HCP5', 'MUCL3', 'ERCC1', 'TENT4A', 'C6ORF15', 'RRM1'}"
KMOE-2::Temozolomide,31261,0.07357410191612553,7815,0.10236724248240564,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",23,34.78260869565217,"['SLFN11', 'CSF2', 'MGMT', 'BRCA2', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'TP53BP1(T302);']","{'UFL1(S462);', 'STAG2', 'EIF4EBP1(S112);', 'ABRAXAS1(S406);', 'MSH6', 'PRL', 'ATRX', 'NOTCH1', 'BRCA1(S1542);', 'ATM', 'BRCA1(S1524);', 'HDAC4', 'H2AX', 'HNF1A(S249);'}"
KMOE-2::Olaparib,31261,0.10236396788330508,7815,0.14075495841330773,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC', 'KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",32,34.375,"['PARP2', 'PARP1', 'VHL', 'STAG2', 'PALB2', 'ATM', 'MYC', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'NBN(S397);']","{'CHEK1', 'BRCA2', 'UFL1(S462);', 'CBLC', 'RAD50(S635);', 'ABRAXAS1(S406);', 'EIF4EBP1(S112);', 'BARD1', 'PARP3', 'BAP1', 'BRCA1(S1542);', 'CDK12', 'TP53BP1(T302);', 'SYK(S295);', 'BRCA1', 'BRCA1(S1524);', 'KMT2A(S516);', 'IDH2', 'ATR', 'HNF1A(S249);'}"
OCI-AML2::Olaparib,31261,0.10236396788330508,7815,0.14075495841330773,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC', 'KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",32,34.375,"['CBLC', 'BRCA2', 'CHEK1', 'VHL', 'CDK12', 'PALB2', 'ATM', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);']","{'NBN(S397);', 'UFL1(S462);', 'STAG2', 'RAD50(S635);', 'MYC', 'ABRAXAS1(S406);', 'EIF4EBP1(S112);', 'BARD1', 'PARP3', 'PARP2', 'BAP1', 'PARP1', 'BRCA1(S1542);', 'TP53BP1(T302);', 'BRCA1', 'BRCA1(S1524);', 'KMT2A(S516);', 'IDH2', 'ATR', 'HNF1A(S249);'}"
OCI-M1::Paclitaxel,31261,0.15034707782860432,7815,0.20473448496481128,"['TUBB', 'TUBB8', 'TUBA4A', 'TUBA3E', 'TUBB2A', 'TUBA1A', 'TUBB1', 'TUBB3', 'TUBA3D', 'TUBB2B', 'TUBA1C', 'TUBA1B', 'BCL2', 'TUBB4B', 'TUBB6', 'ACSS2', 'STMN1', 'MAP3K1', 'FNTB', 'ERCC2', 'FGD4', 'PDCD4', 'DSCAM', 'EPHA5', 'EIF4EBP1', 'MYB', 'SLC29A1', 'GSTT1', 'TUBB4A', 'PGP', 'SOD2', 'SLCO1B3', 'TUBA3C', 'LIF', 'TLE3', 'SMAD4', 'SPATA5', 'NFE2', 'MAD1L1', 'EDNRB', 'SOX10', 'TRIM5', 'ABCC10', 'FOS', 'ERCC1', 'STAT3(S727);', 'FADD(S194);']",47,34.04255319148936,"['TUBB8', 'TUBA4A', 'TUBA3E', 'TUBA1A', 'TUBA3D', 'TUBA1C', 'STMN1', 'MAP3K1', 'ERCC2', 'FGD4', 'PDCD4', 'EPHA5', 'GSTT1', 'TUBB4A', 'PGP', 'SOD2']","{'NFE2', 'SMAD4', 'MYB', 'DSCAM', 'TUBA3C', 'TUBB4B', 'EDNRB', 'TUBA1B', 'LIF', 'STAT3(S727);', 'EIF4EBP1', 'FADD(S194);', 'MAD1L1', 'ACSS2', 'TUBB2B', 'TUBB2A', 'TUBB3', 'TUBB6', 'SLCO1B3', 'TLE3', 'SOX10', 'TUBB1', 'SPATA5', 'TRIM5', 'ERCC1', 'ABCC10', 'FOS', 'BCL2', 'TUBB', 'FNTB', 'SLC29A1'}"
SK-HEP-1::Gemcitabine,31261,0.16954032180672404,7815,0.23032629558541268,"['CMPK1', 'RRM2', 'RRM1', 'CBL', 'HLA-C', 'SLC28A3', 'ATAT1', 'SLC28A1', 'POLR1G', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'NT5C1A', 'SLC29A3', 'CDA', 'SERPINA5', 'PRRC2A', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'IGF2', 'ATRX', 'CDSN', 'ALG10', 'WEE1', 'XYLT2', 'DCTD', 'MSH5', 'PPCDC', 'NT5C', 'PPP1R13L', 'CDC5L', 'ETS2', 'PPP1R18', 'CIP2A', 'ACSS2', 'ERCC1', 'DOCK8', 'SLC28A2', 'TENT4A', 'DCK', 'MUCL3', 'KLC3', 'DAPK1', 'C6ORF15', 'POLR2A', 'PSORS1C1', 'FANCC', 'FHL2', 'NT5C2', 'HCP5']",53,33.9622641509434,"['CMPK1', 'HLA-C', 'ATAT1', 'FKBP5', 'SMAD4', 'SLC29A1', 'SLC29A3', 'CDA', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'WEE1', 'DCTD', 'PPCDC', 'NT5C', 'PPP1R13L', 'ETS2']","{'DCK', 'DAPK1', 'IGF2', 'KLC3', 'CIP2A', 'RRM2', 'ALG10', 'CDC5L', 'DOCK8', 'SLC28A2', 'SLC28A3', 'POLR2A', 'NT5C1A', 'PPP1R18', 'XYLT2', 'SLC29A2', 'SLC28A1', 'CDSN', 'FHL2', 'FANCC', 'PRRC2A', 'CBL', 'ACSS2', 'PSORS1C1', 'SERPINA5', 'POLR1G', 'ATRX', 'NT5C2', 'HCP5', 'MUCL3', 'MSH5', 'ERCC1', 'TENT4A', 'C6ORF15', 'RRM1'}"
