cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SNU-398::Bosutinib,516,1.1627906976744187,129,3.875968992248062,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,83.33333333333334,"['HCK', 'ABL1', 'SRC', 'LYN', 'EGFR']",{'BCR'}
OE33::Bosutinib,516,1.1627906976744187,129,3.10077519379845,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['HCK', 'ABL1', 'SRC', 'LYN']","{'BCR', 'EGFR'}"
OCI-M1::Alectinib,516,1.3565891472868217,129,3.10077519379845,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,57.14285714285714,"['FGFR1', 'EML4', 'NPM1', 'CDKN2A']","{'ALK', 'RET', 'SMAD4'}"
OCI-AML2::Bosutinib,516,1.1627906976744187,129,2.3255813953488373,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'EGFR']","{'ABL1', 'BCR', 'LYN'}"
OCI-AML2::Talazoparib,516,1.550387596899225,129,3.10077519379845,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP2', 'PTEN', 'SLFN11', 'BRCA1']","{'BRCA2', 'PARP1', 'PSMD4', 'ATM'}"
SNU-398::Talazoparib,516,1.550387596899225,129,3.10077519379845,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['ATM', 'PTEN', 'SLFN11', 'BRCA1']","{'PARP2', 'BRCA2', 'PARP1', 'PSMD4'}"
KMOE-2::Bosutinib,516,1.1627906976744187,129,2.3255813953488373,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'LYN']","{'ABL1', 'BCR', 'EGFR'}"
SNU-387::Bosutinib,516,1.1627906976744187,129,2.3255813953488373,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'ABL1', 'SRC']","{'BCR', 'LYN', 'EGFR'}"
OCI-AML2::Temozolomide,516,2.3255813953488373,129,4.651162790697675,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,50.0,"['SLFN11', 'CSF2', 'ATRX', 'ATM', 'H2AX', 'MGMT']","{'BRCA2', 'HDAC4', 'MSH6', 'PRL', 'NOTCH1', 'STAG2'}"
OCI-M1::Dabrafenib,516,2.5193798449612403,129,4.651162790697675,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,46.15384615384615,"['CDKN2A', 'NRAS', 'ATXN1L', 'EZH2', 'MAP2K2', 'RAC1']","{'HLA-DRB1', 'HRAS', 'BRAF', 'MITF', 'MAP2K1', 'NF1', 'STAG2'}"
KMOE-2::Alectinib,516,1.3565891472868217,129,2.3255813953488373,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['FGFR1', 'EML4', 'CDKN2A']","{'NPM1', 'SMAD4', 'RET', 'ALK'}"
OCI-M1::Temozolomide,516,2.3255813953488373,129,3.875968992248062,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'CSF2', 'ATRX', 'ATM', 'H2AX']","{'BRCA2', 'MGMT', 'HDAC4', 'MSH6', 'PRL', 'NOTCH1', 'STAG2'}"
MV-4-11::Panobinostat,516,3.2945736434108532,129,5.426356589147287,"['KMT2A(S516);', 'HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",17,41.17647058823529,"['KMT2A(S516);', 'HDAC7', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC4', 'HDAC3']","{'HDAC8', 'HDAC9', 'HDAC11', 'BAP1', 'SMARCB1', 'KRAS', 'HDAC10', 'HDAC1', 'KMT2A', 'MYCN'}"
OCI-AML2::Vorinostat,516,4.457364341085271,129,6.976744186046512,"['HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'HDAC6', 'HDAC9', 'CFTR', 'NPM1', 'RB1', 'SMARCB1', 'FBXW7', 'TUBA3C', 'EZH2', 'MYD88', 'TUBB4A', 'BAP1', 'CHD4', 'NR0B1']",23,39.130434782608695,"['HDAC8', 'HDAC7', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'NPM1', 'RB1']","{'HDAC9', 'CHD4', 'CFTR', 'BAP1', 'SMARCB1', 'EZH2', 'TUBB4A', 'HDAC6', 'TUBA3C', 'FBXW7', 'HDAC1', 'MYD88', 'NR0B1', 'HDAC3'}"
SNU-387::Dabrafenib,516,2.5193798449612403,129,3.875968992248062,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'ATXN1L', 'MITF', 'EZH2', 'RAC1']","{'HLA-DRB1', 'HRAS', 'BRAF', 'MAP2K2', 'MAP2K1', 'NF1', 'NRAS', 'STAG2'}"
MV-4-11::Dabrafenib,516,2.5193798449612403,129,3.875968992248062,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'HLA-DRB1', 'ATXN1L', 'EZH2', 'MAP2K2']","{'RAC1', 'HRAS', 'BRAF', 'MITF', 'MAP2K1', 'NF1', 'NRAS', 'STAG2'}"
OCI-AML2::Gemcitabine,516,10.852713178294573,129,16.27906976744186,"['KMT2A(S516);', 'STAT3(S727);', 'FADD(S194);', 'CMPK1', 'RRM2', 'RRM1', 'CBL', 'HLA-C', 'SLC28A3', 'ATAT1', 'SLC28A1', 'POLR1G', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'NT5C1A', 'SLC29A3', 'CDA', 'SERPINA5', 'PRRC2A', 'XRCC1', 'SH2D5', 'GPX5', 'NT5C3A', 'IGF2', 'ATRX', 'CDSN', 'ALG10', 'WEE1', 'XYLT2', 'DCTD', 'MSH5', 'PPCDC', 'NT5C', 'PPP1R13L', 'CDC5L', 'ETS2', 'PPP1R18', 'CIP2A', 'ACSS2', 'ERCC1', 'DOCK8', 'SLC28A2', 'TENT4A', 'DCK', 'MUCL3', 'KLC3', 'DAPK1', 'C6ORF15', 'POLR2A', 'PSORS1C1', 'FANCC', 'FHL2', 'NT5C2', 'HCP5']",56,37.5,"['CMPK1', 'RRM2', 'HLA-C', 'ATAT1', 'POLR1G', 'SLC29A2', 'FKBP5', 'SMAD4', 'SLC29A1', 'SLC29A3', 'CDA', 'SERPINA5', 'XRCC1', 'NT5C3A', 'CDSN', 'WEE1', 'XYLT2', 'DCTD', 'MSH5', 'PPCDC', 'NT5C']","{'SLC28A2', 'MUCL3', 'CBL', 'ALG10', 'PRRC2A', 'DOCK8', 'FANCC', 'FHL2', 'PPP1R18', 'FADD(S194);', 'STAT3(S727);', 'ETS2', 'DCK', 'CDC5L', 'RRM1', 'IGF2', 'ERCC1', 'SH2D5', 'ACSS2', 'GPX5', 'SLC28A1', 'KMT2A(S516);', 'KLC3', 'HCP5', 'PSORS1C1', 'TENT4A', 'DAPK1', 'NT5C1A', 'ATRX', 'SLC28A3', 'PPP1R13L', 'POLR2A', 'CIP2A', 'C6ORF15', 'NT5C2'}"
OCI-M1::Talazoparib,516,1.550387596899225,129,2.3255813953488373,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PTEN', 'BRCA1']","{'BRCA2', 'PARP1', 'SLFN11', 'PSMD4', 'ATM'}"
OE33::Talazoparib,516,1.550387596899225,129,2.3255813953488373,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['ATM', 'PTEN', 'BRCA1']","{'PARP2', 'BRCA2', 'PARP1', 'SLFN11', 'PSMD4'}"
KMOE-2::Talazoparib,516,1.550387596899225,129,2.3255813953488373,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PTEN', 'SLFN11', 'BRCA1']","{'PARP2', 'BRCA2', 'PARP1', 'PSMD4', 'ATM'}"
SNU-398::Olaparib,516,3.2945736434108532,129,4.651162790697675,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,35.294117647058826,"['PARP1', 'ATR', 'BARD1', 'BRCA2', 'CHEK1', 'VHL']","{'PARP2', 'BAP1', 'MYC', 'ATM', 'PARP3', 'CDK12', 'CBLC', 'BRCA1', 'IDH2', 'PALB2', 'STAG2'}"
SKM-1::Panobinostat,516,3.2945736434108532,129,4.651162790697675,"['KMT2A(S516);', 'HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",17,35.294117647058826,"['KMT2A(S516);', 'HDAC7', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC4']","{'HDAC8', 'HDAC9', 'HDAC11', 'BAP1', 'SMARCB1', 'KRAS', 'HDAC10', 'HDAC1', 'KMT2A', 'HDAC3', 'MYCN'}"
OCI-AML2::Panobinostat,516,3.2945736434108532,129,4.651162790697675,"['KMT2A(S516);', 'HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",17,35.294117647058826,"['HDAC7', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC3', 'HDAC10']","{'HDAC8', 'HDAC9', 'HDAC11', 'BAP1', 'KMT2A(S516);', 'SMARCB1', 'HDAC4', 'KRAS', 'HDAC1', 'KMT2A', 'MYCN'}"
KMOE-2::Panobinostat,516,3.2945736434108532,129,4.651162790697675,"['KMT2A(S516);', 'HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",17,35.294117647058826,"['HDAC7', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC3', 'HDAC10']","{'HDAC8', 'HDAC9', 'HDAC11', 'BAP1', 'KMT2A(S516);', 'SMARCB1', 'HDAC4', 'KRAS', 'HDAC1', 'KMT2A', 'MYCN'}"
MV-4-11::Bexarotene,516,3.875968992248062,129,5.426356589147287,"['KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);', 'RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",20,35.0,"['POLR2A(S1861);', 'NBN(S397);', 'UFL1(S462);', 'BRCA1(S1542);', 'BRCA1(S1524);', 'BRCA1(S1524);', 'RXRG']","{'NR1H3', 'KMT2A(S516);', 'MAPK8', 'CDC25C(S216);', 'HNF1A(S249);', 'RXRA', 'PNKP(S126);', 'RXRB', 'ABRAXAS1(S406);', 'TP53BP1(T302);', 'SYK(S295);', 'EIF4EBP1(S112);', 'RAD50(S635);'}"
KMOE-2::Vorinostat,516,4.457364341085271,129,6.2015503875969,"['HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'HDAC6', 'HDAC9', 'CFTR', 'NPM1', 'RB1', 'SMARCB1', 'FBXW7', 'TUBA3C', 'EZH2', 'MYD88', 'TUBB4A', 'BAP1', 'CHD4', 'NR0B1']",23,34.78260869565217,"['HDAC8', 'HDAC7', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'NPM1', 'RB1']","{'HDAC9', 'CHD4', 'CFTR', 'BAP1', 'SMARCB1', 'HDAC4', 'EZH2', 'TUBB4A', 'HDAC6', 'TUBA3C', 'FBXW7', 'HDAC1', 'MYD88', 'NR0B1', 'HDAC3'}"
MV-4-11::Vorinostat,516,4.457364341085271,129,6.2015503875969,"['HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'HDAC6', 'HDAC9', 'CFTR', 'NPM1', 'RB1', 'SMARCB1', 'FBXW7', 'TUBA3C', 'EZH2', 'MYD88', 'TUBB4A', 'BAP1', 'CHD4', 'NR0B1']",23,34.78260869565217,"['HDAC7', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'CFTR', 'NPM1']","{'HDAC8', 'HDAC9', 'CHD4', 'BAP1', 'SMARCB1', 'EZH2', 'TUBB4A', 'HDAC6', 'RB1', 'TUBA3C', 'FBXW7', 'HDAC1', 'MYD88', 'NR0B1', 'HDAC3'}"
