cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE33::Bosutinib,516,1.1627906976744187,52,5.769230769230769,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'ABL1', 'LYN']","{'EGFR', 'BCR', 'SRC'}"
SNU-398::Talazoparib,516,1.550387596899225,52,5.769230769230769,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP1', 'ATM', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'BRCA1'}"
SNU-398::Bosutinib,516,1.1627906976744187,52,3.8461538461538463,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['HCK', 'ABL1']","{'EGFR', 'BCR', 'SRC', 'LYN'}"
OCI-AML2::Bosutinib,516,1.1627906976744187,52,3.8461538461538463,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'LYN']","{'EGFR', 'BCR', 'SRC', 'HCK'}"
KMOE-2::Bosutinib,516,1.1627906976744187,52,3.8461538461538463,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'BCR']","{'EGFR', 'SRC', 'HCK', 'LYN'}"
SNU-387::Alectinib,516,1.3565891472868217,52,3.8461538461538463,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['EML4', 'NPM1']","{'SMAD4', 'ALK', 'RET', 'CDKN2A', 'FGFR1'}"
OCI-M1::Alectinib,516,1.3565891472868217,52,3.8461538461538463,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['FGFR1', 'EML4']","{'NPM1', 'SMAD4', 'ALK', 'RET', 'CDKN2A'}"
KMOE-2::Alectinib,516,1.3565891472868217,52,3.8461538461538463,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['FGFR1', 'EML4']","{'NPM1', 'SMAD4', 'ALK', 'RET', 'CDKN2A'}"
OCI-M1::Talazoparib,516,1.550387596899225,52,3.8461538461538463,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'ATM', 'BRCA1'}"
MV-4-11::Talazoparib,516,1.550387596899225,52,3.8461538461538463,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'ATM', 'BRCA1'}"
SNU-398::Rucaparib,516,2.3255813953488373,52,5.769230769230769,"['PARP3', 'PARP1', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1', 'BRCA2', 'SLC22A6', 'ATR', 'SLC22A8', 'SLC47A2', 'BRCA1']",12,25.0,"['PARP1', 'PARP2', 'PALB2']","{'PARP3', 'SLC22A6', 'ATR', 'SLC22A8', 'BRCA2', 'STAG2', 'SLC47A2', 'SLC47A1', 'BRCA1'}"
KMOE-2::Talazoparib,516,1.550387596899225,52,3.8461538461538463,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'ATM', 'BRCA1'}"
MV-4-11::Rucaparib,516,2.3255813953488373,52,5.769230769230769,"['PARP3', 'PARP1', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1', 'BRCA2', 'SLC22A6', 'ATR', 'SLC22A8', 'SLC47A2', 'BRCA1']",12,25.0,"['PARP1', 'PALB2', 'STAG2']","{'PARP2', 'PARP3', 'SLC22A6', 'ATR', 'SLC22A8', 'BRCA2', 'SLC47A2', 'SLC47A1', 'BRCA1'}"
OCI-AML2::Talazoparib,516,1.550387596899225,52,3.8461538461538463,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'ATM', 'BRCA1'}"
SKM-1::Talazoparib,516,1.550387596899225,52,3.8461538461538463,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'ATM', 'BRCA1'}"
OE33::Talazoparib,516,1.550387596899225,52,3.8461538461538463,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'SLFN11']","{'PARP2', 'PSMD4', 'PTEN', 'BRCA2', 'ATM', 'BRCA1'}"
