cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-AML2::Bortezomib,386,17.616580310880828,97,29.896907216494846,"['PSMC2', 'PSMD4P1', 'PSMD11', 'PSMB3', 'PSMD3', 'PSMA8', 'PSMB10', 'PSMC3IP', 'PSMD14', 'PSMD8', 'PSMD13', 'PSMC1P1', 'PSMD10P2', 'PSME3', 'PSMB1', 'PSMD9', 'PSMD10P3', 'PSMD6', 'PSMD12', 'PSMC3', 'PSME2P2', 'PSMA1', 'PSMD4', 'PSMC4', 'PSMB8', 'PSMD2', 'PSME1', 'PSMD10', 'PSMD5', 'PSMA6', 'PSMD1', 'PSMA3', 'PSME2', 'PSMA4', 'PSMC5', 'PSMC1', 'PSMB6', 'PSMB5', 'PSMB4', 'PSMB9', 'PSME4', 'PSMA2', 'PSMB7', 'PSMD7', 'PSMB2', 'PSMB11', 'PSMA7', 'ADRM1', 'PSMA5', 'PSMF1', 'PSMC6', 'PIPSL', 'PSMD10P1', 'SEM1', 'BCL2L2', 'PRSS1', 'PMAIP1', 'CTSB', 'KLK4', 'PRSS3', 'F12', 'PRSS2', 'GATA2', 'CAPN1', 'HSPB2', 'PRB2', 'PLAT', 'CTSL']",68,42.64705882352941,"['PSMC2', 'PSMB3', 'PSMB10', 'PSMD8', 'PSMC1P1', 'PSMD10P2', 'PSME3', 'PSMD10P3', 'PSMD6', 'PSMA1', 'PSMD4', 'PSMC4', 'PSMD2', 'PSME1', 'PSMD10', 'PSMD5', 'PSMA6', 'PSMA3', 'PSMA4', 'PSMC5', 'PSMC1', 'PSMB6', 'PSMB9', 'PSMA2', 'PSMB7', 'PSMD7', 'PSMB2', 'PSMB11', 'ADRM1']","{'HSPB2', 'PMAIP1', 'PSMD1', 'F12', 'PSMC6', 'PSMD9', 'PSMB8', 'CAPN1', 'PSME4', 'PSMB4', 'PRSS3', 'PSMA5', 'PSMA8', 'PSME2P2', 'PSMA7', 'PSMB5', 'PRSS1', 'PSMD3', 'KLK4', 'PSMB1', 'PLAT', 'SEM1', 'PRB2', 'CTSL', 'CTSB', 'PIPSL', 'PRSS2', 'PSMD12', 'GATA2', 'PSMD10P1', 'PSMD13', 'PSMF1', 'PSMD11', 'PSMD14', 'PSMC3IP', 'PSMC3', 'PSMD4P1', 'PSME2', 'BCL2L2'}"
SNU-387::Dabrafenib,386,3.3678756476683938,97,5.154639175257731,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['BRAF', 'STAG2', 'NRAS', 'MITF', 'EZH2']","{'NF1', 'CDKN2A', 'MAP2K2', 'RAC1', 'HLA-DRB1', 'ATXN1L', 'MAP2K1', 'HRAS'}"
OCI-AML2::Talazoparib,386,2.072538860103627,97,3.0927835051546393,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'PTEN']","{'SLFN11', 'PSMD4', 'BRCA1', 'ATM', 'BRCA2'}"
SNU-387::Talazoparib,386,2.072538860103627,97,3.0927835051546393,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'PTEN']","{'SLFN11', 'PSMD4', 'BRCA1', 'ATM', 'BRCA2'}"
SK-HEP-1::Talazoparib,386,2.072538860103627,97,3.0927835051546393,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'PTEN']","{'SLFN11', 'PSMD4', 'BRCA1', 'ATM', 'BRCA2'}"
OCI-M1::Pemetrexed,386,2.849740932642487,97,4.123711340206185,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,36.36363636363637,"['DHFR', 'TYMS', 'FOLR3', 'SLC46A1']","{'GGH', 'ATIC', 'KRAS', 'ALK', 'MTHFR', 'SLC19A1', 'GART'}"
OCI-M1::Bortezomib,386,17.616580310880828,97,24.742268041237114,"['PSMC2', 'PSMD4P1', 'PSMD11', 'PSMB3', 'PSMD3', 'PSMA8', 'PSMB10', 'PSMC3IP', 'PSMD14', 'PSMD8', 'PSMD13', 'PSMC1P1', 'PSMD10P2', 'PSME3', 'PSMB1', 'PSMD9', 'PSMD10P3', 'PSMD6', 'PSMD12', 'PSMC3', 'PSME2P2', 'PSMA1', 'PSMD4', 'PSMC4', 'PSMB8', 'PSMD2', 'PSME1', 'PSMD10', 'PSMD5', 'PSMA6', 'PSMD1', 'PSMA3', 'PSME2', 'PSMA4', 'PSMC5', 'PSMC1', 'PSMB6', 'PSMB5', 'PSMB4', 'PSMB9', 'PSME4', 'PSMA2', 'PSMB7', 'PSMD7', 'PSMB2', 'PSMB11', 'PSMA7', 'ADRM1', 'PSMA5', 'PSMF1', 'PSMC6', 'PIPSL', 'PSMD10P1', 'SEM1', 'BCL2L2', 'PRSS1', 'PMAIP1', 'CTSB', 'KLK4', 'PRSS3', 'F12', 'PRSS2', 'GATA2', 'CAPN1', 'HSPB2', 'PRB2', 'PLAT', 'CTSL']",68,35.294117647058826,"['PSMD4P1', 'PSMB3', 'PSMA8', 'PSMB10', 'PSMC3IP', 'PSMD13', 'PSMC1P1', 'PSMD10P2', 'PSMD10P3', 'PSMD6', 'PSMA1', 'PSMD10', 'PSMD5', 'PSMD1', 'PSMA4', 'PSMC1', 'PSMB5', 'PSMB4', 'PSMB9', 'PSMB7', 'PSMD7', 'PSMB11', 'PSMA5', 'PSMF1']","{'HSPB2', 'PSMD2', 'PMAIP1', 'PSMC5', 'F12', 'PSMC6', 'PSMD9', 'PSMB8', 'PSME1', 'ADRM1', 'CAPN1', 'PSME4', 'PSMA6', 'PRSS3', 'PSMA2', 'PSMC2', 'PSMC4', 'PSME2P2', 'PSMA7', 'PRSS1', 'PSMD3', 'KLK4', 'PSMB1', 'PLAT', 'PSMD8', 'SEM1', 'PRB2', 'CTSL', 'CTSB', 'PSMA3', 'PSMD4', 'PSMB2', 'PIPSL', 'PSME3', 'PRSS2', 'PSMD12', 'GATA2', 'PSMD10P1', 'PSMB6', 'PSMD11', 'PSMD14', 'PSMC3', 'PSME2', 'BCL2L2'}"
SNU-387::Bosutinib,386,1.5544041450777202,97,2.0618556701030926,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'EGFR']","{'HCK', 'BCR', 'LYN', 'SRC'}"
OE33::Bosutinib,386,1.5544041450777202,97,2.0618556701030926,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'EGFR']","{'HCK', 'BCR', 'LYN', 'SRC'}"
MV-4-11::Dabrafenib,386,3.3678756476683938,97,4.123711340206185,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,30.76923076923077,"['CDKN2A', 'STAG2', 'NRAS', 'EZH2']","{'NF1', 'MITF', 'MAP2K2', 'RAC1', 'HLA-DRB1', 'ATXN1L', 'MAP2K1', 'HRAS', 'BRAF'}"
