cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-M1::Alectinib,386,1.8134715025906734,97,4.123711340206185,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,57.14285714285714,"['ALK', 'FGFR1', 'EML4', 'SMAD4']","{'RET', 'CDKN2A', 'NPM1'}"
KMOE-2::Bosutinib,386,1.5544041450777202,97,3.0927835051546393,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'ABL1', 'BCR']","{'SRC', 'LYN', 'EGFR'}"
OCI-AML2::Talazoparib,386,2.072538860103627,97,4.123711340206185,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP2', 'PTEN', 'SLFN11', 'BRCA1']","{'PARP1', 'PSMD4', 'ATM', 'BRCA2'}"
KMOE-2::Temozolomide,386,3.1088082901554404,97,5.154639175257731,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'STAG2', 'ATRX', 'ATM', 'MGMT']","{'NOTCH1', 'H2AX', 'BRCA2', 'MSH6', 'CSF2', 'HDAC4', 'PRL'}"
OCI-M1::Palbociclib,386,3.1088082901554404,97,5.154639175257731,"['CDK6', 'CDK4', 'CCND1', 'DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B', 'RB1', 'PRKX', 'CCNE1', 'CCND3']",12,41.66666666666667,"['CDK6', 'CCND1', 'CDKN2A', 'SMARCA4', 'CDKN2B']","{'CDK4', 'DYRK1B', 'SMARCB1', 'PRKX', 'RB1', 'CCNE1', 'CCND3'}"
KMOE-2::Olaparib,386,4.404145077720207,97,7.216494845360824,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,41.17647058823529,"['PARP3', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1']","{'STAG2', 'IDH2', 'PARP2', 'CDK12', 'PARP1', 'MYC', 'BRCA1', 'ATM', 'VHL', 'PALB2'}"
MV-4-11::Bexarotene,386,1.2953367875647668,97,2.0618556701030926,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'MAPK8', 'RXRB'}"
OCI-M1::Vinorelbine,386,6.217616580310881,97,9.278350515463918,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,37.5,"['BAX', 'TUBB4B', 'CASP7', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A']","{'TUBB2A', 'TUBB2B', 'TUB', 'TUBB', 'RRM1', 'TUBB3', 'TUBA3D', 'TUBA1C', 'TUBB4A', 'APC', 'BRCA2', 'SMARCA4', 'TUBA1B', 'XRCC1', 'TUBB8'}"
KMOE-2::Talazoparib,386,2.072538860103627,97,3.0927835051546393,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PTEN', 'SLFN11', 'BRCA1']","{'PARP1', 'PSMD4', 'ATM', 'BRCA2', 'PARP2'}"
OCI-AML2::Olaparib,386,4.404145077720207,97,6.185567010309279,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,35.294117647058826,"['PARP2', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1']","{'STAG2', 'ATR', 'IDH2', 'CDK12', 'PARP3', 'PARP1', 'MYC', 'BRCA1', 'ATM', 'VHL', 'PALB2'}"
