cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE33::Bosutinib,8457,0.0709471443774388,2114,0.14191106906338694,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'HCK', 'LYN', 'ABL1'}"
MV-4-11::Bosutinib,8457,0.0709471443774388,2114,0.14191106906338694,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'LYN']","{'BCR', 'ABL1', 'EGFR'}"
OCI-M1::Dabrafenib,8457,0.15371881281778407,2114,0.28382213812677387,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,46.15384615384615,"['CDKN2A', 'STAG2', 'ATXN1L', 'MITF', 'MAP2K2', 'RAC1']","{'NF1', 'HLA-DRB1', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF', 'NRAS'}"
OCI-M1::Alectinib,8457,0.08277166844034528,2114,0.14191106906338694,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['NPM1', 'CDKN2A', 'RET']","{'ALK', 'SMAD4', 'FGFR1', 'EML4'}"
SNU-387::Temozolomide,8457,0.1418942887548776,2114,0.23651844843897823,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'CSF2', 'STAG2', 'ATRX', 'MGMT']","{'MSH6', 'PRL', 'NOTCH1', 'HDAC4', 'BRCA2', 'ATM', 'H2AX'}"
SNU-387::Bexarotene,8457,0.05912262031453234,2114,0.0946073793755913,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'RXRB', 'MAPK8'}"
MV-4-11::Bexarotene,8457,0.05912262031453234,2114,0.0946073793755913,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'RXRB', 'MAPK8'}"
OCI-AML2::Dabrafenib,8457,0.15371881281778407,2114,0.23651844843897823,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'HLA-DRB1', 'MITF', 'MAP2K2', 'RAC1']","{'NF1', 'STAG2', 'ATXN1L', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF', 'NRAS'}"
OE33::Dabrafenib,8457,0.15371881281778407,2114,0.23651844843897823,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'STAG2', 'MITF', 'MAP2K2', 'RAC1']","{'NF1', 'HLA-DRB1', 'ATXN1L', 'MAP2K1', 'EZH2', 'HRAS', 'BRAF', 'NRAS'}"
SNU-387::Talazoparib,8457,0.09459619250325174,2114,0.14191106906338694,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'ATM', 'PTEN']","{'SLFN11', 'PSMD4', 'BRCA1', 'PARP1', 'BRCA2'}"
