cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
MV-4-11::Bosutinib,8457,0.0709471443774388,2114,0.14191106906338694,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'LYN']","{'EGFR', 'ABL1', 'BCR'}"
KMOE-2::Bosutinib,8457,0.0709471443774388,2114,0.14191106906338694,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'HCK', 'ABL1', 'LYN'}"
KMOE-2::Alectinib,8457,0.08277166844034528,1525,0.19672131147540983,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['NPM1', 'CDKN2A', 'SMAD4']","{'EML4', 'FGFR1', 'RET', 'ALK'}"
OCI-M1::Alectinib,8457,0.08277166844034528,1294,0.23183925811437403,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['NPM1', 'CDKN2A', 'SMAD4']","{'EML4', 'FGFR1', 'RET', 'ALK'}"
SK-HEP-1::Afatinib,8457,0.11824524062906468,1520,0.2631578947368421,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'EML4', 'MET', 'BRAF']","{'KRAS', 'ERBB2', 'NRAS', 'ERBB3', 'ERBB4', 'NRG1'}"
MV-4-11::Bexarotene,8457,0.05912262031453234,2114,0.0946073793755913,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'RXRB', 'NR1H3', 'MAPK8'}"
KMOE-2::Crizotinib,8457,0.15371881281778407,1503,0.332667997338656,"['MET', 'ROS1', 'ALK', 'EML4', 'NPM1', 'ETV6', 'PTPN12', 'SMAD4', 'AREG', 'EGFR', 'CDKN2A', 'NTRK1', 'KRAS']",13,38.46153846153847,"['ROS1', 'PTPN12', 'SMAD4', 'AREG', 'EGFR']","{'ETV6', 'EML4', 'CDKN2A', 'NPM1', 'KRAS', 'NTRK1', 'MET', 'ALK'}"
KMOE-2::Talazoparib,8457,0.09459619250325174,1959,0.1531393568147014,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'ATM']","{'BRCA2', 'BRCA1', 'PSMD4', 'PTEN', 'SLFN11'}"
OCI-AML2::Talazoparib,8457,0.09459619250325174,1777,0.16882386043894204,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'ATM']","{'BRCA2', 'BRCA1', 'PSMD4', 'PTEN', 'SLFN11'}"
OCI-AML2::Panobinostat,8457,0.18919238500650348,2114,0.28382213812677387,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,37.5,"['HDAC8', 'HDAC7', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC3']","{'HDAC1', 'HDAC11', 'SMARCB1', 'KRAS', 'BAP1', 'HDAC6', 'MYCN', 'HDAC4', 'HDAC10', 'KMT2A'}"
OCI-AML2::Bosutinib,8457,0.0709471443774388,1919,0.10422094841063052,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['SRC', 'EGFR']","{'HCK', 'ABL1', 'BCR', 'LYN'}"
SK-HEP-1::Bosutinib,8457,0.0709471443774388,1924,0.10395010395010396,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'SRC']","{'EGFR', 'HCK', 'BCR', 'LYN'}"
