cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SNU-398::Bosutinib,386,1.5544041450777202,97,5.154639175257731,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,83.33333333333334,"['ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",{'HCK'}
OCI-M1::Alectinib,386,1.8134715025906734,97,5.154639175257731,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,71.42857142857143,"['FGFR1', 'EML4', 'NPM1', 'SMAD4', 'RET']","{'ALK', 'CDKN2A'}"
OE33::Bosutinib,386,1.5544041450777202,97,4.123711340206185,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'LYN', 'BCR', 'EGFR']","{'HCK', 'SRC'}"
KMOE-2::Bosutinib,386,1.5544041450777202,97,3.0927835051546393,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'LYN', 'EGFR']","{'HCK', 'BCR', 'SRC'}"
SNU-387::Bosutinib,386,1.5544041450777202,97,3.0927835051546393,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'BCR', 'EGFR']","{'HCK', 'LYN', 'SRC'}"
KMOE-2::Alectinib,386,1.8134715025906734,97,3.0927835051546393,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['FGFR1', 'EML4', 'RET']","{'ALK', 'SMAD4', 'NPM1', 'CDKN2A'}"
OCI-AML2::Temozolomide,386,3.1088082901554404,97,5.154639175257731,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'HDAC4', 'CSF2', 'ATM', 'H2AX']","{'ATRX', 'MSH6', 'PRL', 'NOTCH1', 'MGMT', 'STAG2', 'BRCA2'}"
SNU-387::Bexarotene,386,1.2953367875647668,97,2.0618556701030926,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'RXRB', 'MAPK8'}"
MV-4-11::Bexarotene,386,1.2953367875647668,97,2.0618556701030926,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'RXRB', 'MAPK8'}"
OCI-M1::Crizotinib,386,3.3678756476683938,97,5.154639175257731,"['MET', 'ROS1', 'ALK', 'EML4', 'NPM1', 'ETV6', 'PTPN12', 'SMAD4', 'AREG', 'EGFR', 'CDKN2A', 'NTRK1', 'KRAS']",13,38.46153846153847,"['MET', 'EML4', 'ETV6', 'SMAD4', 'EGFR']","{'KRAS', 'NPM1', 'CDKN2A', 'ROS1', 'NTRK1', 'ALK', 'AREG', 'PTPN12'}"
MV-4-11::Dabrafenib,386,3.3678756476683938,97,5.154639175257731,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'HLA-DRB1', 'STAG2', 'EZH2', 'RAC1']","{'NF1', 'MITF', 'MAP2K2', 'ATXN1L', 'MAP2K1', 'HRAS', 'BRAF', 'NRAS'}"
KMOE-2::Dabrafenib,386,3.3678756476683938,97,5.154639175257731,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'HLA-DRB1', 'STAG2', 'EZH2', 'RAC1']","{'NF1', 'MITF', 'MAP2K2', 'ATXN1L', 'MAP2K1', 'HRAS', 'BRAF', 'NRAS'}"
