cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE33::Bosutinib,386,1.5544041450777202,97,4.123711340206185,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['SRC', 'LYN', 'BCR', 'EGFR']","{'HCK', 'ABL1'}"
SNU-398::Bosutinib,386,1.5544041450777202,97,4.123711340206185,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['SRC', 'LYN', 'BCR', 'EGFR']","{'HCK', 'ABL1'}"
OCI-AML2::Talazoparib,386,2.072538860103627,97,4.123711340206185,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP1', 'PTEN', 'SLFN11', 'BRCA1']","{'BRCA2', 'ATM', 'PSMD4', 'PARP2'}"
SNU-387::Bosutinib,386,1.5544041450777202,97,3.0927835051546393,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'LYN', 'BCR']","{'EGFR', 'HCK', 'ABL1'}"
KMOE-2::Bosutinib,386,1.5544041450777202,97,3.0927835051546393,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['LYN', 'BCR', 'EGFR']","{'HCK', 'SRC', 'ABL1'}"
OCI-M1::Dabrafenib,386,3.3678756476683938,97,6.185567010309279,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,46.15384615384615,"['CDKN2A', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1']","{'BRAF', 'MAP2K1', 'NF1', 'STAG2', 'HLA-DRB1', 'NRAS', 'HRAS'}"
KMOE-2::Alectinib,386,1.8134715025906734,97,3.0927835051546393,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'SMAD4', 'RET']","{'EML4', 'FGFR1', 'CDKN2A', 'NPM1'}"
OE33::Afatinib,386,2.5906735751295336,97,4.123711340206185,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['ERBB2', 'ERBB4', 'EML4', 'MET']","{'EGFR', 'BRAF', 'KRAS', 'NRAS', 'ERBB3', 'NRG1'}"
SNU-387::Afatinib,386,2.5906735751295336,97,4.123711340206185,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['ERBB2', 'ERBB4', 'EML4', 'MET']","{'EGFR', 'BRAF', 'KRAS', 'NRAS', 'ERBB3', 'NRG1'}"
MV-4-11::Bexarotene,386,1.2953367875647668,97,2.0618556701030926,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'RXRB', 'NR1H3', 'MAPK8'}"
