cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-AML2::Bosutinib,516,1.1627906976744187,52,3.8461538461538463,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['HCK', 'EGFR']","{'ABL1', 'LYN', 'SRC', 'BCR'}"
MV-4-11::Panobinostat,516,3.10077519379845,52,9.615384615384617,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,31.25,"['HDAC7', 'HDAC1', 'HDAC6', 'HDAC4', 'HDAC10']","{'KMT2A', 'MYCN', 'KRAS', 'HDAC8', 'HDAC9', 'SMARCB1', 'HDAC5', 'HDAC3', 'BAP1', 'HDAC2', 'HDAC11'}"
OCI-M1::Ruxolitinib,516,2.131782945736434,52,5.769230769230769,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",11,27.27272727272727,"['JAK1', 'VHL', 'MPL']","{'PLAUR', 'CRLF2', 'FADD(S194);', 'JAK2', 'JAK3', 'CSF3R', 'STAT3(S727);', 'STAT1(S727);'}"
MV-4-11::Ruxolitinib,516,2.131782945736434,52,5.769230769230769,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",11,27.27272727272727,"['JAK1', 'VHL', 'MPL']","{'PLAUR', 'CRLF2', 'FADD(S194);', 'JAK2', 'JAK3', 'CSF3R', 'STAT3(S727);', 'STAT1(S727);'}"
KMOE-2::Panobinostat,516,3.10077519379845,52,7.6923076923076925,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,25.0,"['HDAC7', 'HDAC2', 'HDAC10', 'HDAC11']","{'KMT2A', 'MYCN', 'KRAS', 'HDAC8', 'HDAC1', 'HDAC6', 'HDAC9', 'SMARCB1', 'HDAC5', 'HDAC3', 'BAP1', 'HDAC4'}"
PL-21::Pemetrexed,516,2.3255813953488373,52,5.769230769230769,"['KMT2A(S516);', 'DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",12,25.0,"['ATIC', 'SLC46A1', 'GGH']","{'ALK', 'KRAS', 'TYMS', 'DHFR', 'MTHFR', 'KMT2A(S516);', 'FOLR3', 'SLC19A1', 'GART'}"
OCI-AML2::Temozolomide,516,2.3255813953488373,52,5.769230769230769,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['CSF2', 'ATRX', 'MGMT']","{'PRL', 'H2AX', 'BRCA2', 'HDAC4', 'NOTCH1', 'MSH6', 'STAG2', 'SLFN11', 'ATM'}"
OCI-M1::Temozolomide,516,2.3255813953488373,52,5.769230769230769,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['CSF2', 'ATRX', 'ATM']","{'PRL', 'H2AX', 'BRCA2', 'HDAC4', 'NOTCH1', 'MSH6', 'STAG2', 'SLFN11', 'MGMT'}"
KMOE-2::Afatinib,516,2.3255813953488373,52,5.769230769230769,"['TAL1(S122);', 'MAPK1(T185);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",12,25.0,"['EGFR', 'ERBB4', 'BRAF']","{'TAL1(S122);', 'KRAS', 'EML4', 'ERBB3', 'MET', 'ERBB2', 'NRG1', 'MAPK1(T185);', 'NRAS'}"
SK-HEP-1::Afatinib,516,2.3255813953488373,52,5.769230769230769,"['TAL1(S122);', 'MAPK1(T185);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",12,25.0,"['ERBB4', 'KRAS', 'BRAF']","{'TAL1(S122);', 'EGFR', 'EML4', 'ERBB3', 'MET', 'ERBB2', 'NRG1', 'MAPK1(T185);', 'NRAS'}"
OCI-AML2::Olaparib,516,3.2945736434108532,52,7.6923076923076925,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,23.52941176470588,"['PARP2', 'PARP1', 'IDH2', 'CHEK1']","{'ATR', 'BRCA2', 'STAG2', 'CDK12', 'VHL', 'PALB2', 'BAP1', 'PARP3', 'BARD1', 'CBLC', 'MYC', 'BRCA1', 'ATM'}"
PL-21::Midostaurin,516,3.2945736434108532,52,7.6923076923076925,"['KIT', 'PRKCA', 'PRKCZ', 'PRKCE', 'PRKCI', 'PRKCB', 'PDGFRA', 'PRKCQ', 'PRKCH', 'PRKD1', 'FLT3', 'PRKCG', 'HSPA4', 'ETV6', 'NPM1', 'STK32B', 'PIK3CB']",17,23.52941176470588,"['KIT', 'PRKCA', 'PRKCE', 'PRKCQ']","{'PRKCH', 'PRKD1', 'PRKCG', 'STK32B', 'ETV6', 'FLT3', 'PRKCZ', 'PDGFRA', 'NPM1', 'PRKCB', 'PRKCI', 'HSPA4', 'PIK3CB'}"
MOLM-13::Palbociclib,516,2.5193798449612403,52,5.769230769230769,"['JAK2(S523);', 'CDK6', 'CDK4', 'CCND1', 'DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B', 'RB1', 'PRKX', 'CCNE1', 'CCND3']",13,23.076923076923077,"['CCND1', 'CDKN2A', 'SMARCB1']","{'CCND3', 'CDK4', 'RB1', 'JAK2(S523);', 'CDKN2B', 'DYRK1B', 'CDK6', 'SMARCA4', 'PRKX', 'CCNE1'}"
OCI-M1::Alectinib,516,1.744186046511628,52,3.8461538461538463,"['PPP1CC(T307);', 'SGO1(S507);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",9,22.22222222222222,"['ALK', 'NPM1']","{'EML4', 'RET', 'PPP1CC(T307);', 'CDKN2A', 'FGFR1', 'SMAD4', 'SGO1(S507);'}"
PL-21::Alectinib,516,1.744186046511628,52,3.8461538461538463,"['PPP1CC(T307);', 'SGO1(S507);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",9,22.22222222222222,"['FGFR1', 'SMAD4']","{'ALK', 'EML4', 'RET', 'PPP1CC(T307);', 'CDKN2A', 'NPM1', 'SGO1(S507);'}"
KMOE-2::Alectinib,516,1.744186046511628,52,3.8461538461538463,"['PPP1CC(T307);', 'SGO1(S507);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",9,22.22222222222222,"['NPM1', 'SMAD4']","{'ALK', 'EML4', 'RET', 'PPP1CC(T307);', 'CDKN2A', 'FGFR1', 'SGO1(S507);'}"
