cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
MV-4-11::Bexarotene,516,0.9689922480620154,52,3.8461538461538463,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'MAPK8', 'RXRB'}"
OCI-AML2::Talazoparib,516,2.131782945736434,52,7.6923076923076925,"['JUN(S63);', 'GATA2(S192);', 'JUN(S63);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",11,36.36363636363637,"['JUN(S63);', 'ATM', 'PTEN', 'SLFN11']","{'GATA2(S192);', 'PSMD4', 'BRCA2', 'PARP1', 'BRCA1', 'PARP2'}"
KMOE-2::Temozolomide,516,2.3255813953488373,52,7.6923076923076925,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,33.33333333333333,"['SLFN11', 'HDAC4', 'PRL', 'MGMT']","{'H2AX', 'MSH6', 'CSF2', 'STAG2', 'BRCA2', 'ATM', 'ATRX', 'NOTCH1'}"
MV-4-11::Vorinostat,516,4.651162790697675,52,15.384615384615385,"['PIK3CD(S1039);', 'HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'HDAC6', 'HDAC9', 'CFTR', 'NPM1', 'RB1', 'SMARCB1', 'FBXW7', 'TUBA3C', 'EZH2', 'MYD88', 'TUBB4A', 'BAP1', 'CHD4', 'NR0B1']",24,33.33333333333333,"['HDAC7', 'HDAC1', 'HDAC4', 'HDAC10', 'HDAC6', 'CFTR', 'RB1', 'SMARCB1']","{'CHD4', 'NPM1', 'PIK3CD(S1039);', 'HDAC5', 'MYD88', 'TUBA3C', 'HDAC3', 'HDAC8', 'HDAC2', 'HDAC11', 'BAP1', 'EZH2', 'TUBB4A', 'FBXW7', 'NR0B1', 'HDAC9'}"
MV-4-11::Belinostat,516,2.5193798449612403,52,7.6923076923076925,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC10', 'HDAC7', 'HDAC11', 'HDAC9', 'HDAC1', 'HDAC3', 'HDAC6', 'HDAC8', 'UGT1A1', 'FBXW7']",13,30.76923076923077,"['HDAC5', 'HDAC7', 'HDAC11', 'HDAC9']","{'UGT1A1', 'FBXW7', 'HDAC1', 'HDAC8', 'HDAC6', 'HDAC10', 'HDAC4', 'HDAC3', 'HDAC2'}"
SIG-M5::Belinostat,516,2.5193798449612403,52,7.6923076923076925,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC10', 'HDAC7', 'HDAC11', 'HDAC9', 'HDAC1', 'HDAC3', 'HDAC6', 'HDAC8', 'UGT1A1', 'FBXW7']",13,30.76923076923077,"['HDAC5', 'HDAC7', 'HDAC11', 'HDAC9']","{'UGT1A1', 'FBXW7', 'HDAC1', 'HDAC8', 'HDAC6', 'HDAC10', 'HDAC4', 'HDAC3', 'HDAC2'}"
SK-HEP-1::Afatinib,516,1.937984496124031,52,5.769230769230769,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,30.0,"['ERBB2', 'ERBB4', 'EML4']","{'BRAF', 'MET', 'KRAS', 'EGFR', 'NRG1', 'NRAS', 'ERBB3'}"
MV-4-11::Temozolomide,516,2.3255813953488373,52,5.769230769230769,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['HDAC4', 'STAG2', 'ATRX']","{'H2AX', 'MSH6', 'CSF2', 'SLFN11', 'MGMT', 'PRL', 'BRCA2', 'ATM', 'NOTCH1'}"
OCI-AML2::Temozolomide,516,2.3255813953488373,52,5.769230769230769,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['SLFN11', 'ATRX', 'ATM']","{'H2AX', 'MSH6', 'CSF2', 'MGMT', 'STAG2', 'PRL', 'BRCA2', 'HDAC4', 'NOTCH1'}"
OCI-AML2::Olaparib,516,3.2945736434108532,52,7.6923076923076925,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,23.52941176470588,"['PARP2', 'IDH2', 'CHEK1', 'VHL']","{'ATR', 'PALB2', 'PARP1', 'BRCA1', 'PARP3', 'BARD1', 'CBLC', 'BAP1', 'MYC', 'STAG2', 'BRCA2', 'CDK12', 'ATM'}"
