cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SK-HEP-1::Alectinib,31261,0.028789865967179553,3126,0.12795905310300704,"['PPP1CC(T307);', 'SGO1(S507);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",9,44.44444444444444,"['NPM1', 'CDKN2A', 'SMAD4', 'RET']","{'ALK', 'EML4', 'PPP1CC(T307);', 'FGFR1', 'SGO1(S507);'}"
PL-21::Alectinib,31261,0.028789865967179553,3126,0.12795905310300704,"['PPP1CC(T307);', 'SGO1(S507);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",9,44.44444444444444,"['ALK', 'NPM1', 'CDKN2A', 'SMAD4']","{'EML4', 'RET', 'PPP1CC(T307);', 'FGFR1', 'SGO1(S507);'}"
SK-HEP-1::Afatinib,31261,0.038386487956239404,3126,0.1599488163787588,"['TAL1(S122);', 'MAPK1(T185);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",12,41.66666666666667,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4']","{'TAL1(S122);', 'ERBB3', 'BRAF', 'MET', 'NRG1', 'MAPK1(T185);', 'NRAS'}"
MV-4-11::Bexarotene,31261,0.015994369981766416,3126,0.06397952655150352,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'MAPK8', 'RXRB', 'NR1H3'}"
SK-HEP-1::Temsirolimus,31261,0.03518761395988612,3126,0.12795905310300704,"['MTOR', 'BRAF', 'FKBP1A', 'CTNNB1', 'NF2', 'PIK3CA', 'PTEN', 'VHL', 'FBXW7', 'KRAS', 'AKT1']",11,36.36363636363637,"['MTOR', 'BRAF', 'FKBP1A', 'NF2']","{'VHL', 'AKT1', 'KRAS', 'FBXW7', 'PIK3CA', 'PTEN', 'CTNNB1'}"
MV-4-11::Ruxolitinib,31261,0.03518761395988612,3126,0.12795905310300704,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",11,36.36363636363637,"['JAK2', 'JAK3', 'VHL', 'MPL']","{'PLAUR', 'CRLF2', 'FADD(S194);', 'CSF3R', 'JAK1', 'STAT3(S727);', 'STAT1(S727);'}"
SK-HEP-1::Trametinib,31261,0.09916509388695179,3126,0.35188739603326935,"['MAP2K3', 'MAP2K1', 'MAP2K6', 'MAP2K4', 'MAP2K5', 'MAP2K2', 'MAP2K7', 'GNA11', 'ARAF', 'ATXN1L', 'ETV5', 'ETV4', 'ETV1', 'NF1', 'NRAS', 'DDX43', 'STAG2', 'BRAF', 'STK11', 'CDKN2A', 'DUSP6', 'RB1', 'KRAS', 'RASA1', 'RAF1', 'ERBB3', 'CIC', 'GNAQ', 'HRAS', 'VHL', 'CTNNB1']",31,35.483870967741936,"['MAP2K1', 'MAP2K6', 'MAP2K2', 'ARAF', 'ETV4', 'ETV1', 'NF1', 'NRAS', 'DDX43', 'STAG2', 'STK11']","{'RASA1', 'KRAS', 'GNAQ', 'MAP2K3', 'HRAS', 'BRAF', 'MAP2K5', 'ETV5', 'MAP2K7', 'GNA11', 'RAF1', 'VHL', 'MAP2K4', 'CDKN2A', 'RB1', 'DUSP6', 'CIC', 'ATXN1L', 'CTNNB1', 'ERBB3'}"
OCI-AML2::Olaparib,31261,0.054380857938005824,3126,0.19193857965451055,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,35.294117647058826,"['PARP2', 'PARP3', 'PARP1', 'ATR', 'BARD1', 'BRCA2']","{'STAG2', 'IDH2', 'CDK12', 'VHL', 'CHEK1', 'PALB2', 'BAP1', 'CBLC', 'MYC', 'BRCA1', 'ATM'}"
SK-HEP-1::Pemetrexed,31261,0.038386487956239404,3126,0.12795905310300704,"['KMT2A(S516);', 'DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",12,33.33333333333333,"['DHFR', 'SLC46A1', 'GGH', 'KRAS']","{'ALK', 'TYMS', 'MTHFR', 'KMT2A(S516);', 'ATIC', 'FOLR3', 'SLC19A1', 'GART'}"
OCI-M1::Temozolomide,31261,0.038386487956239404,3126,0.12795905310300704,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,33.33333333333333,"['SLFN11', 'HDAC4', 'STAG2', 'ATM']","{'PRL', 'H2AX', 'BRCA2', 'CSF2', 'NOTCH1', 'MSH6', 'MGMT', 'ATRX'}"
