cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
JHH-4::Bosutinib,31261,0.019193243978119702,3126,0.1599488163787588,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,83.33333333333334,"['HCK', 'ABL1', 'SRC', 'BCR', 'EGFR']",{'LYN'}
OE19::Bosutinib,31261,0.019193243978119702,3126,0.12795905310300704,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'BCR', 'EGFR']","{'HCK', 'LYN'}"
KYSE-150::Bosutinib,31261,0.019193243978119702,3126,0.12795905310300704,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'LYN', 'EGFR']","{'HCK', 'BCR'}"
JHH-4::Nilotinib,31261,0.03198873996353283,3126,0.1599488163787588,"['ABL1', 'KIT', 'PDGFRA', 'PDGFRB', 'DDR2', 'LYN', 'BCR', 'UGT1A1', 'ABCG2', 'FLT3']",10,50.0,"['ABL1', 'KIT', 'PDGFRB', 'DDR2', 'UGT1A1']","{'LYN', 'FLT3', 'BCR', 'PDGFRA', 'ABCG2'}"
KYSE-70::Bosutinib,31261,0.019193243978119702,3126,0.09596928982725528,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'LYN', 'BCR']","{'HCK', 'EGFR', 'SRC'}"
KYSE-520::Bosutinib,31261,0.019193243978119702,3126,0.09596928982725528,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'BCR', 'EGFR']","{'HCK', 'LYN', 'SRC'}"
THP-1::Alectinib,31261,0.022392117974472985,3126,0.09596928982725528,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'NPM1', 'CDKN2A']","{'EML4', 'FGFR1', 'SMAD4', 'RET'}"
GDM-1::Alectinib,31261,0.022392117974472985,3126,0.09596928982725528,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['FGFR1', 'CDKN2A', 'RET']","{'EML4', 'ALK', 'NPM1', 'SMAD4'}"
KYSE-150::Afatinib,31261,0.03198873996353283,3126,0.12795905310300704,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB2', 'EML4', 'MET']","{'NRAS', 'NRG1', 'ERBB4', 'ERBB3', 'KRAS', 'BRAF'}"
JHH-4::Afatinib,31261,0.03198873996353283,3126,0.12795905310300704,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB2', 'EML4', 'BRAF']","{'MET', 'NRAS', 'NRG1', 'ERBB4', 'ERBB3', 'KRAS'}"
