cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SNU-387::Pemetrexed,516,2.3255813953488373,52,9.615384615384617,"['JAK2(S523);', 'DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",12,41.66666666666667,"['DHFR', 'GART', 'ATIC', 'FOLR3', 'MTHFR']","{'TYMS', 'JAK2(S523);', 'ALK', 'KRAS', 'SLC19A1', 'GGH', 'SLC46A1'}"
SNU-387::Cabozantinib,516,1.937984496124031,52,5.769230769230769,"['RET', 'KDR', 'MET', 'FLT3', 'KIT', 'TEK', 'GNA11', 'CFLAR', 'ROS1', 'HRAS']",10,30.0,"['RET', 'KDR', 'FLT3']","{'ROS1', 'TEK', 'MET', 'HRAS', 'GNA11', 'CFLAR', 'KIT'}"
SKM-1::Afatinib,516,1.937984496124031,52,5.769230769230769,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,30.0,"['EGFR', 'ERBB2', 'ERBB4']","{'BRAF', 'MET', 'KRAS', 'NRG1', 'NRAS', 'ERBB3', 'EML4'}"
OCI-M1::Alectinib,516,1.3565891472868217,52,3.8461538461538463,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['NPM1', 'SMAD4']","{'FGFR1', 'EML4', 'ALK', 'RET', 'CDKN2A'}"
OCI-AML2::Talazoparib,516,2.131782945736434,52,5.769230769230769,"['JUN(S63);', 'GATA2(S192);', 'JUN(S63);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",11,27.27272727272727,"['JUN(S63);', 'PTEN', 'SLFN11']","{'GATA2(S192);', 'PSMD4', 'BRCA2', 'ATM', 'PARP1', 'BRCA1', 'PARP2'}"
SNU-398::Talazoparib,516,2.131782945736434,52,5.769230769230769,"['JUN(S63);', 'GATA2(S192);', 'JUN(S63);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",11,27.27272727272727,"['JUN(S63);', 'PARP2', 'ATM']","{'GATA2(S192);', 'PSMD4', 'SLFN11', 'BRCA2', 'PTEN', 'PARP1', 'BRCA1'}"
SKM-1::Temozolomide,516,2.3255813953488373,52,5.769230769230769,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['SLFN11', 'PRL', 'ATRX']","{'H2AX', 'MSH6', 'CSF2', 'MGMT', 'STAG2', 'BRCA2', 'ATM', 'HDAC4', 'NOTCH1'}"
OE33::Pemetrexed,516,2.3255813953488373,52,5.769230769230769,"['JAK2(S523);', 'DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",12,25.0,"['DHFR', 'FOLR3', 'KRAS']","{'TYMS', 'JAK2(S523);', 'ALK', 'MTHFR', 'ATIC', 'SLC19A1', 'GGH', 'SLC46A1', 'GART'}"
OCI-AML2::Temozolomide,516,2.3255813953488373,52,5.769230769230769,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['SLFN11', 'PRL', 'ATM']","{'H2AX', 'MSH6', 'CSF2', 'MGMT', 'STAG2', 'BRCA2', 'ATRX', 'HDAC4', 'NOTCH1'}"
SNU-398::Lenalidomide,516,2.3255813953488373,52,5.769230769230769,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,25.0,"['CRBN', 'CTNNB1', 'TNF']","{'VEGFB', 'RBX1', 'TNFSF11', 'VEGFC', 'DDB1', 'FGF2', 'VEGFA', 'IKZF1', 'CUL4A'}"
SNU-387::Lenalidomide,516,2.3255813953488373,52,5.769230769230769,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,25.0,"['TNFSF11', 'CTNNB1', 'TNF']","{'VEGFB', 'RBX1', 'CRBN', 'VEGFC', 'DDB1', 'FGF2', 'VEGFA', 'IKZF1', 'CUL4A'}"
OE33::Lenalidomide,516,2.3255813953488373,52,5.769230769230769,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,25.0,"['TNFSF11', 'RBX1', 'TNF']","{'VEGFB', 'CRBN', 'VEGFC', 'DDB1', 'CTNNB1', 'FGF2', 'VEGFA', 'IKZF1', 'CUL4A'}"
