cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-AML2::Talazoparib,386,2.072538860103627,39,7.6923076923076925,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP1', 'ATM', 'PTEN']","{'PSMD4', 'PARP2', 'BRCA2', 'SLFN11', 'BRCA1'}"
MV-4-11::Ruxolitinib,386,2.072538860103627,39,7.6923076923076925,"['JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",8,37.5,"['JAK1', 'VHL', 'MPL']","{'PLAUR', 'CRLF2', 'JAK2', 'JAK3', 'CSF3R'}"
OCI-AML2::Bosutinib,386,1.5544041450777202,39,5.128205128205128,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['HCK', 'EGFR']","{'ABL1', 'LYN', 'SRC', 'BCR'}"
SK-HEP-1::Afatinib,386,2.5906735751295336,39,7.6923076923076925,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,30.0,"['ERBB4', 'KRAS', 'BRAF']","{'EGFR', 'EML4', 'ERBB3', 'MET', 'ERBB2', 'NRG1', 'NRAS'}"
KMOE-2::Talazoparib,386,2.072538860103627,39,5.128205128205128,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['ATM', 'PTEN']","{'PSMD4', 'PARP2', 'BRCA2', 'PARP1', 'SLFN11', 'BRCA1'}"
OCI-AML2::Rucaparib,386,3.1088082901554404,39,7.6923076923076925,"['PARP3', 'PARP1', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1', 'BRCA2', 'SLC22A6', 'ATR', 'SLC22A8', 'SLC47A2', 'BRCA1']",12,25.0,"['PARP3', 'PARP2', 'PALB2']","{'SLC22A6', 'SLC47A1', 'ATR', 'SLC22A8', 'BRCA2', 'SLC47A2', 'PARP1', 'STAG2', 'BRCA1'}"
OCI-AML2::Olaparib,386,4.404145077720207,39,10.256410256410255,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,23.52941176470588,"['PARP2', 'PARP1', 'IDH2', 'CHEK1']","{'ATR', 'BRCA2', 'STAG2', 'CDK12', 'VHL', 'PALB2', 'BAP1', 'PARP3', 'BARD1', 'CBLC', 'MYC', 'BRCA1', 'ATM'}"
SKM-1::Crizotinib,386,3.3678756476683938,39,7.6923076923076925,"['MET', 'ROS1', 'ALK', 'EML4', 'NPM1', 'ETV6', 'PTPN12', 'SMAD4', 'AREG', 'EGFR', 'CDKN2A', 'NTRK1', 'KRAS']",13,23.076923076923077,"['EML4', 'EGFR', 'CDKN2A']","{'ALK', 'KRAS', 'MET', 'NPM1', 'ROS1', 'PTPN12', 'AREG', 'NTRK1', 'SMAD4', 'ETV6'}"
SKM-1::Lapatinib,386,3.6269430051813467,39,7.6923076923076925,"['EGFR', 'ERBB2', 'ERBB4', 'ABCB11', 'CCND1', 'CDH1', 'EEF2K', 'HLA-DRB1', 'NRG1', 'CDKN1B', 'ERBB3', 'HLA-DQA1', 'PIK3CA', 'BIRC5']",14,21.428571428571427,"['EGFR', 'ERBB2', 'HLA-DRB1']","{'ERBB4', 'CDKN1B', 'PIK3CA', 'EEF2K', 'CCND1', 'NRG1', 'HLA-DQA1', 'ERBB3', 'ABCB11', 'BIRC5', 'CDH1'}"
SK-HEP-1::Vinorelbine,386,6.217616580310881,39,12.82051282051282,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,20.833333333333336,"['TUBB', 'SMARCA4', 'BAX', 'CASP7', 'TUBA1A']","{'TUBA1B', 'BRCA1', 'TUBB8', 'TUBB4A', 'BRCA2', 'APC', 'TUBA3E', 'XRCC1', 'TUBB6', 'TUBB2A', 'TUB', 'TUBB3', 'TUBA1C', 'TUBA3D', 'TUBA3C', 'TUBB2B', 'TUBA4A', 'TUBB4B', 'RRM1'}"
KMOE-2::Afatinib,386,2.5906735751295336,39,5.128205128205128,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,20.0,"['ERBB4', 'BRAF']","{'EGFR', 'KRAS', 'EML4', 'ERBB3', 'MET', 'ERBB2', 'NRG1', 'NRAS'}"
OCI-M1::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'KDR', 'ERBB2', 'BRAF', 'FLT4'}"
MV-4-11::Bexarotene,386,1.2953367875647668,39,2.564102564102564,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,20.0,['RXRG'],"{'MAPK8', 'RXRB', 'NR1H3', 'RXRA'}"
MOLM-13::Vinblastine,386,6.7357512953367875,39,12.82051282051282,"['TUBB', 'TUBA1A', 'TUBA3C', 'TUBB1', 'TUBB2A', 'TUBB2B', 'KLK3', 'CGA', 'GSTM1', 'ABCB4', 'TUBA1B', 'TUBA3E', 'TRH', 'TUBA1C', 'CDKN1A', 'TBXA2R', 'TUBB4B', 'TUBB3', 'TUBB4A', 'MMP2', 'PTHLH', 'TUBA4A', 'TUBB8', 'TUBB6', 'TUBA3D', 'CSF2']",26,19.230769230769234,"['TUBB', 'TUBB1', 'CGA', 'GSTM1', 'TUBA1B']","{'TUBB8', 'TUBB4A', 'TUBA3E', 'KLK3', 'TUBB6', 'PTHLH', 'TUBB2A', 'TRH', 'ABCB4', 'TUBB3', 'TUBA1C', 'TUBA3D', 'CSF2', 'TBXA2R', 'TUBA3C', 'CDKN1A', 'TUBA1A', 'TUBB2B', 'TUBA4A', 'TUBB4B', 'MMP2'}"
