cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
MV-4-11::Bexarotene,386,1.2953367875647668,39,5.128205128205128,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'NR1H3', 'MAPK8', 'RXRB'}"
OCI-AML2::Talazoparib,386,2.072538860103627,39,7.6923076923076925,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PTEN', 'SLFN11', 'BRCA1']","{'PSMD4', 'BRCA2', 'ATM', 'PARP1', 'PARP2'}"
OCI-AML2::Bosutinib,386,1.5544041450777202,39,5.128205128205128,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'BCR']","{'LYN', 'EGFR', 'HCK', 'SRC'}"
KMOE-2::Afatinib,386,2.5906735751295336,39,7.6923076923076925,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,30.0,"['ERBB2', 'EML4', 'MET']","{'BRAF', 'KRAS', 'EGFR', 'NRG1', 'NRAS', 'ERBB4', 'ERBB3'}"
MV-4-11::Vorinostat,386,5.958549222797927,39,15.384615384615385,"['HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'HDAC6', 'HDAC9', 'CFTR', 'NPM1', 'RB1', 'SMARCB1', 'FBXW7', 'TUBA3C', 'EZH2', 'MYD88', 'TUBB4A', 'BAP1', 'CHD4', 'NR0B1']",23,26.08695652173913,"['HDAC7', 'HDAC1', 'HDAC4', 'HDAC10', 'CFTR', 'SMARCB1']","{'CHD4', 'NPM1', 'HDAC5', 'MYD88', 'TUBA3C', 'HDAC3', 'RB1', 'HDAC8', 'HDAC2', 'HDAC11', 'BAP1', 'EZH2', 'TUBB4A', 'HDAC6', 'FBXW7', 'NR0B1', 'HDAC9'}"
MV-4-11::Ruxolitinib,386,2.072538860103627,39,5.128205128205128,"['JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",8,25.0,"['JAK3', 'VHL']","{'JAK1', 'CSF3R', 'PLAUR', 'JAK2', 'CRLF2', 'MPL'}"
MOLM-13::Vinorelbine,386,6.217616580310881,39,15.384615384615385,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,25.0,"['SMARCA4', 'TUBA3D', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3E']","{'BAX', 'TUBB2A', 'TUBB', 'TUBB3', 'TUBA3C', 'TUB', 'TUBA1C', 'APC', 'TUBB4B', 'TUBB4A', 'RRM1', 'XRCC1', 'TUBB8', 'BRCA2', 'TUBA4A', 'TUBA1B', 'TUBB2B', 'CASP7'}"
MV-4-11::Temozolomide,386,3.1088082901554404,39,7.6923076923076925,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['HDAC4', 'STAG2', 'ATRX']","{'H2AX', 'MSH6', 'CSF2', 'SLFN11', 'MGMT', 'PRL', 'BRCA2', 'ATM', 'NOTCH1'}"
MV-4-11::Midostaurin,386,4.404145077720207,39,10.256410256410255,"['KIT', 'PRKCA', 'PRKCZ', 'PRKCE', 'PRKCI', 'PRKCB', 'PDGFRA', 'PRKCQ', 'PRKCH', 'PRKD1', 'FLT3', 'PRKCG', 'HSPA4', 'ETV6', 'NPM1', 'STK32B', 'PIK3CB']",17,23.52941176470588,"['PRKCA', 'PRKCE', 'PRKCI', 'PDGFRA']","{'PRKCQ', 'PRKCH', 'NPM1', 'FLT3', 'PRKCG', 'PRKCZ', 'KIT', 'ETV6', 'STK32B', 'PIK3CB', 'PRKD1', 'PRKCB', 'HSPA4'}"
PL-21::Midostaurin,386,4.404145077720207,39,10.256410256410255,"['KIT', 'PRKCA', 'PRKCZ', 'PRKCE', 'PRKCI', 'PRKCB', 'PDGFRA', 'PRKCQ', 'PRKCH', 'PRKD1', 'FLT3', 'PRKCG', 'HSPA4', 'ETV6', 'NPM1', 'STK32B', 'PIK3CB']",17,23.52941176470588,"['PRKCA', 'PRKCE', 'PRKCI', 'PDGFRA']","{'PRKCQ', 'PRKCH', 'NPM1', 'FLT3', 'PRKCG', 'PRKCZ', 'KIT', 'ETV6', 'STK32B', 'PIK3CB', 'PRKD1', 'PRKCB', 'HSPA4'}"
MOLM-13::Vinblastine,386,6.7357512953367875,39,15.384615384615385,"['TUBB', 'TUBA1A', 'TUBA3C', 'TUBB1', 'TUBB2A', 'TUBB2B', 'KLK3', 'CGA', 'GSTM1', 'ABCB4', 'TUBA1B', 'TUBA3E', 'TRH', 'TUBA1C', 'CDKN1A', 'TBXA2R', 'TUBB4B', 'TUBB3', 'TUBB4A', 'MMP2', 'PTHLH', 'TUBA4A', 'TUBB8', 'TUBB6', 'TUBA3D', 'CSF2']",26,23.076923076923077,"['TUBB1', 'TUBB2A', 'CGA', 'GSTM1', 'TUBA1B', 'TUBA3E']","{'MMP2', 'TUBB', 'TUBB3', 'TUBB6', 'TBXA2R', 'CDKN1A', 'TRH', 'TUBA3C', 'TUBA1C', 'KLK3', 'TUBA3D', 'TUBB4B', 'TUBA1A', 'TUBB4A', 'CSF2', 'TUBB8', 'TUBA4A', 'ABCB4', 'TUBB2B', 'PTHLH'}"
SK-HEP-1::Vinorelbine,386,6.217616580310881,39,12.82051282051282,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,20.833333333333336,"['BAX', 'TUBA3D', 'TUBB4A', 'CASP7', 'TUBA4A']","{'TUBB2A', 'TUBB', 'TUBB3', 'TUBB6', 'TUBA3C', 'TUB', 'BRCA1', 'SMARCA4', 'TUBA1C', 'APC', 'TUBB4B', 'TUBA1A', 'RRM1', 'XRCC1', 'TUBB8', 'TUBA3E', 'BRCA2', 'TUBA1B', 'TUBB2B'}"
SIG-M5::Bexarotene,386,1.2953367875647668,39,2.564102564102564,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,20.0,['RXRG'],"{'NR1H3', 'RXRA', 'MAPK8', 'RXRB'}"
SK-HEP-1::Bexarotene,386,1.2953367875647668,39,2.564102564102564,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,20.0,['RXRG'],"{'NR1H3', 'RXRA', 'MAPK8', 'RXRB'}"
MOLM-13::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
KMOE-2::Bexarotene,386,1.2953367875647668,39,2.564102564102564,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,20.0,['RXRG'],"{'NR1H3', 'RXRA', 'MAPK8', 'RXRB'}"
OCI-M1::Afatinib,386,2.5906735751295336,39,5.128205128205128,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,20.0,"['ERBB2', 'EML4']","{'BRAF', 'MET', 'KRAS', 'EGFR', 'NRG1', 'NRAS', 'ERBB4', 'ERBB3'}"
KMOE-2::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
OCI-AML2::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
PL-21::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
SK-HEP-1::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
SIG-M5::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
OCI-M1::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'BRAF', 'KDR', 'ERBB2', 'FLT4'}"
KMOE-2::Panobinostat,386,4.145077720207254,39,7.6923076923076925,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,18.75,"['HDAC7', 'HDAC6', 'HDAC10']","{'MYCN', 'KRAS', 'HDAC5', 'HDAC4', 'HDAC8', 'HDAC3', 'HDAC2', 'HDAC11', 'BAP1', 'HDAC1', 'KMT2A', 'SMARCB1', 'HDAC9'}"
OCI-AML2::Midostaurin,386,4.404145077720207,39,7.6923076923076925,"['KIT', 'PRKCA', 'PRKCZ', 'PRKCE', 'PRKCI', 'PRKCB', 'PDGFRA', 'PRKCQ', 'PRKCH', 'PRKD1', 'FLT3', 'PRKCG', 'HSPA4', 'ETV6', 'NPM1', 'STK32B', 'PIK3CB']",17,17.647058823529413,"['PRKCA', 'PRKCI', 'PDGFRA']","{'PRKCQ', 'PRKCH', 'NPM1', 'FLT3', 'PRKCG', 'PRKCE', 'PRKCZ', 'KIT', 'ETV6', 'STK32B', 'PIK3CB', 'PRKD1', 'PRKCB', 'HSPA4'}"
OCI-AML2::Olaparib,386,4.404145077720207,39,7.6923076923076925,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,17.647058823529413,"['IDH2', 'CHEK1', 'VHL']","{'ATR', 'PALB2', 'PARP1', 'BRCA1', 'PARP3', 'PARP2', 'BARD1', 'CBLC', 'BAP1', 'MYC', 'STAG2', 'BRCA2', 'CDK12', 'ATM'}"
