cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SK-HEP-1::Afatinib,8457,0.11824524062906468,846,0.3546099290780142,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,30.0,"['ERBB2', 'KRAS', 'EML4']","{'ERBB4', 'EGFR', 'ERBB3', 'BRAF', 'MET', 'NRG1', 'NRAS'}"
OCI-AML2::Olaparib,8457,0.20101690906940994,846,0.5910165484633569,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,29.411764705882355,"['PARP3', 'PARP1', 'ATR', 'BARD1', 'BRCA2']","{'STAG2', 'IDH2', 'CDK12', 'VHL', 'PARP2', 'CHEK1', 'PALB2', 'BAP1', 'CBLC', 'MYC', 'BRCA1', 'ATM'}"
SKM-1::Lapatinib,8457,0.16554333688069056,846,0.4728132387706856,"['EGFR', 'ERBB2', 'ERBB4', 'ABCB11', 'CCND1', 'CDH1', 'EEF2K', 'HLA-DRB1', 'NRG1', 'CDKN1B', 'ERBB3', 'HLA-DQA1', 'PIK3CA', 'BIRC5']",14,28.57142857142857,"['EGFR', 'CCND1', 'CDH1', 'EEF2K']","{'ERBB4', 'HLA-DRB1', 'CDKN1B', 'PIK3CA', 'ERBB2', 'NRG1', 'HLA-DQA1', 'ERBB3', 'ABCB11', 'BIRC5'}"
OCI-AML2::Rucaparib,8457,0.1418942887548776,846,0.3546099290780142,"['PARP3', 'PARP1', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1', 'BRCA2', 'SLC22A6', 'ATR', 'SLC22A8', 'SLC47A2', 'BRCA1']",12,25.0,"['PARP3', 'PARP1', 'PARP2']","{'SLC22A6', 'SLC47A1', 'ATR', 'PALB2', 'SLC22A8', 'BRCA2', 'SLC47A2', 'STAG2', 'BRCA1'}"
KMOE-2::Talazoparib,8457,0.09459619250325174,846,0.2364066193853428,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'ATM']","{'PSMD4', 'PARP2', 'BRCA2', 'PTEN', 'SLFN11', 'BRCA1'}"
OCI-AML2::Talazoparib,8457,0.09459619250325174,846,0.2364066193853428,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP1', 'ATM']","{'PSMD4', 'PARP2', 'BRCA2', 'PTEN', 'SLFN11', 'BRCA1'}"
MV-4-11::Belinostat,8457,0.15371881281778407,846,0.3546099290780142,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC10', 'HDAC7', 'HDAC11', 'HDAC9', 'HDAC1', 'HDAC3', 'HDAC6', 'HDAC8', 'UGT1A1', 'FBXW7']",13,23.076923076923077,"['HDAC2', 'HDAC4', 'HDAC7']","{'HDAC6', 'HDAC5', 'HDAC3', 'HDAC8', 'HDAC1', 'HDAC9', 'FBXW7', 'HDAC11', 'UGT1A1', 'HDAC10'}"
OCI-M1::Lapatinib,8457,0.16554333688069056,846,0.3546099290780142,"['EGFR', 'ERBB2', 'ERBB4', 'ABCB11', 'CCND1', 'CDH1', 'EEF2K', 'HLA-DRB1', 'NRG1', 'CDKN1B', 'ERBB3', 'HLA-DQA1', 'PIK3CA', 'BIRC5']",14,21.428571428571427,"['CCND1', 'CDH1', 'EEF2K']","{'ERBB4', 'EGFR', 'HLA-DRB1', 'CDKN1B', 'PIK3CA', 'ERBB2', 'NRG1', 'HLA-DQA1', 'ERBB3', 'ABCB11', 'BIRC5'}"
MOLM-13::Vinorelbine,8457,0.2837885775097552,846,0.5910165484633569,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,20.833333333333336,"['CASP7', 'TUBA1C', 'TUBB6', 'TUBA3C', 'TUBA4A']","{'TUBA1B', 'BRCA1', 'TUBB8', 'TUBB4A', 'BRCA2', 'APC', 'TUBA3E', 'XRCC1', 'TUBB2A', 'TUB', 'TUBB3', 'TUBA3D', 'TUBB2B', 'TUBA1A', 'TUBB', 'SMARCA4', 'TUBB4B', 'BAX', 'RRM1'}"
SK-HEP-1::Vinorelbine,8457,0.2837885775097552,846,0.5910165484633569,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,20.833333333333336,"['TUBA3D', 'TUBB4A', 'RRM1', 'BRCA1', 'TUBA1A']","{'TUBA1B', 'TUBB8', 'BRCA2', 'APC', 'TUBA3E', 'XRCC1', 'TUBB6', 'TUBB2A', 'TUB', 'TUBB3', 'TUBA1C', 'TUBA3C', 'TUBB2B', 'TUBA4A', 'TUBB', 'SMARCA4', 'CASP7', 'TUBB4B', 'BAX'}"
MV-4-11::Bexarotene,8457,0.05912262031453234,846,0.1182033096926714,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,20.0,['RXRG'],"{'MAPK8', 'RXRB', 'NR1H3', 'RXRA'}"
PL-21::Afatinib,8457,0.11824524062906468,846,0.2364066193853428,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,20.0,"['EGFR', 'KRAS']","{'ERBB4', 'EML4', 'ERBB3', 'BRAF', 'MET', 'ERBB2', 'NRG1', 'NRAS'}"
OCI-AML2::Afatinib,8457,0.11824524062906468,846,0.2364066193853428,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,20.0,"['KRAS', 'BRAF']","{'ERBB4', 'EGFR', 'EML4', 'ERBB3', 'MET', 'ERBB2', 'NRG1', 'NRAS'}"
KMOE-2::Afatinib,8457,0.11824524062906468,846,0.2364066193853428,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,20.0,"['ERBB2', 'KRAS']","{'ERBB4', 'EGFR', 'EML4', 'ERBB3', 'BRAF', 'MET', 'NRG1', 'NRAS'}"
SK-HEP-1::Cabozantinib,8457,0.11824524062906468,846,0.2364066193853428,"['RET', 'KDR', 'MET', 'FLT3', 'KIT', 'TEK', 'GNA11', 'CFLAR', 'ROS1', 'HRAS']",10,20.0,"['RET', 'MET']","{'CFLAR', 'HRAS', 'KDR', 'ROS1', 'KIT', 'TEK', 'GNA11', 'FLT3'}"
SK-HEP-1::Tivozanib,8457,0.05912262031453234,846,0.1182033096926714,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'KDR', 'ERBB2', 'BRAF', 'FLT4'}"
OCI-AML2::Tivozanib,8457,0.05912262031453234,846,0.1182033096926714,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'KDR', 'ERBB2', 'BRAF', 'FLT4'}"
MOLM-13::Vinblastine,8457,0.30743762563556815,846,0.5910165484633569,"['TUBB', 'TUBA1A', 'TUBA3C', 'TUBB1', 'TUBB2A', 'TUBB2B', 'KLK3', 'CGA', 'GSTM1', 'ABCB4', 'TUBA1B', 'TUBA3E', 'TRH', 'TUBA1C', 'CDKN1A', 'TBXA2R', 'TUBB4B', 'TUBB3', 'TUBB4A', 'MMP2', 'PTHLH', 'TUBA4A', 'TUBB8', 'TUBB6', 'TUBA3D', 'CSF2']",26,19.230769230769234,"['KLK3', 'CGA', 'ABCB4', 'TUBA1B', 'TRH']","{'TUBB1', 'TUBB8', 'TUBB4A', 'GSTM1', 'TUBA3E', 'TUBB6', 'PTHLH', 'TUBB2A', 'TUBB3', 'TUBA1C', 'TUBA3D', 'CSF2', 'TBXA2R', 'TUBA3C', 'CDKN1A', 'TUBA1A', 'TUBB2B', 'TUBA4A', 'TUBB', 'TUBB4B', 'MMP2'}"
