cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-AML2::Talazoparib,8457,0.09459619250325174,846,0.3546099290780142,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'ATM']","{'PSMD4', 'SLFN11', 'BRCA2', 'PTEN', 'BRCA1'}"
OCI-AML2::Bosutinib,8457,0.0709471443774388,846,0.2364066193853428,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['SRC', 'EGFR']","{'LYN', 'HCK', 'ABL1', 'BCR'}"
MV-4-11::Bleomycin,8457,0.15371881281778407,846,0.4728132387706856,"['LIG1', 'F2R', 'CTLA4', 'GJA1', 'MAPK8', 'AFP', 'ADK', 'ERCC2', 'GSTM1', 'CCL17', 'SMAD2', 'ERCC1', 'IFNG']",13,30.76923076923077,"['F2R', 'GJA1', 'AFP', 'ADK']","{'ERCC2', 'LIG1', 'SMAD2', 'CCL17', 'GSTM1', 'CTLA4', 'IFNG', 'MAPK8', 'ERCC1'}"
MV-4-11::Vorinostat,8457,0.27196405344684876,846,0.8274231678486997,"['HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC11', 'HDAC5', 'HDAC2', 'HDAC10', 'HDAC6', 'HDAC9', 'CFTR', 'NPM1', 'RB1', 'SMARCB1', 'FBXW7', 'TUBA3C', 'EZH2', 'MYD88', 'TUBB4A', 'BAP1', 'CHD4', 'NR0B1']",23,30.434782608695656,"['HDAC8', 'HDAC3', 'HDAC7', 'HDAC1', 'HDAC4', 'HDAC5', 'HDAC10']","{'CHD4', 'NPM1', 'MYD88', 'TUBA3C', 'RB1', 'HDAC2', 'HDAC11', 'CFTR', 'BAP1', 'EZH2', 'TUBB4A', 'HDAC6', 'SMARCB1', 'FBXW7', 'NR0B1', 'HDAC9'}"
PL-21::Alectinib,8457,0.08277166844034528,846,0.2364066193853428,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['ALK', 'RET']","{'FGFR1', 'NPM1', 'EML4', 'SMAD4', 'CDKN2A'}"
MV-4-11::Temozolomide,8457,0.1418942887548776,846,0.3546099290780142,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,25.0,"['SLFN11', 'HDAC4', 'ATM']","{'H2AX', 'MSH6', 'CSF2', 'MGMT', 'STAG2', 'PRL', 'BRCA2', 'ATRX', 'NOTCH1'}"
OCI-AML2::Ruxolitinib,8457,0.09459619250325174,846,0.2364066193853428,"['JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",8,25.0,"['VHL', 'MPL']","{'JAK1', 'JAK3', 'CSF3R', 'PLAUR', 'JAK2', 'CRLF2'}"
MV-4-11::Panobinostat,8457,0.18919238500650348,846,0.4728132387706856,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,25.0,"['HDAC8', 'HDAC6', 'HDAC2', 'HDAC9']","{'MYCN', 'KRAS', 'HDAC5', 'HDAC10', 'HDAC4', 'HDAC3', 'HDAC11', 'BAP1', 'HDAC1', 'KMT2A', 'HDAC7', 'SMARCB1'}"
MOLM-13::Talazoparib,8457,0.09459619250325174,846,0.2364066193853428,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['ATM', 'PTEN']","{'PSMD4', 'SLFN11', 'BRCA2', 'PARP1', 'BRCA1', 'PARP2'}"
OCI-AML2::Rucaparib,8457,0.1418942887548776,846,0.3546099290780142,"['PARP3', 'PARP1', 'PARP2', 'PALB2', 'STAG2', 'SLC47A1', 'BRCA2', 'SLC22A6', 'ATR', 'SLC22A8', 'SLC47A2', 'BRCA1']",12,25.0,"['PARP3', 'PARP1', 'PARP2']","{'SLC47A1', 'SLC22A8', 'ATR', 'STAG2', 'PALB2', 'SLC47A2', 'BRCA2', 'SLC22A6', 'BRCA1'}"
MV-4-11::Belinostat,8457,0.15371881281778407,846,0.3546099290780142,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC10', 'HDAC7', 'HDAC11', 'HDAC9', 'HDAC1', 'HDAC3', 'HDAC6', 'HDAC8', 'UGT1A1', 'FBXW7']",13,23.076923076923077,"['HDAC2', 'HDAC4', 'HDAC10']","{'UGT1A1', 'FBXW7', 'HDAC5', 'HDAC1', 'HDAC8', 'HDAC7', 'HDAC6', 'HDAC3', 'HDAC9', 'HDAC11'}"
