cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-AML2::Talazoparib,386,2.072538860103627,39,7.6923076923076925,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['ATM', 'PTEN', 'SLFN11']","{'PSMD4', 'BRCA2', 'BRCA1', 'PARP1', 'PARP2'}"
SNU-387::Pemetrexed,386,2.849740932642487,39,10.256410256410255,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,36.36363636363637,"['DHFR', 'ATIC', 'FOLR3', 'KRAS']","{'ALK', 'SLC19A1', 'GART', 'GGH', 'TYMS', 'SLC46A1', 'MTHFR'}"
OE33::Bosutinib,386,1.5544041450777202,39,5.128205128205128,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'EGFR']","{'HCK', 'BCR', 'LYN', 'SRC'}"
SNU-398::Alectinib,386,1.8134715025906734,39,5.128205128205128,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['ALK', 'FGFR1']","{'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET'}"
OCI-M1::Alectinib,386,1.8134715025906734,39,5.128205128205128,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,28.57142857142857,"['EML4', 'SMAD4']","{'ALK', 'NPM1', 'FGFR1', 'CDKN2A', 'RET'}"
SNU-398::Talazoparib,386,2.072538860103627,39,5.128205128205128,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP2', 'BRCA1']","{'SLFN11', 'PSMD4', 'ATM', 'BRCA2', 'PARP1', 'PTEN'}"
KMOE-2::Talazoparib,386,2.072538860103627,39,5.128205128205128,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,25.0,"['PARP2', 'PTEN']","{'SLFN11', 'PSMD4', 'ATM', 'BRCA2', 'BRCA1', 'PARP1'}"
MV-4-11::Midostaurin,386,4.404145077720207,39,10.256410256410255,"['KIT', 'PRKCA', 'PRKCZ', 'PRKCE', 'PRKCI', 'PRKCB', 'PDGFRA', 'PRKCQ', 'PRKCH', 'PRKD1', 'FLT3', 'PRKCG', 'HSPA4', 'ETV6', 'NPM1', 'STK32B', 'PIK3CB']",17,23.52941176470588,"['KIT', 'PRKCI', 'PRKCB', 'PDGFRA']","{'PRKCZ', 'FLT3', 'PRKCA', 'STK32B', 'PRKCE', 'PRKCQ', 'ETV6', 'PIK3CB', 'HSPA4', 'PRKD1', 'PRKCG', 'PRKCH', 'NPM1'}"
SKM-1::Lapatinib,386,3.6269430051813467,39,7.6923076923076925,"['EGFR', 'ERBB2', 'ERBB4', 'ABCB11', 'CCND1', 'CDH1', 'EEF2K', 'HLA-DRB1', 'NRG1', 'CDKN1B', 'ERBB3', 'HLA-DQA1', 'PIK3CA', 'BIRC5']",14,21.428571428571427,"['EGFR', 'CCND1', 'CDH1']","{'ERBB2', 'PIK3CA', 'CDKN1B', 'EEF2K', 'NRG1', 'ERBB4', 'ABCB11', 'ERBB3', 'HLA-DRB1', 'HLA-DQA1', 'BIRC5'}"
SNU-387::Cabozantinib,386,2.5906735751295336,39,5.128205128205128,"['RET', 'KDR', 'MET', 'FLT3', 'KIT', 'TEK', 'GNA11', 'CFLAR', 'ROS1', 'HRAS']",10,20.0,"['RET', 'KIT']","{'MET', 'ROS1', 'FLT3', 'CFLAR', 'HRAS', 'TEK', 'KDR', 'GNA11'}"
MV-4-11::Bexarotene,386,1.2953367875647668,39,2.564102564102564,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,20.0,['RXRA'],"{'MAPK8', 'RXRB', 'NR1H3', 'RXRG'}"
KMOE-2::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'ERBB2', 'KDR', 'FLT4', 'BRAF'}"
OCI-AML2::Tivozanib,386,1.2953367875647668,39,2.564102564102564,"['FLT1', 'FLT4', 'KDR', 'BRAF', 'ERBB2']",5,20.0,['FLT1'],"{'ERBB2', 'KDR', 'FLT4', 'BRAF'}"
