cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-M1::Alectinib,861,0.9291521486643438,215,2.3255813953488373,"['PIK3CD(S1039);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",8,62.5,"['PIK3CD(S1039);', 'ALK', 'FGFR1', 'EML4', 'CDKN2A']","{'NPM1', 'SMAD4', 'RET'}"
OCI-AML2::Alectinib,861,0.9291521486643438,215,2.3255813953488373,"['PIK3CD(S1039);', 'ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",8,62.5,"['ALK', 'FGFR1', 'CDKN2A', 'SMAD4', 'RET']","{'NPM1', 'PIK3CD(S1039);', 'EML4'}"
SKM-1::Temozolomide,861,1.3937282229965158,215,3.255813953488372,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,58.333333333333336,"['HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'MGMT']","{'BRCA2', 'NOTCH1', 'MSH6', 'SLFN11', 'H2AX'}"
KMOE-2::Temozolomide,861,1.3937282229965158,215,3.255813953488372,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,58.333333333333336,"['SLFN11', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'MGMT']","{'BRCA2', 'HDAC4', 'NOTCH1', 'MSH6', 'H2AX'}"
OCI-AML2::Bexarotene,861,0.9291521486643438,215,1.8604651162790697,"['KMT2A(S516);', 'STAT3(S727);', 'FADD(S194);', 'RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",8,50.0,"['KMT2A(S516);', 'STAT3(S727);', 'RXRG', 'RXRA']","{'RXRB', 'MAPK8', 'FADD(S194);', 'NR1H3'}"
OCI-AML2::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'LYN']","{'EGFR', 'ABL1', 'BCR'}"
OCI-M1::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'LYN', 'EGFR']","{'SRC', 'HCK', 'BCR'}"
PL-21::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'LYN', 'EGFR']","{'SRC', 'HCK', 'BCR'}"
SK-HEP-1::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'BCR', 'EGFR']","{'SRC', 'ABL1', 'LYN'}"
OCI-M1::Lenalidomide,861,1.3937282229965158,215,2.7906976744186047,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,50.0,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'CTNNB1', 'TNF']","{'VEGFA', 'RBX1', 'VEGFB', 'VEGFC', 'IKZF1', 'FGF2'}"
MV-4-11::Lenalidomide,861,1.3937282229965158,215,2.7906976744186047,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,50.0,"['TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF']","{'VEGFA', 'VEGFB', 'VEGFC', 'CUL4A', 'IKZF1', 'FGF2'}"
KMOE-2::Fedratinib,861,0.4645760743321719,215,0.9302325581395349,"['STAT3(S727);', 'FADD(S194);', 'JAK2', 'FLT3']",4,50.0,"['STAT3(S727);', 'FADD(S194);']","{'FLT3', 'JAK2'}"
OCI-AML2::Afatinib,861,2.5551684088269457,215,4.651162790697675,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",22,45.45454545454545,"['RB1(S811);', 'RUNX1(S276);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(S811);', 'RB1(S249);', 'HNF1A(S249);', 'EGFR', 'ERBB2']","{'NRAS', 'RUNX1(S249);', 'RB1(T826);', 'NRG1', 'BRAF', 'KRAS', 'ERBB4', 'ERBB3', 'RBL1(S650);', 'MET', 'RUNX1(S21);', 'EML4'}"
KMOE-2::Dabrafenib,861,1.8583042973286876,215,3.255813953488372,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);', 'BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",16,43.75,"['STAT1(S727);', 'STAT3(S727);', 'BRAF', 'CDKN2A', 'NRAS', 'ATXN1L', 'MAP2K2']","{'NF1', 'EZH2', 'HRAS', 'RAC1', 'HLA-DRB1', 'STAG2', 'MITF', 'FADD(S194);', 'MAP2K1'}"
MV-4-11::Temozolomide,861,1.3937282229965158,215,2.3255813953488373,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['HDAC4', 'CSF2', 'PRL', 'ATM', 'H2AX']","{'BRCA2', 'MGMT', 'NOTCH1', 'ATRX', 'MSH6', 'SLFN11', 'STAG2'}"
PL-21::Temozolomide,861,1.3937282229965158,215,2.3255813953488373,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['HDAC4', 'CSF2', 'PRL', 'ATM', 'MGMT']","{'BRCA2', 'NOTCH1', 'ATRX', 'MSH6', 'SLFN11', 'H2AX', 'STAG2'}"
