cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
MOLM-13::Alectinib,861,0.8130081300813009,215,2.3255813953488373,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,71.42857142857143,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'RET']","{'SMAD4', 'CDKN2A'}"
PL-21::Alectinib,861,0.8130081300813009,215,1.8604651162790697,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,57.14285714285714,"['ALK', 'EML4', 'NPM1', 'CDKN2A']","{'SMAD4', 'FGFR1', 'RET'}"
OCI-AML2::Talazoparib,861,2.2067363530778166,215,4.651162790697675,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",19,52.63157894736842,"['PARP2', 'ATM', 'SLFN11', 'BRCA1', 'PSMD4', 'RAD50(S635);', 'NBN(S397);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);']","{'PTEN', 'BRCA1(S1524);', 'PARP1', 'EIF4EBP1(S112);', 'UFL1(S462);', 'PNKP(S126);', 'HNF1A(S249);', 'BRCA2'}"
MOLM-13::Crizotinib,861,1.5098722415795587,215,2.7906976744186047,"['MET', 'ROS1', 'ALK', 'EML4', 'NPM1', 'ETV6', 'PTPN12', 'SMAD4', 'AREG', 'EGFR', 'CDKN2A', 'NTRK1', 'KRAS']",13,46.15384615384615,"['MET', 'ALK', 'EML4', 'NPM1', 'ETV6', 'AREG']","{'SMAD4', 'EGFR', 'KRAS', 'PTPN12', 'CDKN2A', 'ROS1', 'NTRK1'}"
SK-HEP-1::Pemetrexed,861,1.2775842044134729,215,2.3255813953488373,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['GART', 'ATIC', 'FOLR3', 'MTHFR', 'GGH']","{'DHFR', 'SLC46A1', 'KRAS', 'TYMS', 'ALK', 'SLC19A1'}"
PL-21::Pemetrexed,861,1.2775842044134729,215,2.3255813953488373,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['DHFR', 'GART', 'FOLR3', 'GGH', 'KRAS']","{'SLC46A1', 'MTHFR', 'TYMS', 'ATIC', 'ALK', 'SLC19A1'}"
KMOE-2::Panobinostat,861,1.8583042973286876,215,3.255813953488372,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,43.75,"['HDAC1', 'HDAC2', 'HDAC5', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11']","{'HDAC7', 'KRAS', 'SMARCB1', 'BAP1', 'HDAC8', 'MYCN', 'HDAC6', 'HDAC9', 'KMT2A'}"
KMOE-2::Bexarotene,861,2.4390243902439024,215,4.186046511627907,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8', 'STAT3(S727);', 'EIF4ENIF1(S374);', 'STMN1(S38);', 'HSF1(S363);', 'JUN(S63);', 'SIRT1(S47);', 'BCL2L11(S77);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);', 'ATF2(T69);', 'RCSD1(S68);', 'CDKN1A(S130);', 'CDC25C(S168);', 'IRS1(S636);']",21,42.857142857142854,"['RXRG', 'RXRA', 'RXRB', 'STAT3(S727);', 'JUN(S63);', 'BCL2L11(S77);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);']","{'RCSD1(S68);', 'SIRT1(S47);', 'CDKN1A(S130);', 'IRS1(S636);', 'EIF4ENIF1(S374);', 'EIF4ENIF1(S587);', 'NR1H3', 'STMN1(S38);', 'HSF1(S363);', 'CDC25C(S168);', 'MAPK8'}"
SK-HEP-1::Alectinib,861,0.8130081300813009,215,1.3953488372093024,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'FGFR1', 'EML4']","{'NPM1', 'SMAD4', 'RET', 'CDKN2A'}"
KMOE-2::Alectinib,861,0.8130081300813009,215,1.3953488372093024,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['FGFR1', 'EML4', 'RET']","{'NPM1', 'SMAD4', 'ALK', 'CDKN2A'}"
OCI-AML2::Alectinib,861,0.8130081300813009,215,1.3953488372093024,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'EML4', 'NPM1']","{'SMAD4', 'FGFR1', 'RET', 'CDKN2A'}"
SKM-1::Lenalidomide,861,1.3937282229965158,215,2.3255813953488373,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'TNF']","{'CUL4A', 'IKZF1', 'VEGFB', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
SK-HEP-1::Lenalidomide,861,1.3937282229965158,215,2.3255813953488373,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['TNFSF11', 'DDB1', 'RBX1', 'CTNNB1', 'TNF']","{'CUL4A', 'IKZF1', 'VEGFB', 'CRBN', 'VEGFA', 'FGF2', 'VEGFC'}"
OCI-AML2::Vinorelbine,861,2.7874564459930316,215,4.651162790697675,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,41.66666666666667,"['SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'RRM1', 'TUBA1C', 'TUBB8', 'BRCA1', 'TUBA3C', 'TUBA3E']","{'TUBB4A', 'TUBB6', 'TUBB', 'TUB', 'TUBB2A', 'CASP7', 'TUBA1A', 'TUBB2B', 'TUBA3D', 'TUBA1B', 'APC', 'XRCC1', 'BRCA2', 'TUBA4A'}"
OCI-M1::Lenalidomide,861,1.3937282229965158,215,2.3255813953488373,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'DDB1', 'RBX1', 'TNF']","{'IKZF1', 'VEGFB', 'CRBN', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
OCI-AML2::Palbociclib,861,2.7874564459930316,215,4.651162790697675,"['CDK6', 'CDK4', 'CCND1', 'DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B', 'RB1', 'PRKX', 'CCNE1', 'CCND3', 'RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",24,41.66666666666667,"['CDK6', 'DYRK1B', 'CDKN2A', 'SMARCB1', 'RB1', 'PRKX', 'CCNE1', 'RUNX1(S276);', 'RUNX1(S21);', 'RBL2(S672);']","{'RB1(S811);', 'CDKN2B', 'CDKN1A(S130);', 'SMARCA4', 'RUNX1(S249);', 'RB1(S249);', 'RB1(T826);', 'CCND3', 'CCND1', 'HNF1A(S249);', 'RBL1(S650);', 'CDK4'}"
KMOE-2::Lenalidomide,861,1.3937282229965158,215,2.3255813953488373,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'DDB1', 'RBX1', 'TNF']","{'IKZF1', 'VEGFB', 'CRBN', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
SK-HEP-1::Afatinib,861,1.1614401858304297,215,1.8604651162790697,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['ERBB2', 'ERBB4', 'EML4', 'BRAF']","{'NRAS', 'EGFR', 'KRAS', 'ERBB3', 'NRG1', 'MET'}"
OCI-AML2::Afatinib,861,1.1614401858304297,215,1.8604651162790697,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['ERBB2', 'ERBB4', 'EML4', 'MET']","{'NRAS', 'EGFR', 'KRAS', 'ERBB3', 'NRG1', 'BRAF'}"
