cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-M1::Bosutinib,8802,0.0681663258350375,2201,0.1817355747387551,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'LYN', 'BCR']","{'EGFR', 'HCK'}"
SKM-1::Temozolomide,8802,0.136332651670075,2201,0.3634711494775102,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,66.66666666666666,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'H2AX', 'MGMT']","{'BRCA2', 'NOTCH1', 'ATM', 'MSH6'}"
PL-21::Bosutinib,8802,0.0681663258350375,2201,0.13630168105406634,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'LYN', 'BCR']","{'SRC', 'EGFR', 'HCK'}"
MV-4-11::Temozolomide,8802,0.136332651670075,2201,0.2726033621081327,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,50.0,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'H2AX']","{'BRCA2', 'MGMT', 'NOTCH1', 'ATRX', 'ATM', 'MSH6'}"
SKM-1::Pemetrexed,8802,0.1249715973642354,2201,0.2271694684234439,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['DHFR', 'GART', 'SLC46A1', 'MTHFR', 'GGH']","{'FOLR3', 'TYMS', 'SLC19A1', 'ATIC', 'ALK', 'KRAS'}"
SK-HEP-1::Pemetrexed,8802,0.1249715973642354,2201,0.2271694684234439,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['DHFR', 'TYMS', 'ATIC', 'FOLR3', 'MTHFR']","{'SLC46A1', 'GGH', 'SLC19A1', 'ALK', 'GART', 'KRAS'}"
OCI-M1::Pemetrexed,8802,0.1249715973642354,2201,0.2271694684234439,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['DHFR', 'GART', 'TYMS', 'SLC46A1', 'MTHFR']","{'FOLR3', 'GGH', 'SLC19A1', 'ATIC', 'ALK', 'KRAS'}"
PL-21::Temozolomide,8802,0.136332651670075,2201,0.2271694684234439,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'H2AX']","{'BRCA2', 'MGMT', 'NOTCH1', 'ATRX', 'ATM', 'MSH6', 'STAG2'}"
OCI-M1::Temozolomide,8802,0.136332651670075,2201,0.2271694684234439,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'CSF2', 'PRL', 'ATRX', 'MGMT']","{'BRCA2', 'HDAC4', 'NOTCH1', 'ATM', 'MSH6', 'H2AX', 'STAG2'}"
KMOE-2::Temozolomide,8802,0.136332651670075,2201,0.2271694684234439,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'HDAC4', 'PRL', 'H2AX', 'MGMT']","{'BRCA2', 'NOTCH1', 'ATRX', 'ATM', 'MSH6', 'CSF2', 'STAG2'}"
SKM-1::Afatinib,8802,0.11361054305839581,2201,0.1817355747387551,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB4', 'KRAS', 'BRAF']","{'NRAS', 'ERBB3', 'NRG1', 'ERBB2', 'MET', 'EML4'}"
SK-HEP-1::Bexarotene,8802,0.056805271529197905,2201,0.09086778736937755,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'RXRB', 'NR1H3', 'MAPK8'}"
OCI-AML2::Bexarotene,8802,0.056805271529197905,2201,0.09086778736937755,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'RXRB', 'NR1H3', 'MAPK8'}"
MOLM-13::Afatinib,8802,0.11361054305839581,2201,0.1817355747387551,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS']","{'NRAS', 'ERBB3', 'NRG1', 'BRAF', 'MET', 'EML4'}"
KMOE-2::Afatinib,8802,0.11361054305839581,2201,0.1817355747387551,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS']","{'NRAS', 'ERBB3', 'NRG1', 'BRAF', 'MET', 'EML4'}"
OCI-M1::Afatinib,8802,0.11361054305839581,2201,0.1817355747387551,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS']","{'NRAS', 'ERBB3', 'NRG1', 'BRAF', 'MET', 'EML4'}"
SKM-1::Crizotinib,8802,0.14769370597591455,2201,0.2271694684234439,"['MET', 'ROS1', 'ALK', 'EML4', 'NPM1', 'ETV6', 'PTPN12', 'SMAD4', 'AREG', 'EGFR', 'CDKN2A', 'NTRK1', 'KRAS']",13,38.46153846153847,"['ROS1', 'ALK', 'SMAD4', 'EGFR', 'CDKN2A']","{'ETV6', 'PTPN12', 'NPM1', 'AREG', 'MET', 'NTRK1', 'EML4', 'KRAS'}"
MV-4-11::Dabrafenib,8802,0.14769370597591455,2201,0.2271694684234439,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['HLA-DRB1', 'NRAS', 'ATXN1L', 'MAP2K2', 'RAC1']","{'CDKN2A', 'MITF', 'NF1', 'EZH2', 'HRAS', 'BRAF', 'MAP2K1', 'STAG2'}"
SK-HEP-1::Vinorelbine,8802,0.27266530334015,2201,0.408905043162199,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,37.5,"['TUBB', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'BRCA1', 'TUBA1A', 'TUBA3C']","{'BRCA2', 'TUBB6', 'TUBA1B', 'TUB', 'TUBB2A', 'TUBA1C', 'APC', 'TUBB8', 'TUBA4A', 'TUBB2B', 'TUBA3E', 'TUBB4B', 'BAX', 'SMARCA4', 'XRCC1'}"
OCI-M1::Ruxolitinib,8802,0.09088843444671665,2201,0.13630168105406634,"['JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",8,37.5,"['JAK2', 'VHL', 'MPL']","{'JAK1', 'PLAUR', 'JAK3', 'CRLF2', 'CSF3R'}"
PL-21::Pemetrexed,8802,0.1249715973642354,2201,0.1817355747387551,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,36.36363636363637,"['TYMS', 'ATIC', 'FOLR3', 'MTHFR']","{'DHFR', 'SLC46A1', 'GGH', 'SLC19A1', 'ALK', 'GART', 'KRAS'}"
MOLM-13::Pemetrexed,8802,0.1249715973642354,2201,0.1817355747387551,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,36.36363636363637,"['GART', 'ATIC', 'MTHFR', 'GGH']","{'FOLR3', 'DHFR', 'TYMS', 'SLC46A1', 'SLC19A1', 'ALK', 'KRAS'}"
KMOE-2::Pemetrexed,8802,0.1249715973642354,2201,0.1817355747387551,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,36.36363636363637,"['DHFR', 'GART', 'SLC46A1', 'MTHFR']","{'FOLR3', 'TYMS', 'GGH', 'SLC19A1', 'ATIC', 'ALK', 'KRAS'}"
MOLM-13::Temozolomide,8802,0.136332651670075,2201,0.1817355747387551,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,33.33333333333333,"['SLFN11', 'CSF2', 'PRL', 'H2AX']","{'BRCA2', 'HDAC4', 'MGMT', 'NOTCH1', 'ATRX', 'ATM', 'MSH6', 'STAG2'}"
OCI-AML2::Temozolomide,8802,0.136332651670075,2201,0.1817355747387551,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,33.33333333333333,"['SLFN11', 'CSF2', 'PRL', 'MGMT']","{'BRCA2', 'HDAC4', 'NOTCH1', 'ATRX', 'ATM', 'MSH6', 'H2AX', 'STAG2'}"
SK-HEP-1::Bosutinib,8802,0.0681663258350375,2201,0.09086778736937755,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['SRC', 'LYN']","{'EGFR', 'HCK', 'ABL1', 'BCR'}"
PL-21::Bicalutamide,8802,0.0681663258350375,2201,0.09086778736937755,"['AR', 'CFLAR', 'BAX', 'CYP2B6', 'FST', 'KLK3']",6,33.33333333333333,"['AR', 'BAX']","{'KLK3', 'CYP2B6', 'CFLAR', 'FST'}"
MOLM-13::Bosutinib,8802,0.0681663258350375,2201,0.09086778736937755,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['ABL1', 'SRC']","{'EGFR', 'HCK', 'LYN', 'BCR'}"
