cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
NOMO-1::Bosutinib,31606,0.01898373726507625,7902,0.05062009617818274,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'BCR', 'EGFR']","{'HCK', 'LYN'}"
MONO-MAC-6::Bosutinib,31606,0.01898373726507625,7902,0.037965072133637055,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'EGFR']","{'BCR', 'HCK', 'LYN'}"
OE19::Bosutinib,31606,0.01898373726507625,7902,0.037965072133637055,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'BCR']","{'HCK', 'EGFR', 'LYN'}"
OCI-AML5::Bosutinib,31606,0.01898373726507625,7902,0.037965072133637055,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'HCK', 'ABL1', 'LYN'}"
MONO-MAC-6::Talazoparib,31606,0.075934949060305,7902,0.12655024044545685,"['STAT3(S727);', 'EIF4ENIF1(S374);', 'STMN1(S38);', 'HSF1(S363);', 'JUN(S63);', 'SIRT1(S47);', 'BCL2L11(S77);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);', 'ATF2(T69);', 'RCSD1(S68);', 'CDKN1A(S130);', 'CDC25C(S168);', 'IRS1(S636);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",24,41.66666666666667,"['STAT3(S727);', 'EIF4ENIF1(S374);', 'HSF1(S363);', 'SIRT1(S47);', 'BCL2L11(S77);', 'EIF4ENIF1(S587);', 'ATF2(T69);', 'RCSD1(S68);', 'IRS1(S636);', 'SLFN11']","{'CDKN1A(S130);', 'BRCA1', 'CDC25C(S168);', 'BRCA2', 'ATM', 'STMN1(S38);', 'PARP1', 'PARP2', 'MYC(S62);', 'PSMD4', 'TWIST1(S68);', 'JUN(S63);', 'PTEN'}"
MONO-MAC-6::Lenalidomide,31606,0.0379674745301525,7902,0.06327512022272842,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1']","{'TNFSF11', 'VEGFC', 'TNF', 'FGF2', 'IKZF1', 'VEGFB', 'VEGFA'}"
MONO-MAC-6::Dabrafenib,31606,0.041131430740998544,7902,0.06327512022272842,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'STAG2', 'NRAS', 'EZH2', 'MAP2K2']","{'HLA-DRB1', 'MITF', 'BRAF', 'ATXN1L', 'MAP2K1', 'RAC1', 'HRAS', 'NF1'}"
OCI-AML5::Panobinostat,31606,0.05062329937353667,7902,0.07593014426727411,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,37.5,"['HDAC8', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC10', 'HDAC11']","{'HDAC6', 'SMARCB1', 'HDAC3', 'KRAS', 'BAP1', 'HDAC1', 'HDAC4', 'MYCN', 'HDAC7', 'KMT2A'}"
OE19::Panobinostat,31606,0.05062329937353667,7902,0.07593014426727411,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,37.5,"['HDAC8', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC10', 'HDAC11']","{'HDAC6', 'SMARCB1', 'HDAC3', 'KRAS', 'BAP1', 'HDAC1', 'HDAC4', 'MYCN', 'HDAC7', 'KMT2A'}"
KYSE-140::Bexarotene,31606,0.03480351831930646,7902,0.05062009617818274,"['MAPK1(T185);', 'TAL1(S122);', 'MAPK1(T185);', 'JUN(S63);', 'GATA2(S192);', 'JUN(S63);', 'RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",11,36.36363636363637,"['MAPK1(T185);', 'JUN(S63);', 'GATA2(S192);', 'JUN(S63);']","{'RXRB', 'TAL1(S122);', 'MAPK8', 'RXRA', 'RXRG', 'NR1H3'}"
