cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-M1::Fedratinib,475,0.8421052631578947,110,1.8181818181818181,"['STAT3(S727);', 'FADD(S194);', 'JAK2', 'FLT3']",4,50.0,"['STAT3(S727);', 'FADD(S194);']","{'FLT3', 'JAK2'}"
SKM-1::Afatinib,475,4.631578947368421,119,6.722689075630252,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",22,36.36363636363637,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);']","{'NRAS', 'RUNX1(S249);', 'EGFR', 'NRG1', 'BRAF', 'KRAS', 'ERBB4', 'ERBB3', 'RBL1(S650);', 'ERBB2', 'RB1(S249);', 'HNF1A(S249);', 'MET', 'EML4'}"
OCI-AML2::Axitinib,475,4.2105263157894735,108,6.481481481481481,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);', 'FLT1', 'KDR', 'PDGFB', 'KIT', 'FLT4', 'PDGFRB', 'ABL1', 'UGT1A1', 'CYP3A5']",20,35.0,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);']","{'KDR', 'ABRAXAS1(S406);', 'KIT', 'UGT1A1', 'CYP3A5', 'BRCA1(S1542);', 'FLT1', 'PDGFB', 'ABL1', 'FLT4', 'PDGFRB', 'BRCA1(S1524);'}"
SNU-387::Talazoparib,475,12.631578947368421,119,17.647058823529413,"['AKT1S1(S183);', 'STAT3(S727);', 'EIF4EBP1(T70);', 'EIF4EBP1(T70);', 'STAT3(S727);', 'ULK1(S758);', 'MAF1(S75);', 'ISCU(S14);', 'DAP(S51);', 'AKT1(S473);', 'AKT1(S473);', 'MAF1(S60);', 'NRBF2(S113);', 'IRS1(S636);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'MAF1(S75);', 'AKT1(S473);', 'AKT1S1(S183);', 'EIF4EBP1(T70);', 'MAP2K4(S80);', 'BAD(S99);', 'PFKFB2(S466);', 'METTL1(S27);', 'BCL2L11(S87);', 'MVD(S96);', 'CCDC88A(S1417);', 'YAP1(S127);', 'SH3RF1(S304);', 'CARHSP1(S52);', 'PFKFB2(S466);', 'PFKFB2(S483);', 'BAD(S99);', 'PDE3B(S318);', 'PEA15(S116);', 'PFKFB2(S466);', 'CTNNB1(S552);', 'PDCD4(S457);', 'PFKFB2(S483);', 'PFKFB2(S483);', 'STK3(T384);', 'ATXN1(S775);', 'TBC1D4(T642);', 'DAB2IP(S971);', 'ACLY(S455);', 'MTOR(S2448);', 'BAD(S118);', 'FOXO3(S253);', 'FOXO3(S253);', 'AGAP2(S985);', 'CDCA7(T163);', 'HSPB1(S82);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",60,35.0,"['AKT1S1(S183);', 'EIF4EBP1(T70);', 'ULK1(S758);', 'MAF1(S75);', 'AKT1(S473);', 'MAF1(S60);', 'IRS1(S636);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'MAF1(S75);', 'AKT1S1(S183);', 'MAP2K4(S80);', 'METTL1(S27);', 'MVD(S96);', 'CARHSP1(S52);', 'PFKFB2(S466);', 'PFKFB2(S483);', 'BAD(S99);', 'PEA15(S116);', 'PFKFB2(S466);', 'CTNNB1(S552);']","{'ACLY(S455);', 'AGAP2(S985);', 'ATM', 'BAD(S118);', 'CDCA7(T163);', 'STAT3(S727);', 'PDE3B(S318);', 'ATXN1(S775);', 'PTEN', 'MTOR(S2448);', 'PDCD4(S457);', 'SH3RF1(S304);', 'BRCA2', 'HSPB1(S82);', 'BCL2L11(S87);', 'PARP2', 'DAP(S51);', 'TBC1D4(T642);', 'YAP1(S127);', 'FOXO3(S253);', 'NRBF2(S113);', 'CCDC88A(S1417);', 'STK3(T384);', 'BRCA1', 'PSMD4', 'DAB2IP(S971);', 'PARP1', 'ISCU(S14);', 'SLFN11'}"
OE33::Talazoparib,475,12.631578947368421,111,18.91891891891892,"['AKT1S1(S183);', 'STAT3(S727);', 'EIF4EBP1(T70);', 'EIF4EBP1(T70);', 'STAT3(S727);', 'ULK1(S758);', 'MAF1(S75);', 'ISCU(S14);', 'DAP(S51);', 'AKT1(S473);', 'AKT1(S473);', 'MAF1(S60);', 'NRBF2(S113);', 'IRS1(S636);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'MAF1(S75);', 'AKT1(S473);', 'AKT1S1(S183);', 'EIF4EBP1(T70);', 'MAP2K4(S80);', 'BAD(S99);', 'PFKFB2(S466);', 'METTL1(S27);', 'BCL2L11(S87);', 'MVD(S96);', 'CCDC88A(S1417);', 'YAP1(S127);', 'SH3RF1(S304);', 'CARHSP1(S52);', 'PFKFB2(S466);', 'PFKFB2(S483);', 'BAD(S99);', 'PDE3B(S318);', 'PEA15(S116);', 'PFKFB2(S466);', 'CTNNB1(S552);', 'PDCD4(S457);', 'PFKFB2(S483);', 'PFKFB2(S483);', 'STK3(T384);', 'ATXN1(S775);', 'TBC1D4(T642);', 'DAB2IP(S971);', 'ACLY(S455);', 'MTOR(S2448);', 'BAD(S118);', 'FOXO3(S253);', 'FOXO3(S253);', 'AGAP2(S985);', 'CDCA7(T163);', 'HSPB1(S82);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",60,35.0,"['STAT3(S727);', 'STAT3(S727);', 'ULK1(S758);', 'MAF1(S75);', 'ISCU(S14);', 'AKT1(S473);', 'AKT1(S473);', 'MAF1(S60);', 'NRBF2(S113);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'MAF1(S75);', 'AKT1S1(S183);', 'EIF4EBP1(T70);', 'MVD(S96);', 'CCDC88A(S1417);', 'PFKFB2(S483);', 'PDE3B(S318);', 'PEA15(S116);', 'PFKFB2(S466);', 'CTNNB1(S552);']","{'ACLY(S455);', 'AGAP2(S985);', 'ATM', 'BAD(S118);', 'MAP2K4(S80);', 'CDCA7(T163);', 'ATXN1(S775);', 'PTEN', 'MTOR(S2448);', 'PDCD4(S457);', 'IRS1(S636);', 'SH3RF1(S304);', 'BRCA2', 'HSPB1(S82);', 'BCL2L11(S87);', 'BAD(S99);', 'PARP2', 'DAP(S51);', 'TBC1D4(T642);', 'YAP1(S127);', 'FOXO3(S253);', 'STK3(T384);', 'BRCA1', 'PSMD4', 'DAB2IP(S971);', 'CARHSP1(S52);', 'PARP1', 'METTL1(S27);', 'SLFN11'}"
OE33::Axitinib,475,4.2105263157894735,113,6.1946902654867255,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);', 'FLT1', 'KDR', 'PDGFB', 'KIT', 'FLT4', 'PDGFRB', 'ABL1', 'UGT1A1', 'CYP3A5']",20,35.0,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'ABRAXAS1(S406);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);']","{'KDR', 'KIT', 'UGT1A1', 'CYP3A5', 'BRCA1(S1542);', 'FLT1', 'PDGFB', 'ABL1', 'UFL1(S462);', 'FLT4', 'PDGFRB', 'BRCA1(S1524);'}"
OCI-M1::Axitinib,475,4.2105263157894735,114,6.140350877192982,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);', 'FLT1', 'KDR', 'PDGFB', 'KIT', 'FLT4', 'PDGFRB', 'ABL1', 'UGT1A1', 'CYP3A5']",20,35.0,"['RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);']","{'KDR', 'ABRAXAS1(S406);', 'KIT', 'UGT1A1', 'CYP3A5', 'BRCA1(S1542);', 'FLT1', 'PDGFB', 'PNKP(S126);', 'ABL1', 'FLT4', 'PDGFRB'}"
OCI-M1::Talazoparib,475,12.631578947368421,114,17.543859649122805,"['AKT1S1(S183);', 'STAT3(S727);', 'EIF4EBP1(T70);', 'EIF4EBP1(T70);', 'STAT3(S727);', 'ULK1(S758);', 'MAF1(S75);', 'ISCU(S14);', 'DAP(S51);', 'AKT1(S473);', 'AKT1(S473);', 'MAF1(S60);', 'NRBF2(S113);', 'IRS1(S636);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'MAF1(S75);', 'AKT1(S473);', 'AKT1S1(S183);', 'EIF4EBP1(T70);', 'MAP2K4(S80);', 'BAD(S99);', 'PFKFB2(S466);', 'METTL1(S27);', 'BCL2L11(S87);', 'MVD(S96);', 'CCDC88A(S1417);', 'YAP1(S127);', 'SH3RF1(S304);', 'CARHSP1(S52);', 'PFKFB2(S466);', 'PFKFB2(S483);', 'BAD(S99);', 'PDE3B(S318);', 'PEA15(S116);', 'PFKFB2(S466);', 'CTNNB1(S552);', 'PDCD4(S457);', 'PFKFB2(S483);', 'PFKFB2(S483);', 'STK3(T384);', 'ATXN1(S775);', 'TBC1D4(T642);', 'DAB2IP(S971);', 'ACLY(S455);', 'MTOR(S2448);', 'BAD(S118);', 'FOXO3(S253);', 'FOXO3(S253);', 'AGAP2(S985);', 'CDCA7(T163);', 'HSPB1(S82);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",60,33.33333333333333,"['STAT3(S727);', 'EIF4EBP1(T70);', 'STAT3(S727);', 'ULK1(S758);', 'MAF1(S75);', 'ISCU(S14);', 'DAP(S51);', 'AKT1(S473);', 'AKT1(S473);', 'IRS1(S636);', 'EIF4EBP1(T70);', 'AKT1(S473);', 'EIF4EBP1(T70);', 'METTL1(S27);', 'BCL2L11(S87);', 'MVD(S96);', 'PFKFB2(S483);', 'BAD(S99);', 'PFKFB2(S466);', 'CTNNB1(S552);']","{'ACLY(S455);', 'AGAP2(S985);', 'ATM', 'BAD(S118);', 'MAP2K4(S80);', 'CDCA7(T163);', 'MAF1(S60);', 'PDE3B(S318);', 'ATXN1(S775);', 'PTEN', 'MTOR(S2448);', 'PDCD4(S457);', 'PEA15(S116);', 'SH3RF1(S304);', 'BRCA2', 'HSPB1(S82);', 'PARP2', 'TBC1D4(T642);', 'YAP1(S127);', 'FOXO3(S253);', 'NRBF2(S113);', 'CCDC88A(S1417);', 'STK3(T384);', 'BRCA1', 'PSMD4', 'DAB2IP(S971);', 'AKT1S1(S183);', 'CARHSP1(S52);', 'PARP1', 'SLFN11'}"
SNU-398::Talazoparib,475,12.631578947368421,119,16.80672268907563,"['AKT1S1(S183);', 'STAT3(S727);', 'EIF4EBP1(T70);', 'EIF4EBP1(T70);', 'STAT3(S727);', 'ULK1(S758);', 'MAF1(S75);', 'ISCU(S14);', 'DAP(S51);', 'AKT1(S473);', 'AKT1(S473);', 'MAF1(S60);', 'NRBF2(S113);', 'IRS1(S636);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'MAF1(S75);', 'AKT1(S473);', 'AKT1S1(S183);', 'EIF4EBP1(T70);', 'MAP2K4(S80);', 'BAD(S99);', 'PFKFB2(S466);', 'METTL1(S27);', 'BCL2L11(S87);', 'MVD(S96);', 'CCDC88A(S1417);', 'YAP1(S127);', 'SH3RF1(S304);', 'CARHSP1(S52);', 'PFKFB2(S466);', 'PFKFB2(S483);', 'BAD(S99);', 'PDE3B(S318);', 'PEA15(S116);', 'PFKFB2(S466);', 'CTNNB1(S552);', 'PDCD4(S457);', 'PFKFB2(S483);', 'PFKFB2(S483);', 'STK3(T384);', 'ATXN1(S775);', 'TBC1D4(T642);', 'DAB2IP(S971);', 'ACLY(S455);', 'MTOR(S2448);', 'BAD(S118);', 'FOXO3(S253);', 'FOXO3(S253);', 'AGAP2(S985);', 'CDCA7(T163);', 'HSPB1(S82);', 'PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",60,33.33333333333333,"['AKT1S1(S183);', 'EIF4EBP1(T70);', 'EIF4EBP1(T70);', 'DAP(S51);', 'AKT1(S473);', 'MAF1(S60);', 'NRBF2(S113);', 'IRS1(S636);', 'MAF1(S75);', 'EIF4EBP1(T70);', 'AKT1S1(S183);', 'METTL1(S27);', 'MVD(S96);', 'CCDC88A(S1417);', 'YAP1(S127);', 'SH3RF1(S304);', 'CARHSP1(S52);', 'PFKFB2(S466);', 'PFKFB2(S466);', 'CTNNB1(S552);']","{'ACLY(S455);', 'AGAP2(S985);', 'ATM', 'BAD(S118);', 'MAP2K4(S80);', 'CDCA7(T163);', 'STAT3(S727);', 'PDE3B(S318);', 'ULK1(S758);', 'ATXN1(S775);', 'PTEN', 'MTOR(S2448);', 'PDCD4(S457);', 'PEA15(S116);', 'BRCA2', 'HSPB1(S82);', 'BCL2L11(S87);', 'BAD(S99);', 'PARP2', 'TBC1D4(T642);', 'FOXO3(S253);', 'STK3(T384);', 'BRCA1', 'PSMD4', 'DAB2IP(S971);', 'PFKFB2(S483);', 'PARP1', 'ISCU(S14);', 'SLFN11'}"
OCI-AML2::Palbociclib,475,17.473684210526315,118,22.88135593220339,"['VIM(S10);', 'ITGB2(T760);', 'MARCKS(S170);', 'IQGAP1(S1443);', 'IQGAP1(S1443);', 'CBL(S619);', 'HMGN1(S25);', 'ITGB4(S1494);', 'MARCKS(S163);', 'CYBA(T147);', 'MARCKS(S118);', 'MARCKS(S163);', 'SHC1(S139);', 'KIT(S746);', 'VIM(S26);', 'F11R(S284);', 'DNM1(S795);', 'MARCKS(S170);', 'PDE3A(S428);', 'KIT(S746);', 'EIF6(S235);', 'IQGAP1(S1443);', 'PA2G4(S363);', 'ATP1A1(S16);', 'CBL(S639);', 'VIM(S27);', 'VIM(S42);', 'VIM(S51);', 'MARCKS(S163);', 'MARCKS(S101);', 'MARCKS(S46);', 'HMGN2(S29);', 'PTPN12(S435);', 'HLA-A(S359);', 'CDC42EP4(S18);', 'SHC1(S139);', 'LMNA(S403);', 'ATP1A1(S16);', 'MYH10(S1937);', 'AKT3(S472);', 'BAD(S118);', 'PRKD2(S710);', 'IQGAP1(S1443);', 'IQGAP1(S1443);', 'BAD(S99);', 'IQGAP1(S1443);', 'STAT3(S727);', 'SHC1(S139);', 'BAD(S99);', 'BAD(S118);', 'STMN1(S38);', 'STMN1(S25);', 'LASP1(S146);', 'EIF6(S235);', 'MARCKS(S170);', 'STMN1(S38);', 'BTK(S180);', 'MARCKS(S163);', 'PA2G4(S363);', 'STMN1(S25);', 'ARHGEF6(S225);', 'PRKD2(S710);', 'BAD(S118);', 'HDAC7(S181);', 'HDAC7(S155);', 'ARFIP1(S132);', 'BAD(S99);', 'HDAC7(S155);', 'KIDINS220(S918);', 'HSP90AA1(T603);', 'PA2G4(S363);', 'CDK6', 'CDK4', 'CCND1', 'DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B', 'RB1', 'PRKX', 'CCNE1', 'CCND3']",83,32.53012048192771,"['VIM(S10);', 'ITGB2(T760);', 'IQGAP1(S1443);', 'CBL(S619);', 'ITGB4(S1494);', 'CYBA(T147);', 'MARCKS(S118);', 'SHC1(S139);', 'KIT(S746);', 'VIM(S26);', 'F11R(S284);', 'DNM1(S795);', 'MARCKS(S170);', 'KIT(S746);', 'EIF6(S235);', 'IQGAP1(S1443);', 'PA2G4(S363);', 'ATP1A1(S16);', 'MARCKS(S163);', 'HMGN2(S29);', 'HLA-A(S359);', 'ATP1A1(S16);', 'MYH10(S1937);', 'AKT3(S472);', 'BAD(S118);', 'PRKD2(S710);', 'IQGAP1(S1443);']","{'CCND3', 'CBL(S639);', 'HSP90AA1(T603);', 'MARCKS(S101);', 'LASP1(S146);', 'CCNE1', 'STMN1(S25);', 'KIDINS220(S918);', 'STAT3(S727);', 'STMN1(S38);', 'RB1', 'CDKN2A', 'CCND1', 'HDAC7(S155);', 'CDK6', 'LMNA(S403);', 'CDK4', 'PRKX', 'BAD(S99);', 'ARHGEF6(S225);', 'ARFIP1(S132);', 'BTK(S180);', 'DYRK1B', 'SMARCB1', 'VIM(S42);', 'PDE3A(S428);', 'VIM(S51);', 'CDC42EP4(S18);', 'PTPN12(S435);', 'HMGN1(S25);', 'HDAC7(S181);', 'SMARCA4', 'CDKN2B', 'VIM(S27);', 'MARCKS(S46);'}"
