cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE33::Bosutinib,861,0.6968641114982579,215,1.8604651162790697,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['HCK', 'ABL1', 'SRC', 'BCR']","{'EGFR', 'LYN'}"
SNU-398::Bosutinib,861,0.6968641114982579,215,1.8604651162790697,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['HCK', 'ABL1', 'LYN', 'BCR']","{'EGFR', 'SRC'}"
SNU-387::Dabrafenib,861,1.5098722415795587,215,3.255813953488372,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,53.84615384615385,"['BRAF', 'CDKN2A', 'STAG2', 'MITF', 'EZH2', 'MAP2K2', 'RAC1']","{'HLA-DRB1', 'NRAS', 'ATXN1L', 'MAP2K1', 'HRAS', 'NF1'}"
OCI-M1::Dabrafenib,861,1.5098722415795587,215,3.255813953488372,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,53.84615384615385,"['CDKN2A', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'RAC1']","{'HLA-DRB1', 'BRAF', 'MAP2K1', 'MAP2K2', 'HRAS', 'NF1'}"
SKM-1::Afatinib,861,1.9744483159117305,215,4.186046511627907,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",17,52.94117647058824,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'EGFR', 'ERBB2', 'KRAS', 'MET']","{'CDKN1A(S130);', 'EML4', 'ERBB3', 'BRAF', 'NRG1', 'NRAS', 'ERBB4'}"
KMOE-2::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'LYN', 'BCR']","{'HCK', 'EGFR', 'ABL1'}"
MV-4-11::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'BCR']","{'EGFR', 'ABL1', 'LYN'}"
OCI-AML2::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'LYN']","{'BCR', 'EGFR', 'ABL1'}"
OCI-M1::Bosutinib,861,0.6968641114982579,215,1.3953488372093024,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'LYN', 'BCR']","{'EGFR', 'ABL1', 'SRC'}"
SNU-387::Afatinib,861,1.9744483159117305,215,3.7209302325581395,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",17,47.05882352941176,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'EGFR', 'ERBB2', 'ERBB4', 'KRAS']","{'CDKN1A(S130);', 'MET', 'EML4', 'ERBB3', 'BRAF', 'RBL2(S672);', 'NRG1', 'NRAS'}"
