cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
KYSE-150::Pemetrexed,731,1.5047879616963065,183,3.825136612021858,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,63.63636363636363,"['GART', 'TYMS', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS']","{'ALK', 'DHFR', 'SLC19A1', 'ATIC'}"
OCI-AML2::Talazoparib,731,1.094391244870041,183,2.73224043715847,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,62.5,"['PARP2', 'PARP1', 'PTEN', 'SLFN11', 'BRCA1']","{'PSMD4', 'BRCA2', 'ATM'}"
OCI-AML2::Afatinib,731,1.3679890560875512,183,2.73224043715847,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['EGFR', 'ERBB2', 'ERBB4', 'MET', 'BRAF']","{'EML4', 'KRAS', 'ERBB3', 'NRAS', 'NRG1'}"
SKM-1::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'LYN']","{'BCR', 'EGFR', 'HCK'}"
KYSE-150::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'BCR']","{'LYN', 'EGFR', 'HCK'}"
SK-HEP-1::Talazoparib,731,1.094391244870041,183,2.185792349726776,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP1', 'PTEN', 'SLFN11', 'BRCA1']","{'PSMD4', 'BRCA2', 'PARP2', 'ATM'}"
OE33::Talazoparib,731,1.094391244870041,183,2.185792349726776,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['ATM', 'PTEN', 'SLFN11', 'BRCA1']","{'PSMD4', 'BRCA2', 'PARP2', 'PARP1'}"
KYSE-150::Ruxolitinib,731,1.094391244870041,183,2.185792349726776,"['JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",8,50.0,"['JAK2', 'JAK3', 'VHL', 'MPL']","{'CSF3R', 'JAK1', 'PLAUR', 'CRLF2'}"
KYSE-150::Afatinib,731,1.3679890560875512,183,2.73224043715847,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET']","{'ERBB3', 'BRAF', 'NRAS', 'NRG1', 'EGFR'}"
SKM-1::Afatinib,731,1.3679890560875512,183,2.73224043715847,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['EGFR', 'ERBB2', 'KRAS', 'MET', 'BRAF']","{'EML4', 'ERBB3', 'NRAS', 'NRG1', 'ERBB4'}"
SKM-1::Temsirolimus,731,1.5047879616963065,183,2.73224043715847,"['MTOR', 'BRAF', 'FKBP1A', 'CTNNB1', 'NF2', 'PIK3CA', 'PTEN', 'VHL', 'FBXW7', 'KRAS', 'AKT1']",11,45.45454545454545,"['BRAF', 'FKBP1A', 'CTNNB1', 'NF2', 'PIK3CA']","{'KRAS', 'PTEN', 'AKT1', 'VHL', 'MTOR', 'FBXW7'}"
MV-4-11::Temsirolimus,731,1.5047879616963065,183,2.73224043715847,"['MTOR', 'BRAF', 'FKBP1A', 'CTNNB1', 'NF2', 'PIK3CA', 'PTEN', 'VHL', 'FBXW7', 'KRAS', 'AKT1']",11,45.45454545454545,"['BRAF', 'FKBP1A', 'CTNNB1', 'NF2', 'PIK3CA']","{'KRAS', 'PTEN', 'AKT1', 'VHL', 'MTOR', 'FBXW7'}"
OCI-M1::Alectinib,731,0.957592339261286,183,1.639344262295082,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['FGFR1', 'CDKN2A', 'SMAD4']","{'EML4', 'NPM1', 'ALK', 'RET'}"
OCI-AML2::Alectinib,731,0.957592339261286,183,1.639344262295082,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'EML4', 'SMAD4']","{'NPM1', 'FGFR1', 'CDKN2A', 'RET'}"
SKM-1::Lapatinib,731,1.915184678522572,183,3.278688524590164,"['EGFR', 'ERBB2', 'ERBB4', 'ABCB11', 'CCND1', 'CDH1', 'EEF2K', 'HLA-DRB1', 'NRG1', 'CDKN1B', 'ERBB3', 'HLA-DQA1', 'PIK3CA', 'BIRC5']",14,42.857142857142854,"['EGFR', 'ERBB2', 'ERBB4', 'CDH1', 'HLA-DRB1', 'CDKN1B']","{'HLA-DQA1', 'ERBB3', 'EEF2K', 'BIRC5', 'CCND1', 'ABCB11', 'NRG1', 'PIK3CA'}"
SK-HEP-1::Tretinoin,731,2.5991792065663475,183,4.371584699453552,"['RXRB', 'RARG', 'RXRG', 'RARRES1', 'RARA', 'RARB', 'MYCN', 'FUS', 'CDKN1B', 'BCL2', 'PML', 'BCOR', 'NPM1', 'HSPA8', 'P2RY2', 'BIRC5', 'SMAD2', 'FLT3', 'IL10']",19,42.10526315789473,"['RXRG', 'RARRES1', 'RARA', 'RARB', 'MYCN', 'CDKN1B', 'PML', 'BCOR']","{'HSPA8', 'NPM1', 'P2RY2', 'RXRB', 'IL10', 'BIRC5', 'BCL2', 'FLT3', 'FUS', 'RARG', 'SMAD2'}"
MV-4-11::Tretinoin,731,2.5991792065663475,183,4.371584699453552,"['RXRB', 'RARG', 'RXRG', 'RARRES1', 'RARA', 'RARB', 'MYCN', 'FUS', 'CDKN1B', 'BCL2', 'PML', 'BCOR', 'NPM1', 'HSPA8', 'P2RY2', 'BIRC5', 'SMAD2', 'FLT3', 'IL10']",19,42.10526315789473,"['RXRB', 'RARG', 'RXRG', 'RARRES1', 'RARA', 'RARB', 'CDKN1B', 'BCOR']","{'HSPA8', 'NPM1', 'MYCN', 'P2RY2', 'IL10', 'BIRC5', 'BCL2', 'FLT3', 'FUS', 'SMAD2', 'PML'}"
KYSE-150::Temozolomide,731,1.6415868673050615,183,2.73224043715847,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['SLFN11', 'STAG2', 'ATRX', 'ATM', 'H2AX']","{'BRCA2', 'HDAC4', 'NOTCH1', 'PRL', 'MGMT', 'MSH6', 'CSF2'}"
