cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE19::Bosutinib,731,0.8207934336525308,183,2.73224043715847,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,83.33333333333334,"['ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",{'HCK'}
KYSE-140::Bosutinib,731,0.8207934336525308,183,2.73224043715847,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,83.33333333333334,"['HCK', 'ABL1', 'SRC', 'LYN', 'EGFR']",{'BCR'}
OE19::Temozolomide,731,1.6415868673050615,183,4.371584699453552,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,66.66666666666666,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATM', 'H2AX', 'MGMT']","{'ATRX', 'NOTCH1', 'BRCA2', 'MSH6'}"
NOMO-1::Bosutinib,731,0.8207934336525308,183,2.185792349726776,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['SRC', 'LYN', 'BCR', 'EGFR']","{'HCK', 'ABL1'}"
SIG-M5::Alectinib,731,0.957592339261286,183,2.185792349726776,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,57.14285714285714,"['NPM1', 'CDKN2A', 'SMAD4', 'RET']","{'ALK', 'FGFR1', 'EML4'}"
OCI-AML5::Alectinib,731,0.957592339261286,183,2.185792349726776,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,57.14285714285714,"['ALK', 'CDKN2A', 'SMAD4', 'RET']","{'NPM1', 'FGFR1', 'EML4'}"
OE19::Panobinostat,731,2.188782489740082,183,4.918032786885246,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,56.25,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC5', 'HDAC9', 'HDAC3', 'HDAC10', 'HDAC11']","{'SMARCB1', 'HDAC2', 'KRAS', 'BAP1', 'HDAC4', 'MYCN', 'KMT2A'}"
SNU-387::Pemetrexed,731,1.5047879616963065,183,3.278688524590164,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,54.54545454545454,"['GART', 'TYMS', 'ATIC', 'FOLR3', 'GGH', 'KRAS']","{'SLC19A1', 'SLC46A1', 'ALK', 'DHFR', 'MTHFR'}"
SNU-387::Panobinostat,731,2.188782489740082,183,4.371584699453552,"['HDAC8', 'HDAC7', 'HDAC1', 'HDAC6', 'HDAC2', 'HDAC5', 'HDAC9', 'HDAC4', 'HDAC3', 'HDAC10', 'HDAC11', 'MYCN', 'SMARCB1', 'KRAS', 'KMT2A', 'BAP1']",16,50.0,"['HDAC8', 'HDAC7', 'HDAC6', 'HDAC5', 'HDAC9', 'HDAC3', 'HDAC10', 'HDAC11']","{'SMARCB1', 'HDAC2', 'KRAS', 'BAP1', 'HDAC1', 'HDAC4', 'MYCN', 'KMT2A'}"
NOMO-1::Talazoparib,731,1.094391244870041,183,2.185792349726776,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP2', 'PARP1', 'ATM', 'BRCA1']","{'SLFN11', 'PSMD4', 'BRCA2', 'PTEN'}"
SNU-387::Temozolomide,731,1.6415868673050615,183,3.278688524590164,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,50.0,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'ATRX', 'H2AX']","{'MGMT', 'NOTCH1', 'BRCA2', 'MSH6', 'ATM', 'STAG2'}"
MONO-MAC-6::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'LYN']","{'BCR', 'EGFR', 'ABL1'}"
OCI-AML5::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'SRC', 'EGFR']","{'BCR', 'ABL1', 'LYN'}"
SK-HEP-1::Afatinib,731,1.3679890560875512,183,2.73224043715847,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['ERBB2', 'ERBB4', 'KRAS', 'EML4', 'BRAF']","{'EGFR', 'MET', 'NRG1', 'NRAS', 'ERBB3'}"
MONO-MAC-6::Belinostat,731,1.7783857729138166,183,3.278688524590164,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC10', 'HDAC7', 'HDAC11', 'HDAC9', 'HDAC1', 'HDAC3', 'HDAC6', 'HDAC8', 'UGT1A1', 'FBXW7']",13,46.15384615384615,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC7', 'HDAC11', 'HDAC9']","{'HDAC6', 'FBXW7', 'HDAC3', 'HDAC8', 'HDAC1', 'UGT1A1', 'HDAC10'}"
MONO-MAC-6::Crizotinib,731,1.7783857729138166,183,3.278688524590164,"['MET', 'ROS1', 'ALK', 'EML4', 'NPM1', 'ETV6', 'PTPN12', 'SMAD4', 'AREG', 'EGFR', 'CDKN2A', 'NTRK1', 'KRAS']",13,46.15384615384615,"['MET', 'NPM1', 'ETV6', 'PTPN12', 'AREG', 'CDKN2A']","{'NTRK1', 'EGFR', 'EML4', 'ROS1', 'SMAD4', 'ALK', 'KRAS'}"
NOMO-1::Belinostat,731,1.7783857729138166,183,3.278688524590164,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC10', 'HDAC7', 'HDAC11', 'HDAC9', 'HDAC1', 'HDAC3', 'HDAC6', 'HDAC8', 'UGT1A1', 'FBXW7']",13,46.15384615384615,"['HDAC2', 'HDAC5', 'HDAC4', 'HDAC7', 'HDAC11', 'HDAC9']","{'HDAC6', 'FBXW7', 'HDAC3', 'HDAC8', 'HDAC1', 'UGT1A1', 'HDAC10'}"
