cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
KYSE-150::Bosutinib,8802,0.0681663258350375,2201,0.13630168105406634,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'ABL1', 'LYN', 'HCK'}"
OE33::Bosutinib,8802,0.0681663258350375,2201,0.13630168105406634,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'ABL1', 'LYN', 'HCK'}"
SNU-387::Bosutinib,8802,0.0681663258350375,2201,0.13630168105406634,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['SRC', 'BCR', 'EGFR']","{'ABL1', 'LYN', 'HCK'}"
KYSE-150::Lenalidomide,8802,0.136332651670075,2201,0.2726033621081327,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,50.0,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1']","{'VEGFA', 'VEGFB', 'IKZF1', 'VEGFC', 'FGF2', 'TNF'}"
SNU-387::Lenalidomide,8802,0.136332651670075,2201,0.2726033621081327,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,50.0,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1']","{'VEGFA', 'VEGFB', 'IKZF1', 'VEGFC', 'FGF2', 'TNF'}"
OCI-M1::Vinorelbine,8802,0.27266530334015,2201,0.49977283053157656,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,45.83333333333333,"['TUBB', 'TUB', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'TUBA1C', 'TUBB8', 'TUBA4A']","{'TUBB2A', 'XRCC1', 'SMARCA4', 'TUBB6', 'TUBA1A', 'TUBA3C', 'BRCA1', 'TUBA1B', 'RRM1', 'BRCA2', 'TUBB2B', 'TUBA3E', 'APC'}"
SK-HEP-1::Alectinib,8802,0.07952738014087707,2201,0.13630168105406634,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['CDKN2A', 'SMAD4', 'RET']","{'EML4', 'NPM1', 'FGFR1', 'ALK'}"
OE33::Vinorelbine,8802,0.27266530334015,2201,0.4543389368468878,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,41.66666666666667,"['TUB', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'TUBB8', 'TUBA1A', 'TUBA3C', 'TUBA4A']","{'TUBB', 'TUBB2A', 'XRCC1', 'CASP7', 'SMARCA4', 'TUBA1C', 'TUBB6', 'BRCA1', 'TUBA1B', 'RRM1', 'BRCA2', 'TUBB2B', 'TUBA3E', 'APC'}"
OCI-AML2::Afatinib,8802,0.11361054305839581,2201,0.1817355747387551,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB4', 'KRAS', 'BRAF']","{'EML4', 'ERBB3', 'MET', 'NRAS', 'NRG1', 'ERBB2'}"
SKM-1::Afatinib,8802,0.11361054305839581,2201,0.1817355747387551,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['EGFR', 'ERBB4', 'KRAS', 'BRAF']","{'EML4', 'ERBB3', 'MET', 'NRAS', 'NRG1', 'ERBB2'}"
