cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SK-HEP-1::Bosutinib,8802,0.0681663258350375,2201,0.13630168105406634,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'BCR']","{'EGFR', 'HCK', 'LYN'}"
SK-HEP-1::Bexarotene,8802,0.056805271529197905,2201,0.09086778736937755,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'MAPK8', 'NR1H3', 'RXRB'}"
OCI-AML2::Bexarotene,8802,0.056805271529197905,2201,0.09086778736937755,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'MAPK8', 'NR1H3', 'RXRB'}"
KMOE-2::Bexarotene,8802,0.056805271529197905,2201,0.09086778736937755,"['RXRG', 'RXRA', 'RXRB', 'NR1H3', 'MAPK8']",5,40.0,"['RXRG', 'RXRA']","{'MAPK8', 'NR1H3', 'RXRB'}"
SK-HEP-1::Talazoparib,8802,0.09088843444671665,2201,0.13630168105406634,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'ATM']","{'PSMD4', 'PTEN', 'BRCA1', 'SLFN11', 'BRCA2'}"
MOLM-13::Talazoparib,8802,0.09088843444671665,2201,0.13630168105406634,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,37.5,"['PARP2', 'PARP1', 'PTEN']","{'PSMD4', 'ATM', 'BRCA1', 'SLFN11', 'BRCA2'}"
MV-4-11::Vinorelbine,8802,0.27266530334015,2201,0.408905043162199,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,37.5,"['TUBB', 'TUBB4B', 'TUBB3', 'TUBA3D', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBA3E', 'TUBA4A']","{'TUBB4A', 'TUBB6', 'TUBA3C', 'TUB', 'BRCA1', 'TUBB2A', 'SMARCA4', 'BAX', 'CASP7', 'TUBA1A', 'TUBB2B', 'TUBA1B', 'APC', 'XRCC1', 'BRCA2'}"
MOLM-13::Bosutinib,8802,0.0681663258350375,2201,0.09086778736937755,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['SRC', 'BCR']","{'ABL1', 'EGFR', 'HCK', 'LYN'}"
MV-4-11::Bosutinib,8802,0.0681663258350375,2201,0.09086778736937755,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['LYN', 'BCR']","{'SRC', 'ABL1', 'EGFR', 'HCK'}"
OCI-AML2::Bosutinib,8802,0.0681663258350375,2201,0.09086778736937755,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['BCR', 'EGFR']","{'SRC', 'ABL1', 'HCK', 'LYN'}"
SKM-1::Bosutinib,8802,0.0681663258350375,2201,0.09086778736937755,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,33.33333333333333,"['BCR', 'EGFR']","{'SRC', 'ABL1', 'HCK', 'LYN'}"
MOLM-13::Lenalidomide,8802,0.136332651670075,2201,0.1817355747387551,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,33.33333333333333,"['CRBN', 'DDB1', 'CTNNB1', 'TNF']","{'CUL4A', 'TNFSF11', 'RBX1', 'IKZF1', 'VEGFB', 'VEGFA', 'FGF2', 'VEGFC'}"
