cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OE33::Bosutinib,731,0.8207934336525308,183,2.185792349726776,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'LYN', 'BCR', 'EGFR']","{'SRC', 'HCK'}"
OCI-M1::Bosutinib,731,0.8207934336525308,183,2.185792349726776,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['SRC', 'LYN', 'BCR', 'EGFR']","{'ABL1', 'HCK'}"
KMOE-2::Bosutinib,731,0.8207934336525308,183,2.185792349726776,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['ABL1', 'SRC', 'LYN', 'EGFR']","{'BCR', 'HCK'}"
SKM-1::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['ABL1', 'SRC', 'BCR']","{'LYN', 'EGFR', 'HCK'}"
OE33::Temozolomide,731,1.6415868673050615,183,3.278688524590164,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,50.0,"['SLFN11', 'HDAC4', 'PRL', 'ATRX', 'ATM', 'H2AX']","{'STAG2', 'BRCA2', 'NOTCH1', 'MGMT', 'MSH6', 'CSF2'}"
OCI-AML2::Pemetrexed,731,1.5047879616963065,183,2.73224043715847,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['DHFR', 'GART', 'FOLR3', 'MTHFR', 'GGH']","{'KRAS', 'ALK', 'SLC46A1', 'TYMS', 'SLC19A1', 'ATIC'}"
KMOE-2::Pemetrexed,731,1.5047879616963065,183,2.73224043715847,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['DHFR', 'GART', 'ATIC', 'FOLR3', 'GGH']","{'KRAS', 'ALK', 'SLC46A1', 'TYMS', 'MTHFR', 'SLC19A1'}"
SNU-398::Alectinib,731,0.957592339261286,183,1.639344262295082,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'EML4', 'SMAD4']","{'NPM1', 'FGFR1', 'CDKN2A', 'RET'}"
SNU-387::Alectinib,731,0.957592339261286,183,1.639344262295082,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['ALK', 'EML4', 'SMAD4']","{'NPM1', 'FGFR1', 'CDKN2A', 'RET'}"
SNU-398::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1']","{'VEGFA', 'VEGFB', 'CTNNB1', 'IKZF1', 'VEGFC', 'FGF2', 'TNF'}"
OE33::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'DDB1', 'RBX1', 'TNF']","{'VEGFA', 'VEGFB', 'CTNNB1', 'IKZF1', 'VEGFC', 'CRBN', 'FGF2'}"
MV-4-11::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'CRBN', 'RBX1', 'CTNNB1']","{'VEGFA', 'VEGFB', 'IKZF1', 'VEGFC', 'FGF2', 'TNF', 'DDB1'}"
SKM-1::Olaparib,731,2.3255813953488373,183,3.825136612021858,"['PARP2', 'PARP3', 'PARP1', 'IDH2', 'ATR', 'BARD1', 'CBLC', 'BRCA2', 'BAP1', 'CHEK1', 'VHL', 'STAG2', 'BRCA1', 'CDK12', 'PALB2', 'ATM', 'MYC']",17,41.17647058823529,"['PARP3', 'PARP1', 'IDH2', 'ATR', 'BRCA2', 'BAP1', 'CHEK1']","{'BARD1', 'CBLC', 'PARP2', 'VHL', 'ATM', 'CDK12', 'MYC', 'STAG2', 'BRCA1', 'PALB2'}"
