cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-AML2::Bosutinib,731,0.8207934336525308,183,2.185792349726776,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['HCK', 'SRC', 'LYN', 'EGFR']","{'ABL1', 'BCR'}"
OE33::Bosutinib,731,0.8207934336525308,183,2.185792349726776,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,66.66666666666666,"['HCK', 'LYN', 'BCR', 'EGFR']","{'SRC', 'ABL1'}"
OCI-AML2::Temozolomide,731,1.6415868673050615,183,3.825136612021858,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,58.333333333333336,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATM', 'H2AX']","{'MGMT', 'MSH6', 'NOTCH1', 'BRCA2', 'ATRX'}"
OE33::Afatinib,731,1.3679890560875512,183,2.73224043715847,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,50.0,"['EGFR', 'KRAS', 'EML4', 'MET', 'BRAF']","{'NRAS', 'ERBB4', 'ERBB2', 'ERBB3', 'NRG1'}"
SKM-1::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'LYN', 'EGFR']","{'SRC', 'ABL1', 'BCR'}"
SNU-398::Bosutinib,731,0.8207934336525308,183,1.639344262295082,"['HCK', 'ABL1', 'SRC', 'LYN', 'BCR', 'EGFR']",6,50.0,"['HCK', 'LYN', 'BCR']","{'SRC', 'ABL1', 'EGFR'}"
SNU-398::Lenalidomide,731,1.6415868673050615,183,3.278688524590164,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,50.0,"['CUL4A', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF']","{'TNFSF11', 'IKZF1', 'VEGFB', 'VEGFA', 'FGF2', 'VEGFC'}"
KMOE-2::Lenalidomide,731,1.6415868673050615,183,3.278688524590164,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,50.0,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'TNF']","{'IKZF1', 'VEGFB', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
SKM-1::Talazoparib,731,1.094391244870041,183,2.185792349726776,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP1', 'ATM', 'SLFN11', 'BRCA1']","{'PSMD4', 'PARP2', 'PTEN', 'BRCA2'}"
OCI-M1::Talazoparib,731,1.094391244870041,183,2.185792349726776,"['PARP2', 'PARP1', 'ATM', 'PTEN', 'SLFN11', 'BRCA1', 'PSMD4', 'BRCA2']",8,50.0,"['PARP2', 'PARP1', 'ATM', 'BRCA1']","{'PSMD4', 'PTEN', 'SLFN11', 'BRCA2'}"
KMOE-2::Dabrafenib,731,1.7783857729138166,183,3.278688524590164,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,46.15384615384615,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'MITF']","{'MAP2K2', 'MAP2K1', 'HRAS', 'NF1', 'ATXN1L', 'EZH2', 'RAC1'}"
KMOE-2::Pemetrexed,731,1.5047879616963065,183,2.73224043715847,"['DHFR', 'GART', 'TYMS', 'ATIC', 'FOLR3', 'SLC46A1', 'MTHFR', 'GGH', 'KRAS', 'ALK', 'SLC19A1']",11,45.45454545454545,"['TYMS', 'ATIC', 'SLC46A1', 'MTHFR', 'KRAS']","{'DHFR', 'GART', 'FOLR3', 'GGH', 'ALK', 'SLC19A1'}"
SNU-387::Alectinib,731,0.957592339261286,183,1.639344262295082,"['ALK', 'FGFR1', 'EML4', 'NPM1', 'CDKN2A', 'SMAD4', 'RET']",7,42.857142857142854,"['EML4', 'NPM1', 'RET']","{'SMAD4', 'FGFR1', 'ALK', 'CDKN2A'}"
OCI-M1::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'DDB1', 'RBX1', 'TNF']","{'IKZF1', 'VEGFB', 'CRBN', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
OCI-AML2::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'CRBN', 'DDB1', 'CTNNB1', 'TNF']","{'TNFSF11', 'RBX1', 'IKZF1', 'VEGFB', 'VEGFA', 'FGF2', 'VEGFC'}"
OE33::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'TNF']","{'RBX1', 'IKZF1', 'VEGFB', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
KMOE-2::Temozolomide,731,1.6415868673050615,183,2.73224043715847,"['SLFN11', 'HDAC4', 'CSF2', 'PRL', 'STAG2', 'ATRX', 'ATM', 'H2AX', 'MGMT', 'NOTCH1', 'BRCA2', 'MSH6']",12,41.66666666666667,"['HDAC4', 'STAG2', 'ATRX', 'ATM', 'MGMT']","{'PRL', 'MSH6', 'CSF2', 'SLFN11', 'NOTCH1', 'BRCA2', 'H2AX'}"
MV-4-11::Lenalidomide,731,1.6415868673050615,183,2.73224043715847,"['CUL4A', 'TNFSF11', 'CRBN', 'DDB1', 'RBX1', 'CTNNB1', 'TNF', 'IKZF1', 'FGF2', 'VEGFB', 'VEGFC', 'VEGFA']",12,41.66666666666667,"['CUL4A', 'TNFSF11', 'CRBN', 'RBX1', 'TNF']","{'DDB1', 'IKZF1', 'VEGFB', 'CTNNB1', 'VEGFA', 'FGF2', 'VEGFC'}"
KMOE-2::Palbociclib,731,1.6415868673050615,183,2.73224043715847,"['CDK6', 'CDK4', 'CCND1', 'DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B', 'RB1', 'PRKX', 'CCNE1', 'CCND3']",12,41.66666666666667,"['CDK6', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B']","{'RB1', 'DYRK1B', 'CCND3', 'CCND1', 'PRKX', 'CCNE1', 'CDK4'}"
OCI-AML2::Palbociclib,731,1.6415868673050615,183,2.73224043715847,"['CDK6', 'CDK4', 'CCND1', 'DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B', 'RB1', 'PRKX', 'CCNE1', 'CCND3']",12,41.66666666666667,"['DYRK1B', 'CDKN2A', 'SMARCA4', 'SMARCB1', 'CDKN2B']","{'RB1', 'CCND3', 'CCND1', 'CDK6', 'PRKX', 'CCNE1', 'CDK4'}"
SNU-398::Afatinib,731,1.3679890560875512,183,2.185792349726776,"['EGFR', 'ERBB2', 'ERBB4', 'KRAS', 'EML4', 'MET', 'BRAF', 'NRG1', 'NRAS', 'ERBB3']",10,40.0,"['ERBB4', 'EML4', 'MET', 'BRAF']","{'NRAS', 'EGFR', 'ERBB2', 'KRAS', 'ERBB3', 'NRG1'}"
OCI-AML2::Bortezomib,731,9.30232558139535,183,14.754098360655737,"['PSMC2', 'PSMD4P1', 'PSMD11', 'PSMB3', 'PSMD3', 'PSMA8', 'PSMB10', 'PSMC3IP', 'PSMD14', 'PSMD8', 'PSMD13', 'PSMC1P1', 'PSMD10P2', 'PSME3', 'PSMB1', 'PSMD9', 'PSMD10P3', 'PSMD6', 'PSMD12', 'PSMC3', 'PSME2P2', 'PSMA1', 'PSMD4', 'PSMC4', 'PSMB8', 'PSMD2', 'PSME1', 'PSMD10', 'PSMD5', 'PSMA6', 'PSMD1', 'PSMA3', 'PSME2', 'PSMA4', 'PSMC5', 'PSMC1', 'PSMB6', 'PSMB5', 'PSMB4', 'PSMB9', 'PSME4', 'PSMA2', 'PSMB7', 'PSMD7', 'PSMB2', 'PSMB11', 'PSMA7', 'ADRM1', 'PSMA5', 'PSMF1', 'PSMC6', 'PIPSL', 'PSMD10P1', 'SEM1', 'BCL2L2', 'PRSS1', 'PMAIP1', 'CTSB', 'KLK4', 'PRSS3', 'F12', 'PRSS2', 'GATA2', 'CAPN1', 'HSPB2', 'PRB2', 'PLAT', 'CTSL']",68,39.705882352941174,"['PSMD4P1', 'PSMD3', 'PSMA8', 'PSMD14', 'PSMD8', 'PSMC1P1', 'PSMD10P2', 'PSME3', 'PSMD9', 'PSMD6', 'PSMD12', 'PSMD4', 'PSMB8', 'PSMD2', 'PSME1', 'PSMA6', 'PSMD1', 'PSMC5', 'PSMB6', 'PSMB5', 'PSME4', 'PSMB7', 'PSMD7', 'PSMB2', 'PSMA7', 'ADRM1', 'PSMC6']","{'GATA2', 'PSMC2', 'PRSS1', 'BCL2L2', 'PSMD10P1', 'PSMB3', 'PSMA4', 'PSMA2', 'PSME2', 'PSMB11', 'PSMA3', 'PSMF1', 'PRSS3', 'PSMC3IP', 'PSMA1', 'PRSS2', 'PSMB4', 'PRB2', 'PSME2P2', 'PIPSL', 'PSMD13', 'PSMC3', 'PSMA5', 'CTSL', 'PMAIP1', 'KLK4', 'CAPN1', 'PSMD10', 'PSMB9', 'PSMD5', 'PSMD11', 'SEM1', 'PSMB1', 'PSMC4', 'F12', 'PSMB10', 'HSPB2', 'PLAT', 'PSMD10P3', 'CTSB', 'PSMC1'}"
SNU-387::Dabrafenib,731,1.7783857729138166,183,2.73224043715847,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'HLA-DRB1', 'STAG2', 'MAP2K2', 'RAC1']","{'NRAS', 'MITF', 'MAP2K1', 'HRAS', 'NF1', 'ATXN1L', 'EZH2', 'BRAF'}"
SKM-1::Dabrafenib,731,1.7783857729138166,183,2.73224043715847,"['BRAF', 'CDKN2A', 'HLA-DRB1', 'STAG2', 'NRAS', 'ATXN1L', 'MITF', 'EZH2', 'MAP2K2', 'RAC1', 'MAP2K1', 'HRAS', 'NF1']",13,38.46153846153847,"['CDKN2A', 'HLA-DRB1', 'STAG2', 'MITF', 'MAP2K2']","{'NRAS', 'MAP2K1', 'HRAS', 'NF1', 'ATXN1L', 'EZH2', 'BRAF', 'RAC1'}"
KMOE-2::Vinorelbine,731,3.283173734610123,183,4.918032786885246,"['TUBB', 'TUB', 'SMARCA4', 'BAX', 'TUBB4B', 'TUBB3', 'TUBA3D', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'TUBB8', 'TUBB6', 'BRCA1', 'TUBA1A', 'TUBA3C', 'TUBA3E', 'TUBA4A', 'BRCA2', 'APC', 'TUBB2B', 'TUBA1B', 'XRCC1', 'TUBB2A']",24,37.5,"['TUB', 'TUBB4B', 'TUBB3', 'TUBB4A', 'CASP7', 'RRM1', 'TUBA1C', 'BRCA1', 'TUBA3E']","{'TUBB6', 'TUBA3C', 'TUBB', 'TUBB2A', 'SMARCA4', 'BAX', 'TUBA1A', 'TUBB2B', 'TUBA3D', 'TUBA1B', 'APC', 'TUBB8', 'XRCC1', 'BRCA2', 'TUBA4A'}"
MV-4-11::Ruxolitinib,731,1.094391244870041,183,1.639344262295082,"['JAK2', 'JAK3', 'JAK1', 'VHL', 'MPL', 'CRLF2', 'CSF3R', 'PLAUR']",8,37.5,"['JAK3', 'JAK1', 'VHL']","{'CSF3R', 'JAK2', 'CRLF2', 'MPL', 'PLAUR'}"
