cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
SNU-387::Fedratinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
MV-4-11::Rucaparib,130,0.7692307692307693,13,7.6923076923076925,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
SNU-398::Ruxolitinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
SNU-387::Ruxolitinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OE33::Ruxolitinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-AML2::Ruxolitinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
SNU-398::Fedratinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-AML2::Fedratinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OE33::Fedratinib,130,0.7692307692307693,13,7.6923076923076925,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-AML2::Fulvestrant,130,5.384615384615385,13,30.76923076923077,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);']",7,57.14285714285714,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S21);', 'RUNX1(S276);']","{'RUNX1(S249);', 'RBL2(S672);', 'CDKN1A(S130);'}"
MV-4-11::Erlotinib,130,1.5384615384615385,13,7.6923076923076925,"['STAT3(S727);', 'FADD(S194);']",2,50.0,['STAT3(S727);'],{'FADD(S194);'}
MV-4-11::Pazopanib,130,1.5384615384615385,13,7.6923076923076925,"['PPP1CC(T307);', 'SGO1(S507);']",2,50.0,['SGO1(S507);'],{'PPP1CC(T307);'}
OCI-M1::Cetuximab,130,1.5384615384615385,13,7.6923076923076925,"['TAL1(S122);', 'MAPK1(T185);']",2,50.0,['MAPK1(T185);'],{'TAL1(S122);'}
