cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
KMOE-2::Bexarotene,516,3.10077519379845,52,0.0,"['STAT3(S727);', 'EIF4ENIF1(S374);', 'STMN1(S38);', 'HSF1(S363);', 'JUN(S63);', 'SIRT1(S47);', 'BCL2L11(S77);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);', 'ATF2(T69);', 'RCSD1(S68);', 'CDKN1A(S130);', 'CDC25C(S168);', 'IRS1(S636);']",16,0.0,[],"{'SIRT1(S47);', 'STAT3(S727);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'CDKN1A(S130);', 'IRS1(S636);', 'EIF4ENIF1(S374);', 'MYC(S62);', 'JUN(S63);', 'HSF1(S363);', 'CDC25C(S168);', 'STMN1(S38);', 'RCSD1(S68);', 'ATF2(T69);', 'BCL2L11(S77);'}"
SNU-398::Rucaparib,516,0.1937984496124031,52,0.0,['KMT2A(S516);'],1,0.0,[],{'KMT2A(S516);'}
OCI-AML2::Palbociclib,516,2.3255813953488373,52,0.0,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,0.0,[],"{'HNF1A(S249);', 'CDKN1A(S130);', 'RB1(S811);', 'RUNX1(S276);', 'RB1(S249);', 'RBL1(S650);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S249);', 'RB1(T826);'}"
OCI-M1::Palbociclib,516,2.3255813953488373,52,0.0,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,0.0,[],"{'HNF1A(S249);', 'CDKN1A(S130);', 'RB1(S811);', 'RUNX1(S276);', 'RB1(S249);', 'RBL1(S650);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S249);', 'RB1(T826);'}"
OE33::Palbociclib,516,2.3255813953488373,52,0.0,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,0.0,[],"{'HNF1A(S249);', 'CDKN1A(S130);', 'RB1(S811);', 'RUNX1(S276);', 'RB1(S249);', 'RBL1(S650);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S249);', 'RB1(T826);'}"
SKM-1::Palbociclib,516,2.3255813953488373,52,0.0,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,0.0,[],"{'HNF1A(S249);', 'CDKN1A(S130);', 'RB1(S811);', 'RUNX1(S276);', 'RB1(S249);', 'RBL1(S650);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S249);', 'RB1(T826);'}"
SNU-387::Palbociclib,516,2.3255813953488373,52,0.0,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,0.0,[],"{'HNF1A(S249);', 'CDKN1A(S130);', 'RB1(S811);', 'RUNX1(S276);', 'RB1(S249);', 'RBL1(S650);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S249);', 'RB1(T826);'}"
SNU-398::Palbociclib,516,2.3255813953488373,52,0.0,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,0.0,[],"{'HNF1A(S249);', 'CDKN1A(S130);', 'RB1(S811);', 'RUNX1(S276);', 'RB1(S249);', 'RBL1(S650);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S249);', 'RB1(T826);'}"
KMOE-2::Pazopanib,516,0.3875968992248062,52,0.0,"['PPP1CC(T307);', 'SGO1(S507);']",2,0.0,[],"{'SGO1(S507);', 'PPP1CC(T307);'}"
MV-4-11::Pazopanib,516,0.3875968992248062,52,0.0,"['PPP1CC(T307);', 'SGO1(S507);']",2,0.0,[],"{'SGO1(S507);', 'PPP1CC(T307);'}"
OCI-AML2::Pazopanib,516,0.3875968992248062,52,0.0,"['PPP1CC(T307);', 'SGO1(S507);']",2,0.0,[],"{'SGO1(S507);', 'PPP1CC(T307);'}"
OCI-M1::Pazopanib,516,0.3875968992248062,52,0.0,"['PPP1CC(T307);', 'SGO1(S507);']",2,0.0,[],"{'SGO1(S507);', 'PPP1CC(T307);'}"
OE33::Pazopanib,516,0.3875968992248062,52,0.0,"['PPP1CC(T307);', 'SGO1(S507);']",2,0.0,[],"{'SGO1(S507);', 'PPP1CC(T307);'}"
SNU-387::Pazopanib,516,0.3875968992248062,52,0.0,"['PPP1CC(T307);', 'SGO1(S507);']",2,0.0,[],"{'SGO1(S507);', 'PPP1CC(T307);'}"
