cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-M1::Erlotinib,475,0.42105263157894735,112,1.7857142857142856,"['STAT3(S727);', 'FADD(S194);']",2,100.0,"['STAT3(S727);', 'FADD(S194);']",set()
OCI-AML2::Ruxolitinib,475,0.21052631578947367,115,0.8695652173913043,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
MV-4-11::Pazopanib,475,0.42105263157894735,119,1.680672268907563,"['PPP1CC(T307);', 'SGO1(S507);']",2,100.0,"['PPP1CC(T307);', 'SGO1(S507);']",set()
OCI-AML2::Cetuximab,475,0.42105263157894735,119,1.680672268907563,"['TAL1(S122);', 'MAPK1(T185);']",2,100.0,"['TAL1(S122);', 'MAPK1(T185);']",set()
OCI-M1::Paclitaxel,475,0.42105263157894735,105,1.9047619047619049,"['STAT3(S727);', 'FADD(S194);']",2,100.0,"['STAT3(S727);', 'FADD(S194);']",set()
SNU-387::Idelalisib,475,0.21052631578947367,119,0.8403361344537815,['PIK3CD(S1039);'],1,100.0,['PIK3CD(S1039);'],set()
SKM-1::Cetuximab,475,0.42105263157894735,119,1.680672268907563,"['TAL1(S122);', 'MAPK1(T185);']",2,100.0,"['TAL1(S122);', 'MAPK1(T185);']",set()
SNU-398::Cetuximab,475,0.42105263157894735,110,1.8181818181818181,"['TAL1(S122);', 'MAPK1(T185);']",2,100.0,"['TAL1(S122);', 'MAPK1(T185);']",set()
SNU-398::Pazopanib,475,0.42105263157894735,108,1.8518518518518516,"['PPP1CC(T307);', 'SGO1(S507);']",2,100.0,"['PPP1CC(T307);', 'SGO1(S507);']",set()
OCI-M1::Ruxolitinib,475,0.21052631578947367,114,0.8771929824561403,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
KMOE-2::Fedratinib,475,0.21052631578947367,104,0.9615384615384616,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
SKM-1::Docetaxel,475,0.631578947368421,119,2.5210084033613445,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",3,100.0,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",set()
SKM-1::Cisplatin,475,0.631578947368421,109,2.7522935779816518,"['KMT2A(S516);', 'STAT3(S727);', 'FADD(S194);']",3,100.0,"['KMT2A(S516);', 'STAT3(S727);', 'FADD(S194);']",set()
SNU-387::Ruxolitinib,475,0.21052631578947367,119,0.8403361344537815,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-M1::Pazopanib,475,0.42105263157894735,118,1.694915254237288,"['PPP1CC(T307);', 'SGO1(S507);']",2,100.0,"['PPP1CC(T307);', 'SGO1(S507);']",set()
SNU-398::Ruxolitinib,475,0.21052631578947367,111,0.9009009009009009,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-M1::Idelalisib,475,0.21052631578947367,119,0.8403361344537815,['PIK3CD(S1039);'],1,100.0,['PIK3CD(S1039);'],set()
