cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
OCI-M1::Ruxolitinib,475,0.21052631578947367,107,0.9345794392523363,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-M1::Idelalisib,475,0.21052631578947367,119,0.8403361344537815,['PIK3CD(S1039);'],1,100.0,['PIK3CD(S1039);'],set()
OCI-AML2::Cetuximab,475,0.42105263157894735,118,1.694915254237288,"['TAL1(S122);', 'MAPK1(T185);']",2,100.0,"['TAL1(S122);', 'MAPK1(T185);']",set()
SKM-1::Erlotinib,475,0.42105263157894735,113,1.7699115044247788,"['STAT3(S727);', 'FADD(S194);']",2,100.0,"['STAT3(S727);', 'FADD(S194);']",set()
KMOE-2::Fedratinib,475,0.21052631578947367,94,1.0638297872340425,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
MV-4-11::Fedratinib,475,0.21052631578947367,96,1.0416666666666665,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OCI-AML2::Fedratinib,475,0.21052631578947367,113,0.8849557522123894,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OE33::Fedratinib,475,0.21052631578947367,118,0.847457627118644,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
SNU-387::Fedratinib,475,0.21052631578947367,119,0.8403361344537815,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
SNU-398::Fedratinib,475,0.21052631578947367,119,0.8403361344537815,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
OE33::Ruxolitinib,475,0.21052631578947367,119,0.8403361344537815,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
KMOE-2::Idelalisib,475,0.21052631578947367,108,0.9259259259259258,['PIK3CD(S1039);'],1,100.0,['PIK3CD(S1039);'],set()
SNU-387::Idelalisib,475,0.21052631578947367,119,0.8403361344537815,['PIK3CD(S1039);'],1,100.0,['PIK3CD(S1039);'],set()
KMOE-2::Docetaxel,475,0.631578947368421,119,2.5210084033613445,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",3,100.0,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",set()
MV-4-11::Lapatinib,475,0.21052631578947367,115,0.8695652173913043,['EEF2K(S445);'],1,100.0,['EEF2K(S445);'],set()
KMOE-2::Paclitaxel,475,0.42105263157894735,100,2.0,"['STAT3(S727);', 'FADD(S194);']",2,100.0,"['STAT3(S727);', 'FADD(S194);']",set()
OCI-M1::Pazopanib,475,0.42105263157894735,110,1.8181818181818181,"['PPP1CC(T307);', 'SGO1(S507);']",2,100.0,"['PPP1CC(T307);', 'SGO1(S507);']",set()
SNU-398::Pazopanib,475,0.42105263157894735,111,1.8018018018018018,"['PPP1CC(T307);', 'SGO1(S507);']",2,100.0,"['PPP1CC(T307);', 'SGO1(S507);']",set()
KMOE-2::Rucaparib,475,0.21052631578947367,109,0.9174311926605505,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
MV-4-11::Rucaparib,475,0.21052631578947367,119,0.8403361344537815,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
OCI-M1::Rucaparib,475,0.21052631578947367,112,0.8928571428571428,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
SKM-1::Rucaparib,475,0.21052631578947367,114,0.8771929824561403,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
OCI-M1::Sorafenib,475,0.8421052631578947,101,3.9603960396039604,"['BAD(S118);', 'MAPK6(S189);', 'MAPK7(S731);', 'MEF2D(S180);']",4,100.0,"['BAD(S118);', 'MAPK6(S189);', 'MAPK7(S731);', 'MEF2D(S180);']",set()
MV-4-11::Ruxolitinib,475,0.21052631578947367,112,0.8928571428571428,['JAK2(S523);'],1,100.0,['JAK2(S523);'],set()
SKM-1::Docetaxel,475,0.631578947368421,111,2.7027027027027026,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",3,100.0,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",set()
SKM-1::Fulvestrant,475,1.4736842105263157,112,5.357142857142857,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);']",7,85.71428571428571,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);']",{'CDKN1A(S130);'}
MV-4-11::Temozolomide,475,2.3157894736842106,119,7.563025210084033,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,81.81818181818183,"['PNKP(S126);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);']",{'RAD50(S635);'}
MV-4-11::Talazoparib,475,2.3157894736842106,117,6.837606837606838,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,72.72727272727273,"['PNKP(S126);', 'RAD50(S635);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);']","{'NBN(S397);', 'TP53BP1(T302);'}"
OCI-M1::Fulvestrant,475,1.4736842105263157,118,4.23728813559322,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);']",7,71.42857142857143,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RBL2(S672);', 'RUNX1(S276);']","{'CDKN1A(S130);', 'RUNX1(S21);'}"
SNU-387::Bleomycin,475,3.3684210526315788,119,9.243697478991598,"['STAT3(S727);', 'EIF4ENIF1(S374);', 'STMN1(S38);', 'HSF1(S363);', 'JUN(S63);', 'SIRT1(S47);', 'BCL2L11(S77);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);', 'ATF2(T69);', 'RCSD1(S68);', 'CDKN1A(S130);', 'CDC25C(S168);', 'IRS1(S636);']",16,68.75,"['EIF4ENIF1(S374);', 'STMN1(S38);', 'JUN(S63);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);', 'ATF2(T69);', 'RCSD1(S68);', 'CDKN1A(S130);', 'CDC25C(S168);']","{'SIRT1(S47);', 'STAT3(S727);', 'BCL2L11(S77);', 'HSF1(S363);', 'IRS1(S636);'}"
SNU-387::Gefitinib,475,0.631578947368421,119,1.680672268907563,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['STAT1(S727);', 'FADD(S194);']",{'STAT3(S727);'}
SNU-387::Docetaxel,475,0.631578947368421,110,1.8181818181818181,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['STAT3(S727);', 'FADD(S194);']",{'MYC(T58);'}
SKM-1::Dabrafenib,475,1.263157894736842,111,3.6036036036036037,"['MAPK1(T185);', 'TAL1(S122);', 'MAPK1(T185);', 'JUN(S63);', 'GATA2(S192);', 'JUN(S63);']",6,66.66666666666666,"['MAPK1(T185);', 'TAL1(S122);', 'MAPK1(T185);', 'JUN(S63);']",{'GATA2(S192);'}
OCI-M1::Gefitinib,475,0.631578947368421,116,1.7241379310344827,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['STAT1(S727);', 'FADD(S194);']",{'STAT3(S727);'}
OCI-AML2::Gefitinib,475,0.631578947368421,118,1.694915254237288,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['STAT3(S727);', 'FADD(S194);']",{'STAT1(S727);'}
OE33::Gefitinib,475,0.631578947368421,118,1.694915254237288,"['STAT1(S727);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['STAT3(S727);', 'FADD(S194);']",{'STAT1(S727);'}
KMOE-2::Palbociclib,475,2.526315789473684,115,6.956521739130435,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RUNX1(S276);', 'CDKN1A(S130);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);', 'RBL1(S650);', 'HNF1A(S249);']",12,66.66666666666666,"['RB1(S811);', 'RUNX1(S276);', 'RUNX1(S249);', 'RUNX1(S21);', 'RBL2(S672);', 'RB1(T826);', 'RB1(S811);', 'RB1(S249);']","{'CDKN1A(S130);', 'HNF1A(S249);', 'RBL1(S650);'}"
OE33::Olaparib,475,3.1578947368421053,119,8.403361344537815,"['KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",15,66.66666666666666,"['KMT2A(S516);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'TP53BP1(T302);', 'BRCA1(S1524);']","{'HNF1A(S249);', 'BRCA1(S1542);', 'EIF4EBP1(S112);', 'SYK(S295);'}"
KMOE-2::Cisplatin,475,0.631578947368421,101,1.9801980198019802,"['KMT2A(S516);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['KMT2A(S516);', 'FADD(S194);']",{'STAT3(S727);'}
OCI-AML2::Docetaxel,475,0.631578947368421,106,1.8867924528301887,"['MYC(T58);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['MYC(T58);', 'FADD(S194);']",{'STAT3(S727);'}
