cl:drug, total number of features,target percentage of total,total number of significant features,target percentage of significant,drug targets,number of targets,percent significant,significant targets,insignificant targets
KMOE-2::Cetuximab,130,1.5384615384615385,33,6.0606060606060606,"['TAL1(S122);', 'MAPK1(T185);']",2,100.0,"['TAL1(S122);', 'MAPK1(T185);']",set()
KMOE-2::Rucaparib,130,0.7692307692307693,33,3.0303030303030303,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
SKM-1::Rucaparib,130,0.7692307692307693,33,3.0303030303030303,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
OCI-M1::Rucaparib,130,0.7692307692307693,33,3.0303030303030303,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
OE33::Idelalisib,130,0.7692307692307693,33,3.0303030303030303,['PIK3CD(S1039);'],1,100.0,['PIK3CD(S1039);'],set()
OCI-AML2::Rucaparib,130,0.7692307692307693,33,3.0303030303030303,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
MV-4-11::Rucaparib,130,0.7692307692307693,33,3.0303030303030303,['KMT2A(S516);'],1,100.0,['KMT2A(S516);'],set()
SKM-1::Cisplatin,130,2.307692307692308,33,6.0606060606060606,"['KMT2A(S516);', 'STAT3(S727);', 'FADD(S194);']",3,66.66666666666666,"['KMT2A(S516);', 'STAT3(S727);']",{'FADD(S194);'}
OE33::Temozolomide,130,8.461538461538462,33,18.181818181818183,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,54.54545454545454,"['UFL1(S462);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);']","{'NBN(S397);', 'RAD50(S635);', 'ABRAXAS1(S406);', 'PNKP(S126);'}"
OE33::Talazoparib,130,8.461538461538462,33,18.181818181818183,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,54.54545454545454,"['UFL1(S462);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);']","{'NBN(S397);', 'RAD50(S635);', 'ABRAXAS1(S406);', 'PNKP(S126);'}"
OE33::Cetuximab,130,1.5384615384615385,33,3.0303030303030303,"['TAL1(S122);', 'MAPK1(T185);']",2,50.0,['TAL1(S122);'],{'MAPK1(T185);'}
SKM-1::Paclitaxel,130,1.5384615384615385,33,3.0303030303030303,"['STAT3(S727);', 'FADD(S194);']",2,50.0,['STAT3(S727);'],{'FADD(S194);'}
SNU-398::Cetuximab,130,1.5384615384615385,33,3.0303030303030303,"['TAL1(S122);', 'MAPK1(T185);']",2,50.0,['TAL1(S122);'],{'MAPK1(T185);'}
OCI-M1::Cetuximab,130,1.5384615384615385,33,3.0303030303030303,"['TAL1(S122);', 'MAPK1(T185);']",2,50.0,['MAPK1(T185);'],{'TAL1(S122);'}
OCI-AML2::Cetuximab,130,1.5384615384615385,33,3.0303030303030303,"['TAL1(S122);', 'MAPK1(T185);']",2,50.0,['TAL1(S122);'],{'MAPK1(T185);'}
MV-4-11::Cetuximab,130,1.5384615384615385,33,3.0303030303030303,"['TAL1(S122);', 'MAPK1(T185);']",2,50.0,['TAL1(S122);'],{'MAPK1(T185);'}
OE33::Olaparib,130,11.538461538461538,33,21.21212121212121,"['KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",15,46.666666666666664,"['POLR2A(S1861);', 'PNKP(S126);', 'NBN(S397);', 'UFL1(S462);', 'BRCA1(S1542);', 'EIF4EBP1(S112);', 'BRCA1(S1524);']","{'CDC25C(S216);', 'SYK(S295);', 'TP53BP1(T302);', 'RAD50(S635);', 'ABRAXAS1(S406);', 'KMT2A(S516);', 'HNF1A(S249);'}"
OCI-M1::Temozolomide,130,8.461538461538462,33,15.151515151515152,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,45.45454545454545,"['UFL1(S462);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);']","{'NBN(S397);', 'RAD50(S635);', 'BRCA1(S1524);', 'ABRAXAS1(S406);', 'PNKP(S126);'}"
OCI-M1::Talazoparib,130,8.461538461538462,33,15.151515151515152,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,45.45454545454545,"['UFL1(S462);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);']","{'NBN(S397);', 'RAD50(S635);', 'BRCA1(S1524);', 'ABRAXAS1(S406);', 'PNKP(S126);'}"
OCI-M1::Olaparib,130,11.538461538461538,33,18.181818181818183,"['KMT2A(S516);', 'SYK(S295);', 'CDC25C(S216);', 'POLR2A(S1861);', 'PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",15,40.0,"['POLR2A(S1861);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'EIF4EBP1(S112);']","{'CDC25C(S216);', 'SYK(S295);', 'TP53BP1(T302);', 'RAD50(S635);', 'BRCA1(S1524);', 'KMT2A(S516);', 'PNKP(S126);', 'HNF1A(S249);'}"
SNU-387::Bexarotene,130,12.307692307692308,33,18.181818181818183,"['STAT3(S727);', 'EIF4ENIF1(S374);', 'STMN1(S38);', 'HSF1(S363);', 'JUN(S63);', 'SIRT1(S47);', 'BCL2L11(S77);', 'EIF4ENIF1(S587);', 'TWIST1(S68);', 'ATF2(T69);', 'MYC(S62);', 'ATF2(T69);', 'RCSD1(S68);', 'CDKN1A(S130);', 'CDC25C(S168);', 'IRS1(S636);']",16,37.5,"['STAT3(S727);', 'HSF1(S363);', 'SIRT1(S47);', 'TWIST1(S68);', 'ATF2(T69);', 'ATF2(T69);']","{'CDC25C(S168);', 'EIF4ENIF1(S587);', 'JUN(S63);', 'RCSD1(S68);', 'EIF4ENIF1(S374);', 'MYC(S62);', 'CDKN1A(S130);', 'BCL2L11(S77);', 'IRS1(S636);', 'STMN1(S38);'}"
KMOE-2::Talazoparib,130,8.461538461538462,33,12.121212121212121,"['PNKP(S126);', 'RAD50(S635);', 'NBN(S397);', 'UFL1(S462);', 'ABRAXAS1(S406);', 'BRCA1(S1542);', 'TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);', 'BRCA1(S1524);']",11,36.36363636363637,"['TP53BP1(T302);', 'EIF4EBP1(S112);', 'HNF1A(S249);', 'BRCA1(S1524);']","{'NBN(S397);', 'BRCA1(S1542);', 'UFL1(S462);', 'RAD50(S635);', 'ABRAXAS1(S406);', 'PNKP(S126);'}"
